match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Bundesliga 2014_130_133_2014-08-24 16:30:00,2014-08-24 16:30:00,False,133,VfB Stuttgart,d,130,Borussia M.Gladbach,0.433199,7.0,1,406,28,3,0.2034,d,0.433199,2.40939,19.0,1,268,19,7,2.40939,4.22,3.73,1.94
Bundesliga 2014_133_134_2014-08-30 14:30:00,2014-08-30 14:30:00,True,133,VfB Stuttgart,l,134,FC Cologne,0.722885,14.0,0,170,27,9,0.8184,l,0.722885,1.2983,10.0,2,468,18,4,1.2983,1.98,3.65,4.14
Bundesliga 2014_117_133_2014-09-13 14:30:00,2014-09-13 14:30:00,False,133,VfB Stuttgart,l,117,Bayern Munich,0.310166,7.0,0,441,26,3,0.5502,l,0.310166,1.22987,14.0,2,167,33,13,1.22987,19.5,8.95,1.17
Bundesliga 2014_120_133_2014-09-20 14:30:00,2014-09-20 14:30:00,True,133,VfB Stuttgart,l,120,Hoffenheim,1.32987,17.0,0,124,34,9,1.4571999999999998,l,1.32987,1.15033,10.0,2,322,31,5,1.15033,2.63,3.62,2.75
Bundesliga 2014_129_133_2014-09-24 19:00:00,2014-09-24 19:00:00,False,133,VfB Stuttgart,d,129,Borussia Dortmund,1.48044,10.0,2,378,17,5,0.9395,d,1.48044,2.13683,25.0,2,195,22,14,2.13683,9.69,5.55,1.36
Bundesliga 2014_128_133_2014-09-27 14:30:00,2014-09-27 14:30:00,True,133,VfB Stuttgart,w,128,Hannover 96,0.826395,12.0,1,272,33,5,1.261,w,0.826395,0.853246,12.0,0,333,21,5,0.853246,2.08,3.67,3.74
Bundesliga 2014_122_133_2014-10-03 19:30:00,2014-10-03 19:30:00,False,133,VfB Stuttgart,l,122,Hertha Berlin,1.42919,9.0,2,178,30,8,0.6992999999999999,l,1.42919,2.36582,12.0,3,291,22,5,1.60804,3.43,3.42,2.29
Bundesliga 2014_119_133_2014-10-18 14:30:00,2014-10-18 14:30:00,True,133,VfB Stuttgart,d,119,Bayer Leverkusen,1.30466,13.0,3,169,31,3,0.9498,d,1.30466,1.86824,17.0,3,184,22,4,1.86824,3.67,3.68,2.1
Bundesliga 2014_132_133_2014-10-25 14:30:00,2014-10-25 14:30:00,False,133,VfB Stuttgart,w,132,Eintracht Frankfurt,3.13433,20.0,5,213,30,5,1.5038,w,3.13433,2.97969,21.0,4,188,27,9,2.97969,3.07,3.65,2.38
Bundesliga 2014_131_133_2014-11-01 14:30:00,2014-11-01 14:30:00,True,133,VfB Stuttgart,l,131,Wolfsburg,0.924949,13.0,0,239,32,4,0.3081,l,0.924949,2.69946,15.0,4,319,16,8,2.69946,3.35,3.71,2.21
Bundesliga 2014_123_133_2014-11-08 17:30:00,2014-11-08 17:30:00,False,133,VfB Stuttgart,l,123,Werder Bremen,0.774005,8.0,0,176,32,3,1.4739,l,0.774005,0.645076,12.0,2,368,27,6,0.645076,2.68,3.73,2.63
Bundesliga 2014_121_133_2014-11-23 16:30:00,2014-11-23 16:30:00,True,133,VfB Stuttgart,l,121,Augsburg,0.382848,9.0,0,320,32,1,0.2217,l,0.382848,2.06226,17.0,1,163,30,5,1.30449,2.53,3.49,2.96
Bundesliga 2014_133_135_2014-11-28 19:30:00,2014-11-28 19:30:00,False,133,VfB Stuttgart,w,135,Freiburg,3.36392,18.0,4,324,26,3,2.5129,w,3.36392,1.49535,16.0,1,223,21,11,1.49535,3.06,3.55,2.43
Bundesliga 2014_124_133_2014-12-06 14:30:00,2014-12-06 14:30:00,True,133,VfB Stuttgart,l,124,Schalke 04,0.675308,13.0,0,310,32,7,0.5699000000000001,l,0.675308,1.6953,13.0,4,288,21,5,1.6953,2.24,3.65,3.34
Bundesliga 2014_125_133_2014-12-13 17:30:00,2014-12-13 17:30:00,False,133,VfB Stuttgart,d,125,Mainz 05,0.54527,8.0,1,297,33,1,0.6920000000000001,d,0.54527,1.35199,22.0,1,161,38,4,1.35199,3.09,3.6,2.38
Bundesliga 2014_118_133_2014-12-16 19:00:00,2014-12-16 19:00:00,False,133,VfB Stuttgart,w,118,Hamburger SV,1.36453,16.0,1,325,26,9,2.1834,w,1.36453,0.436429,8.0,0,165,32,8,0.436429,3.64,3.54,2.16
Bundesliga 2014_133_205_2014-12-20 14:30:00,2014-12-20 14:30:00,True,133,VfB Stuttgart,d,205,Paderborn,0.772123,11.0,0,265,27,2,1.2028,d,0.772123,0.933283,17.0,0,141,35,4,0.933283,1.88,3.9,4.33
Bundesliga 2014_130_133_2015-01-31 14:30:00,2015-01-31 14:30:00,True,133,VfB Stuttgart,l,130,Borussia M.Gladbach,1.61352,12.0,0,402,24,6,1.6721,l,1.61352,1.27392,10.0,1,248,16,7,1.27392,3.0,3.51,2.49
Bundesliga 2014_133_134_2015-02-04 19:00:00,2015-02-04 19:00:00,False,133,VfB Stuttgart,d,134,FC Cologne,0.621159,7.0,0,316,25,2,1.6194,d,0.621159,0.310801,5.0,0,369,23,5,0.310801,3.5,3.49,2.23
Bundesliga 2014_117_133_2015-02-07 14:30:00,2015-02-07 14:30:00,True,133,VfB Stuttgart,l,117,Bayern Munich,0.132112,4.0,0,285,11,1,1.1503,l,0.132112,0.0975022,8.0,2,50,12,1,0.0975022,15.5,6.92,1.23
Bundesliga 2014_120_133_2015-02-14 14:30:00,2015-02-14 14:30:00,False,133,VfB Stuttgart,l,120,Hoffenheim,0.1911,7.0,1,162,33,0,0.4511,l,0.1911,1.20262,21.0,2,195,36,6,1.20262,4.06,3.75,1.97
Bundesliga 2014_129_133_2015-02-20 19:30:00,2015-02-20 19:30:00,True,133,VfB Stuttgart,l,129,Borussia Dortmund,1.55893,7.0,2,338,23,1,1.3682999999999998,l,0.801157,1.56399,13.0,3,279,40,6,1.56399,5.95,4.2,1.63
Bundesliga 2014_128_133_2015-02-28 14:30:00,2015-02-28 14:30:00,False,133,VfB Stuttgart,d,128,Hannover 96,0.742277,9.0,1,215,26,2,0.7116,d,0.742277,1.5399,16.0,1,162,34,3,1.5399,3.53,3.48,2.23
