match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Bundesliga 2015_129_130_2015-08-15 20:30:00,2015-08-15 20:30:00,True,129,Borussia Dortmund,w,130,Borussia M.Gladbach,2.42013,17.0,4,321,28,7,2.8414,w,2.42013,0.18521,5.0,0,385,19,1,0.18521,1.73,4.0,5.21
Bundesliga 2015_126_129_2015-08-23 17:30:00,2015-08-23 17:30:00,False,129,Borussia Dortmund,w,126,Ingolstadt,3.63386,18.0,4,122,28,15,2.978,w,2.87608,0.0514071,3.0,0,297,32,1,0.0514071,1.5,4.61,7.27
Bundesliga 2015_122_129_2015-08-30 17:30:00,2015-08-30 17:30:00,True,129,Borussia Dortmund,w,122,Hertha Berlin,3.73248,15.0,3,184,34,10,2.9256,w,3.73248,0.633538,4.0,1,307,21,1,0.633538,1.24,7.06,14.5
Bundesliga 2015_128_129_2015-09-12 17:30:00,2015-09-12 17:30:00,False,129,Borussia Dortmund,w,128,Hannover 96,2.16909,17.0,4,120,20,18,2.6185000000000005,w,0.65354,0.582795,5.0,2,323,12,1,0.582795,1.47,4.76,7.68
Bundesliga 2015_119_129_2015-09-20 19:30:00,2015-09-20 19:30:00,True,129,Borussia Dortmund,w,119,Bayer Leverkusen,4.08165,22.0,3,214,37,14,2.8865,w,3.32388,0.927753,8.0,0,309,37,5,0.927753,1.77,4.1,4.74
Bundesliga 2015_120_129_2015-09-23 22:00:00,2015-09-23 22:00:00,False,129,Borussia Dortmund,d,120,Hoffenheim,1.63998,14.0,1,121,25,11,1.723,d,1.63998,1.18726,10.0,1,420,27,4,1.18726,1.45,5.02,7.69
Bundesliga 2015_127_129_2015-09-27 19:30:00,2015-09-27 19:30:00,True,129,Borussia Dortmund,d,127,Darmstadt,1.97055,16.0,2,96,26,17,2.5162,d,1.97055,0.508638,4.0,2,368,29,1,0.508638,1.15,9.5,22.4
Bundesliga 2015_117_129_2015-10-04 19:30:00,2015-10-04 19:30:00,False,129,Borussia Dortmund,l,117,Bayern Munich,1.10489,10.0,1,371,28,3,0.1156,l,1.10489,3.72164,14.0,5,264,31,11,2.96386,6.6,4.56,1.54
Bundesliga 2015_125_129_2015-10-16 22:30:00,2015-10-16 22:30:00,False,129,Borussia Dortmund,w,125,Mainz 05,3.64229,16.0,2,307,35,12,2.6053,w,2.86537,1.55155,11.0,0,219,41,9,1.55155,1.5,4.85,6.74
Bundesliga 2015_121_129_2015-10-25 18:30:00,2015-10-25 18:30:00,True,129,Borussia Dortmund,w,121,Augsburg,4.21104,19.0,5,218,22,18,2.9914,w,4.21104,0.293643,4.0,1,331,30,3,0.293643,1.2,8.05,16.0
Bundesliga 2015_123_129_2015-10-31 18:30:00,2015-10-31 18:30:00,False,129,Borussia Dortmund,w,123,Werder Bremen,3.35901,11.0,3,149,36,12,2.7806,w,3.35901,0.983033,8.0,1,525,25,5,0.983033,1.4,5.33,8.4
Bundesliga 2015_124_129_2015-11-08 18:30:00,2015-11-08 18:30:00,True,129,Borussia Dortmund,w,124,Schalke 04,2.14772,14.0,3,259,25,12,1.954,w,2.14772,1.37138,9.0,2,374,22,3,1.37138,1.35,5.97,9.0
Bundesliga 2015_118_129_2015-11-20 23:45:00,2015-11-20 23:45:00,False,129,Borussia Dortmund,l,118,Hamburger SV,2.31377,21.0,1,125,28,10,1.9836,l,2.31377,1.47142,7.0,3,379,32,2,0.713809,1.4,5.27,8.55
Bundesliga 2015_129_133_2015-11-29 18:30:00,2015-11-29 18:30:00,True,129,Borussia Dortmund,w,133,VfB Stuttgart,2.12434,14.0,4,145,23,6,2.3803,w,2.12434,0.700582,8.0,1,481,28,5,0.700582,1.23,7.68,12.78
Bundesliga 2015_129_131_2015-12-05 21:30:00,2015-12-05 21:30:00,False,129,Borussia Dortmund,w,131,Wolfsburg,2.58853,14.0,2,271,25,5,2.0022,w,2.58853,1.78593,22.0,1,211,17,5,1.02816,1.83,4.22,4.24
Bundesliga 2015_129_132_2015-12-13 20:30:00,2015-12-13 20:30:00,True,129,Borussia Dortmund,w,132,Eintracht Frankfurt,6.02931,24.0,4,163,21,22,3.0,w,5.27153,0.133013,3.0,1,328,9,0,0.133013,1.18,9.0,16.0
Bundesliga 2015_129_134_2015-12-19 18:30:00,2015-12-19 18:30:00,False,129,Borussia Dortmund,l,134,FC Cologne,0.750674,14.0,1,122,23,9,1.2801,l,0.750674,0.769926,14.0,2,380,25,6,0.769926,1.51,4.72,6.82
Bundesliga 2015_129_130_2016-01-23 21:30:00,2016-01-23 21:30:00,False,129,Borussia Dortmund,w,130,Borussia M.Gladbach,2.60367,12.0,3,287,35,13,2.4801,w,2.60367,0.969724,10.0,1,260,28,9,0.969724,1.69,4.38,5.0
Bundesliga 2015_126_129_2016-01-30 18:30:00,2016-01-30 18:30:00,True,129,Borussia Dortmund,w,126,Ingolstadt,2.19495,11.0,2,103,30,5,2.8245,w,2.19495,0.145484,5.0,0,292,37,1,0.145484,1.17,8.3,21.5
Bundesliga 2015_122_129_2016-02-06 18:30:00,2016-02-06 18:30:00,False,129,Borussia Dortmund,d,122,Hertha Berlin,0.391491,9.0,0,185,34,7,0.8168,d,0.391491,0.881103,10.0,0,400,17,3,0.881103,1.54,4.43,6.82
Bundesliga 2015_128_129_2016-02-13 18:30:00,2016-02-13 18:30:00,True,129,Borussia Dortmund,w,128,Hannover 96,1.23883,14.0,1,184,39,5,2.3404,w,1.23883,0.212153,4.0,0,537,9,2,0.212153,1.14,10.0,21.5
Bundesliga 2015_119_129_2016-02-21 18:30:00,2016-02-21 18:30:00,False,129,Borussia Dortmund,w,119,Bayer Leverkusen,1.25829,7.0,1,209,28,5,1.8058,w,1.25829,0.788355,9.0,0,241,39,8,0.788355,2.28,3.58,3.31
Bundesliga 2015_120_129_2016-02-28 20:30:00,2016-02-28 20:30:00,True,129,Borussia Dortmund,w,120,Hoffenheim,2.47417,26.0,3,139,21,13,2.4421,w,2.47417,0.88117,9.0,1,503,22,6,0.88117,1.21,7.85,15.0
Bundesliga 2015_127_129_2016-03-02 23:00:00,2016-03-02 23:00:00,False,129,Borussia Dortmund,w,127,Darmstadt,3.36158,13.0,2,100,26,13,2.9044,w,3.36158,0.422078,5.0,0,385,31,4,0.422078,1.43,4.98,8.39
Bundesliga 2015_117_129_2016-03-05 21:30:00,2016-03-05 21:30:00,True,129,Borussia Dortmund,d,117,Bayern Munich,0.750153,11.0,0,438,17,6,1.0081,d,0.750153,1.15007,17.0,0,242,36,4,1.15007,3.29,3.61,2.28
Bundesliga 2015_125_129_2016-03-13 20:30:00,2016-03-13 20:30:00,True,129,Borussia Dortmund,w,125,Mainz 05,3.95436,22.0,2,215,16,16,2.9783000000000004,w,3.95436,0.136645,4.0,0,461,30,0,0.136645,1.34,5.74,10.28
Bundesliga 2015_121_129_2016-03-20 20:30:00,2016-03-20 20:30:00,False,129,Borussia Dortmund,w,121,Augsburg,1.52542,13.0,3,143,13,13,1.7735,w,1.52542,1.01768,7.0,1,633,25,4,1.01768,1.49,4.68,7.5
Bundesliga 2015_123_129_2016-04-02 20:30:00,2016-04-02 20:30:00,True,129,Borussia Dortmund,w,123,Werder Bremen,2.84328,23.0,3,155,31,14,2.779,w,2.84328,0.436067,9.0,2,422,20,4,0.436067,1.22,7.5,14.5
Bundesliga 2015_124_129_2016-04-10 17:30:00,2016-04-10 17:30:00,False,129,Borussia Dortmund,d,124,Schalke 04,1.6976,16.0,2,258,23,9,1.7211,d,1.6976,1.23275,10.0,2,188,35,6,0.474972,1.75,4.17,4.82
Bundesliga 2015_118_129_2016-04-17 17:30:00,2016-04-17 17:30:00,True,129,Borussia Dortmund,w,118,Hamburger SV,1.90773,14.0,3,191,25,11,2.4289,w,1.90773,0.617113,5.0,0,392,26,2,0.617113,1.35,5.74,9.29
Bundesliga 2015_129_133_2016-04-23 17:30:00,2016-04-23 17:30:00,False,129,Borussia Dortmund,w,133,VfB Stuttgart,3.53521,16.0,3,261,22,14,2.9072000000000005,w,3.53521,0.479435,8.0,0,367,55,3,0.479435,1.72,4.27,4.89
Bundesliga 2015_129_131_2016-04-30 17:30:00,2016-04-30 17:30:00,True,129,Borussia Dortmund,w,131,Wolfsburg,3.1369,20.0,5,241,33,20,2.7753,w,3.1369,0.643223,6.0,1,445,25,1,0.643223,1.37,5.53,8.97
Bundesliga 2015_129_132_2016-05-07 17:30:00,2016-05-07 17:30:00,False,129,Borussia Dortmund,l,132,Eintracht Frankfurt,1.4668,13.0,0,46,19,11,2.0305,l,1.4668,0.697175,6.0,1,457,12,3,0.697175,1.48,4.98,7.06
Bundesliga 2015_129_134_2016-05-14 17:30:00,2016-05-14 17:30:00,True,129,Borussia Dortmund,d,134,FC Cologne,1.15049,13.0,2,86,23,11,0.9793,d,1.15049,1.60855,6.0,2,477,7,3,1.60855,1.31,6.46,10.01
