match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Bundesliga 2015_131_132_2015-08-16 17:30:00,2015-08-16 17:30:00,False,132,Eintracht Frankfurt,l,131,Wolfsburg,0.950098,13.0,1,371,33,6,1.4879000000000002,l,0.950098,0.740041,5.0,2,207,27,4,0.740041,6.95,5.0,1.48
Bundesliga 2015_121_132_2015-08-22 17:30:00,2015-08-22 17:30:00,True,132,Eintracht Frankfurt,d,121,Augsburg,0.945278,11.0,1,176,30,8,1.0993,d,0.945278,1.26112,14.0,1,206,33,5,1.26112,2.23,3.55,3.44
Bundesliga 2015_132_133_2015-08-29 17:30:00,2015-08-29 17:30:00,False,132,Eintracht Frankfurt,w,133,VfB Stuttgart,1.9601,6.0,4,205,26,4,0.8443,w,1.20233,2.52237,15.0,1,211,43,9,2.52237,3.93,3.91,1.96
Bundesliga 2015_132_134_2015-09-12 20:30:00,2015-09-12 20:30:00,True,132,Eintracht Frankfurt,w,134,FC Cologne,2.93005,18.0,6,317,34,7,2.6174,w,2.93005,0.902695,13.0,2,288,29,6,0.902695,2.34,3.52,3.24
Bundesliga 2015_118_132_2015-09-19 17:30:00,2015-09-19 17:30:00,False,132,Eintracht Frankfurt,d,118,Hamburger SV,0.221397,7.0,0,241,24,3,0.5693,d,0.221397,0.909692,11.0,0,221,27,3,0.909692,2.8,3.63,2.58
Bundesliga 2015_124_132_2015-09-23 22:00:00,2015-09-23 22:00:00,False,132,Eintracht Frankfurt,l,124,Schalke 04,0.952574,18.0,0,260,30,5,0.4211,l,0.952574,2.25209,13.0,2,258,16,9,2.25209,4.31,4.03,1.85
Bundesliga 2015_122_132_2015-09-27 17:30:00,2015-09-27 17:30:00,True,132,Eintracht Frankfurt,d,122,Hertha Berlin,1.41369,11.0,1,306,24,6,0.7831,d,1.41369,2.23038,14.0,1,198,21,2,2.23038,2.01,3.75,3.91
Bundesliga 2015_126_132_2015-10-03 17:30:00,2015-10-03 17:30:00,False,132,Eintracht Frankfurt,l,126,Ingolstadt,0.740308,12.0,0,146,17,3,0.9633,l,0.740308,1.185,14.0,2,341,33,9,1.185,2.95,3.39,2.59
Bundesliga 2015_130_132_2015-10-17 20:30:00,2015-10-17 20:30:00,True,132,Eintracht Frankfurt,l,130,Borussia M.Gladbach,0.990091,7.0,1,287,32,4,0.0923,l,0.232314,3.50891,16.0,5,263,16,8,2.75113,2.4,3.58,3.08
Bundesliga 2015_128_132_2015-10-24 17:30:00,2015-10-24 17:30:00,False,132,Eintracht Frankfurt,w,128,Hannover 96,0.74964,5.0,2,300,29,4,1.6613,w,0.74964,0.454178,10.0,1,421,19,3,0.454178,2.85,3.54,2.58
Bundesliga 2015_117_132_2015-10-30 23:30:00,2015-10-30 23:30:00,True,132,Eintracht Frankfurt,d,117,Bayern Munich,0.251519,8.0,0,333,11,1,0.379,d,0.251519,1.38915,10.0,0,107,28,10,1.38915,19.24,8.52,1.18
