match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Bundesliga 2016_127_134_2016-08-27 17:30:00,2016-08-27 17:30:00,False,127,Darmstadt,l,134,FC Cologne,0.558815,12.0,0,336,19,3,0.1114,l,0.558815,3.13195,21.0,2,179,14,5,3.13195,5.31,3.72,1.78
Bundesliga 2016_127_132_2016-09-10 17:30:00,2016-09-10 17:30:00,True,127,Darmstadt,w,132,Eintracht Frankfurt,0.277384,8.0,1,501,19,0,0.2988,w,0.277384,1.64252,14.0,0,81,24,7,1.64252,3.21,3.39,2.42
Bundesliga 2016_127_129_2016-09-17 17:30:00,2016-09-17 17:30:00,False,127,Darmstadt,l,129,Borussia Dortmund,0.179729,5.0,0,398,12,0,0.0124,l,0.179729,4.05385,22.0,6,94,10,16,4.05385,23.5,9.9,1.14
Bundesliga 2016_120_127_2016-09-20 22:00:00,2016-09-20 22:00:00,True,127,Darmstadt,d,120,Hoffenheim,1.62811,12.0,1,433,19,2,1.5059,d,1.62811,1.44238,15.0,1,125,27,7,1.44238,3.62,3.7,2.11
Bundesliga 2016_121_127_2016-09-24 17:30:00,2016-09-24 17:30:00,False,127,Darmstadt,l,121,Augsburg,0.129868,4.0,0,386,22,3,0.1833,l,0.129868,1.95473,19.0,1,115,23,8,1.95473,6.05,3.95,1.66
Bundesliga 2016_123_127_2016-10-01 17:30:00,2016-10-01 17:30:00,True,127,Darmstadt,d,123,Werder Bremen,1.27773,9.0,2,207,30,3,1.1228000000000002,d,0.519952,1.54526,14.0,2,112,23,6,1.54526,3.15,3.53,2.39
Bundesliga 2016_125_127_2016-10-16 17:30:00,2016-10-16 17:30:00,False,127,Darmstadt,l,125,Mainz 05,1.93127,12.0,1,159,33,4,0.7191000000000001,l,0.415715,2.86526,13.0,2,136,17,7,2.10748,7.1,4.38,1.54
Bundesliga 2016_127_131_2016-10-22 17:30:00,2016-10-22 17:30:00,True,127,Darmstadt,w,131,Wolfsburg,1.38031,9.0,3,487,28,5,2.0661,w,1.38031,0.577877,9.0,1,148,18,3,0.577877,4.83,3.77,1.83
Bundesliga 2016_127_136_2016-10-29 17:30:00,2016-10-29 17:30:00,True,127,Darmstadt,l,136,RasenBallsport Leipzig,0.199603,4.0,0,306,27,2,0.2264999999999999,l,0.199603,1.64364,11.0,2,111,28,9,1.64364,5.89,4.01,1.67
Bundesliga 2016_119_127_2016-11-05 18:30:00,2016-11-05 18:30:00,False,127,Darmstadt,l,119,Bayer Leverkusen,0.863248,6.0,2,375,28,0,1.5777,l,0.863248,0.674028,12.0,3,122,25,11,0.674028,12.44,6.28,1.28
Bundesliga 2016_126_127_2016-11-19 18:30:00,2016-11-19 18:30:00,True,127,Darmstadt,l,126,Ingolstadt,1.92547,18.0,0,153,28,7,1.9744,l,1.92547,1.18409,15.0,1,109,18,5,1.18409,3.08,3.27,2.57
Bundesliga 2016_124_127_2016-11-27 18:30:00,2016-11-27 18:30:00,False,127,Darmstadt,l,124,Schalke 04,1.26539,9.0,1,385,18,2,0.3775,l,1.26539,2.7318,20.0,3,148,22,7,1.97402,10.52,5.07,1.37
Bundesliga 2016_118_127_2016-12-04 18:30:00,2016-12-04 18:30:00,True,127,Darmstadt,l,118,Hamburger SV,0.567564,10.0,0,120,24,7,0.3624,l,0.567564,2.12004,21.0,2,167,24,8,2.12004,2.78,3.29,2.8
Bundesliga 2016_127_135_2016-12-10 18:30:00,2016-12-10 18:30:00,False,127,Darmstadt,l,135,Freiburg,0.604576,16.0,0,329,13,3,0.4979,l,0.604576,1.61481,12.0,1,155,12,9,0.857031,5.78,3.91,1.69
Bundesliga 2016_117_127_2016-12-18 18:30:00,2016-12-18 18:30:00,True,127,Darmstadt,l,117,Bayern Munich,0.869666,10.0,0,465,22,6,1.0225,l,0.869666,1.21772,13.0,1,102,15,8,1.21772,28.01,10.32,1.13
Bundesliga 2016_122_127_2016-12-21 23:00:00,2016-12-21 23:00:00,False,127,Darmstadt,l,122,Hertha Berlin,1.07625,5.0,0,428,14,2,0.6929,l,1.07625,2.04959,15.0,2,148,21,6,2.04959,6.65,3.93,1.63
Bundesliga 2016_127_130_2017-01-21 17:30:00,2017-01-21 17:30:00,True,127,Darmstadt,d,130,Borussia M.Gladbach,0.802235,8.0,0,331,25,2,0.9328,d,0.802235,1.26715,14.0,0,108,28,3,1.26715,4.27,3.59,1.97
Bundesliga 2016_127_134_2017-01-28 17:30:00,2017-01-28 17:30:00,True,127,Darmstadt,l,134,FC Cologne,1.55993,10.0,1,258,36,3,0.3732999999999999,l,0.802155,3.27302,14.0,6,144,28,6,3.27302,3.89,3.33,2.16
Bundesliga 2016_127_132_2017-02-05 16:30:00,2017-02-05 16:30:00,False,127,Darmstadt,l,132,Eintracht Frankfurt,0.250504,4.0,0,378,17,3,0.0904,l,0.250504,2.40111,15.0,2,103,21,10,1.64334,6.59,4.0,1.62
Bundesliga 2016_127_129_2017-02-11 14:30:00,2017-02-11 14:30:00,True,127,Darmstadt,w,129,Borussia Dortmund,1.93475,15.0,2,344,33,8,2.2519,w,1.93475,0.746753,14.0,1,134,25,11,0.746753,8.85,5.12,1.4
Bundesliga 2016_120_127_2017-02-18 14:30:00,2017-02-18 14:30:00,False,127,Darmstadt,l,120,Hoffenheim,0.316848,7.0,0,358,27,2,0.25,l,0.316848,1.73239,14.0,2,239,28,11,0.974613,7.41,4.84,1.47
Bundesliga 2016_121_127_2017-02-25 14:30:00,2017-02-25 14:30:00,True,127,Darmstadt,l,121,Augsburg,0.680607,5.0,1,189,31,8,0.4268,l,0.680607,1.81789,18.0,2,283,38,7,1.06011,2.98,3.18,2.7
Bundesliga 2016_123_127_2017-03-04 14:30:00,2017-03-04 14:30:00,False,127,Darmstadt,l,123,Werder Bremen,1.68003,15.0,0,155,35,8,1.1274,l,1.68003,1.99892,9.0,2,232,21,8,1.24115,5.34,4.0,1.71
Bundesliga 2016_125_127_2017-03-11 14:30:00,2017-03-11 14:30:00,True,127,Darmstadt,w,125,Mainz 05,1.66213,11.0,2,208,24,6,1.6523,w,0.904358,1.29857,13.0,1,135,28,6,1.29857,3.63,3.44,2.2
Bundesliga 2016_127_131_2017-03-18 14:30:00,2017-03-18 14:30:00,False,127,Darmstadt,l,131,Wolfsburg,0.745708,6.0,0,319,32,3,0.398,l,0.745708,2.27784,18.0,1,205,25,8,2.27784,7.25,4.39,1.53
Bundesliga 2016_127_136_2017-04-01 14:30:00,2017-04-01 14:30:00,False,127,Darmstadt,l,136,RasenBallsport Leipzig,1.05189,11.0,0,296,21,3,0.1494,l,1.05189,4.00225,25.0,4,213,40,13,4.00225,10.39,5.15,1.37
