match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Bundesliga 2019_136_240_2019-08-18 17:00:00,2019-08-18 17:00:00,False,136,RasenBallsport Leipzig,w,240,Union Berlin,3.93387,14.0,4,181,22,12,2.8868,w,3.93387,0.782907,13.0,0,410,26,2,0.782907,1.71,4.21,4.77
Bundesliga 2019_132_136_2019-08-25 14:30:00,2019-08-25 14:30:00,True,136,RasenBallsport Leipzig,w,132,Eintracht Frankfurt,1.77604,13.0,2,305,22,2,2.072,w,1.77604,0.935237,11.0,1,251,27,4,0.935237,1.51,4.75,6.28
Bundesliga 2019_130_136_2019-08-30 19:30:00,2019-08-30 19:30:00,False,136,RasenBallsport Leipzig,w,130,Borussia M.Gladbach,3.13131,14.0,3,294,36,7,2.4716,w,3.13131,1.4586,11.0,1,290,35,4,1.4586,2.15,3.81,3.31
Bundesliga 2019_117_136_2019-09-14 16:30:00,2019-09-14 16:30:00,True,136,RasenBallsport Leipzig,d,117,Bayern Munich,1.65427,12.0,1,481,28,7,1.3633000000000002,d,0.896496,1.6704,14.0,1,192,21,10,1.6704,3.78,4.27,1.88
Bundesliga 2019_123_136_2019-09-21 16:30:00,2019-09-21 16:30:00,False,136,RasenBallsport Leipzig,w,123,Werder Bremen,1.72557,14.0,3,274,28,8,2.2829,w,1.72557,0.583174,11.0,0,293,21,9,0.583174,1.77,4.35,4.24
Bundesliga 2019_124_136_2019-09-28 13:30:00,2019-09-28 13:30:00,True,136,RasenBallsport Leipzig,l,124,Schalke 04,1.2781,17.0,1,159,25,13,0.4762,l,1.2781,2.64689,13.0,3,317,33,10,1.88912,1.59,4.41,5.68
Bundesliga 2019_119_136_2019-10-05 14:30:00,2019-10-05 14:30:00,False,136,RasenBallsport Leipzig,d,119,Bayer Leverkusen,2.45811,11.0,1,507,30,3,1.9665,d,2.45811,1.6617,11.0,1,211,27,9,1.6617,2.91,3.8,2.36
Bundesliga 2019_131_136_2019-10-19 14:30:00,2019-10-19 14:30:00,True,136,RasenBallsport Leipzig,d,131,Wolfsburg,1.35769,13.0,1,205,29,6,1.0785,d,1.35769,1.69441,14.0,1,263,26,6,1.69441,1.56,4.41,6.14
Bundesliga 2019_135_136_2019-10-26 14:30:00,2019-10-26 14:30:00,False,136,RasenBallsport Leipzig,l,135,Freiburg,2.55936,25.0,1,242,21,8,1.9501,l,2.55936,1.77638,14.0,2,311,24,3,1.77638,1.93,3.73,4.14
Bundesliga 2019_125_136_2019-11-02 14:30:00,2019-11-02 14:30:00,True,136,RasenBallsport Leipzig,w,125,Mainz 05,3.95826,19.0,8,212,26,11,2.8805,w,3.95826,0.85545,10.0,0,449,19,4,0.85545,1.35,5.39,9.08
Bundesliga 2019_122_136_2019-11-09 14:30:00,2019-11-09 14:30:00,False,136,RasenBallsport Leipzig,w,122,Hertha Berlin,1.93927,10.0,4,205,29,9,2.6338,w,1.18157,0.46433,7.0,2,371,23,2,0.46433,1.86,3.93,4.19
Bundesliga 2019_134_136_2019-11-23 17:30:00,2019-11-23 17:30:00,True,136,RasenBallsport Leipzig,w,134,FC Cologne,2.57218,20.0,4,177,18,22,2.5181,w,1.81441,0.886616,6.0,1,421,14,3,0.886616,1.36,5.45,8.65
Bundesliga 2019_136_205_2019-11-30 14:30:00,2019-11-30 14:30:00,False,136,RasenBallsport Leipzig,w,205,Paderborn,1.79269,18.0,3,307,37,10,1.5251,w,1.79269,1.55563,8.0,2,285,31,4,1.55563,1.37,5.55,7.97
Bundesliga 2019_120_136_2019-12-07 14:30:00,2019-12-07 14:30:00,True,136,RasenBallsport Leipzig,w,120,Hoffenheim,3.5887,25.0,3,402,38,5,2.6791,w,2.83093,1.28019,11.0,1,237,24,8,1.28019,1.45,5.16,6.73
Bundesliga 2019_136_233_2019-12-14 17:30:00,2019-12-14 17:30:00,False,136,RasenBallsport Leipzig,w,233,Fortuna Duesseldorf,3.98532,21.0,3,178,19,10,2.9701,w,3.22755,0.263544,4.0,0,461,7,0,0.263544,1.45,5.11,6.77
Bundesliga 2019_129_136_2019-12-17 19:30:00,2019-12-17 19:30:00,False,136,RasenBallsport Leipzig,d,129,Borussia Dortmund,2.90735,12.0,3,408,27,5,2.0951,d,2.90735,1.89658,14.0,3,283,26,10,1.89658,3.14,3.79,2.24
Bundesliga 2019_121_136_2019-12-21 14:30:00,2019-12-21 14:30:00,True,136,RasenBallsport Leipzig,w,121,Augsburg,3.84524,22.0,3,95,22,10,2.9351,w,3.84524,0.598351,6.0,1,335,30,1,0.598351,1.27,6.22,11.55
Bundesliga 2019_136_240_2020-01-18 17:30:00,2020-01-18 17:30:00,True,136,RasenBallsport Leipzig,w,240,Union Berlin,1.34573,19.0,3,150,17,12,1.614,w,1.34573,1.02267,15.0,1,359,26,5,1.02267,1.28,6.0,11.21
Bundesliga 2019_132_136_2020-01-25 14:30:00,2020-01-25 14:30:00,False,136,RasenBallsport Leipzig,l,132,Eintracht Frankfurt,1.42745,22.0,0,144,14,8,1.4368,l,1.42745,1.30274,7.0,2,324,28,2,1.30274,1.79,4.28,4.14
Bundesliga 2019_130_136_2020-02-01 17:30:00,2020-02-01 17:30:00,True,136,RasenBallsport Leipzig,d,130,Borussia M.Gladbach,1.29026,18.0,2,196,24,13,1.6163000000000003,d,1.29026,0.973355,7.0,2,355,22,4,0.973355,1.54,4.66,5.8
Bundesliga 2019_117_136_2020-02-09 17:00:00,2020-02-09 17:00:00,False,136,RasenBallsport Leipzig,d,117,Bayern Munich,1.76051,8.0,0,437,27,5,1.9532,d,1.76051,1.0745,10.0,0,163,20,6,1.0745,6.47,5.21,1.45
Bundesliga 2019_123_136_2020-02-15 14:30:00,2020-02-15 14:30:00,True,136,RasenBallsport Leipzig,w,123,Werder Bremen,2.22403,10.0,3,333,25,5,2.8607,w,2.22403,0.206913,8.0,0,356,27,1,0.206913,1.26,6.55,10.94
Bundesliga 2019_124_136_2020-02-22 17:30:00,2020-02-22 17:30:00,False,136,RasenBallsport Leipzig,w,124,Schalke 04,3.12937,22.0,5,333,36,5,2.8877,w,3.12937,0.289302,3.0,0,231,40,2,0.289302,1.81,4.05,4.28
Bundesliga 2019_119_136_2020-03-01 14:30:00,2020-03-01 14:30:00,True,136,RasenBallsport Leipzig,d,119,Bayer Leverkusen,0.934157,9.0,1,470,32,10,1.1495000000000002,d,0.934157,1.16579,14.0,1,236,21,4,1.16579,1.52,4.91,5.83
Bundesliga 2019_131_136_2020-03-07 14:30:00,2020-03-07 14:30:00,False,136,RasenBallsport Leipzig,d,131,Wolfsburg,1.08959,15.0,0,201,21,8,1.7761999999999998,d,1.08959,0.597206,16.0,0,339,26,2,0.597206,1.96,3.71,3.99
Bundesliga 2019_135_136_2020-05-16 13:30:00,2020-05-16 13:30:00,True,136,RasenBallsport Leipzig,d,135,Freiburg,1.91915,23.0,1,190,18,18,2.5226999999999995,d,1.91915,0.334381,7.0,1,366,15,3,0.334381,1.32,5.73,9.87
Bundesliga 2019_125_136_2020-05-24 13:30:00,2020-05-24 13:30:00,False,136,RasenBallsport Leipzig,w,125,Mainz 05,5.2681,21.0,5,217,31,15,2.9953000000000003,w,5.2681,0.320493,4.0,0,423,20,3,0.320493,1.44,5.27,6.51
Bundesliga 2019_122_136_2020-05-27 16:30:00,2020-05-27 16:30:00,True,136,RasenBallsport Leipzig,d,122,Hertha Berlin,0.612996,11.0,2,207,19,3,0.5384,d,0.612996,1.57339,13.0,2,285,30,5,0.815618,1.37,5.53,8.17
Bundesliga 2019_134_136_2020-06-01 18:30:00,2020-06-01 18:30:00,False,136,RasenBallsport Leipzig,w,134,FC Cologne,3.20866,19.0,4,275,12,9,2.7019,w,3.20866,0.803762,7.0,2,275,29,4,0.803762,1.55,4.63,5.81
Bundesliga 2019_136_205_2020-06-06 13:30:00,2020-06-06 13:30:00,True,136,RasenBallsport Leipzig,d,205,Paderborn,1.91324,12.0,1,230,26,9,1.8754,d,1.91324,1.274,17.0,1,253,21,2,1.274,1.14,8.59,18.04
Bundesliga 2019_120_136_2020-06-12 18:30:00,2020-06-12 18:30:00,False,136,RasenBallsport Leipzig,w,120,Hoffenheim,1.36763,14.0,2,226,24,13,1.0979,w,1.36763,1.75723,22.0,0,217,25,8,1.75723,1.44,5.47,6.48
Bundesliga 2019_136_233_2020-06-17 18:30:00,2020-06-17 18:30:00,True,136,RasenBallsport Leipzig,d,233,Fortuna Duesseldorf,1.25224,14.0,2,126,11,5,1.9461,d,1.25224,0.594246,12.0,2,447,15,4,0.594246,1.22,6.4,13.87
Bundesliga 2019_129_136_2020-06-20 13:30:00,2020-06-20 13:30:00,True,136,RasenBallsport Leipzig,l,129,Borussia Dortmund,1.03505,16.0,0,433,35,11,0.2355,l,1.03505,3.12342,11.0,2,281,20,10,3.12342,2.37,3.74,2.98
Bundesliga 2019_121_136_2020-06-27 13:30:00,2020-06-27 13:30:00,False,136,RasenBallsport Leipzig,w,121,Augsburg,1.88507,14.0,2,175,22,6,2.7143,w,1.88507,0.161187,5.0,1,349,30,3,0.161187,1.42,5.15,6.99
