match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Bundesliga 2020_132_262_2020-09-19 13:30:00,2020-09-19 13:30:00,False,262,Arminia Bielefeld,d,132,Eintracht Frankfurt,0.618787,14.0,1,311,25,2,0.2322,d,0.618787,2.46928,18.0,1,176,26,9,2.46928,5.08,4.21,1.67
Bundesliga 2020_134_262_2020-09-26 13:30:00,2020-09-26 13:30:00,True,262,Arminia Bielefeld,w,134,FC Cologne,0.163242,7.0,1,263,24,1,0.2553999999999999,w,0.163242,1.3741,12.0,0,275,21,10,1.3741,2.79,3.62,2.59
Bundesliga 2020_123_262_2020-10-03 13:30:00,2020-10-03 13:30:00,False,262,Arminia Bielefeld,l,123,Werder Bremen,1.02247,10.0,0,154,20,7,2.029,l,1.02247,0.346071,7.0,1,391,19,5,0.346071,3.37,3.67,2.15
Bundesliga 2020_117_262_2020-10-17 16:30:00,2020-10-17 16:30:00,True,262,Arminia Bielefeld,l,117,Bayern Munich,1.21235,11.0,1,416,12,4,0.2714999999999999,l,1.21235,3.29447,16.0,4,223,30,16,3.29447,15.18,7.9,1.19
Bundesliga 2020_131_262_2020-10-25 14:30:00,2020-10-25 14:30:00,False,262,Arminia Bielefeld,l,131,Wolfsburg,0.664903,8.0,1,300,28,3,0.2212,l,0.664903,2.77748,14.0,2,307,23,12,2.77748,5.39,4.01,1.69
Bundesliga 2020_129_262_2020-10-31 14:30:00,2020-10-31 14:30:00,True,262,Arminia Bielefeld,l,129,Borussia Dortmund,0.255813,5.0,0,477,18,0,0.0945,l,0.255813,2.75909,21.0,2,159,21,18,2.75909,7.79,5.12,1.42
Bundesliga 2020_240_262_2020-11-07 14:30:00,2020-11-07 14:30:00,False,262,Arminia Bielefeld,l,240,Union Berlin,0.259002,5.0,0,385,13,3,0.1128,l,0.259002,2.25166,9.0,5,397,19,10,1.49388,4.52,3.9,1.83
Bundesliga 2020_119_262_2020-11-21 14:30:00,2020-11-21 14:30:00,True,262,Arminia Bielefeld,l,119,Bayer Leverkusen,0.0,1.0,1,435,19,1,0.1552,l,0.0,1.32693,10.0,2,183,15,7,1.32693,6.08,4.4,1.58
Bundesliga 2020_136_262_2020-11-28 14:30:00,2020-11-28 14:30:00,False,262,Arminia Bielefeld,l,136,RasenBallsport Leipzig,1.76313,13.0,1,323,21,7,0.6924,l,1.76313,2.84171,15.0,2,213,22,9,2.08393,13.45,6.8,1.23
Bundesliga 2020_125_262_2020-12-05 14:30:00,2020-12-05 14:30:00,True,262,Arminia Bielefeld,w,125,Mainz 05,1.18485,11.0,2,268,38,5,0.3863,w,1.18485,2.54193,15.0,1,268,28,5,2.54193,2.92,3.51,2.54
Bundesliga 2020_135_262_2020-12-12 14:30:00,2020-12-12 14:30:00,False,262,Arminia Bielefeld,l,135,Freiburg,0.238384,5.0,0,284,24,0,0.1051,l,0.238384,2.43027,16.0,2,344,31,5,1.67265,4.56,4.04,1.79
Bundesliga 2020_121_262_2020-12-16 19:30:00,2020-12-16 19:30:00,True,262,Arminia Bielefeld,l,121,Augsburg,0.702085,12.0,0,223,29,5,1.6159,l,0.702085,0.370523,8.0,1,189,22,2,0.370523,2.94,3.24,2.68
Bundesliga 2020_124_262_2020-12-19 14:30:00,2020-12-19 14:30:00,False,262,Arminia Bielefeld,w,124,Schalke 04,0.89989,8.0,1,154,36,4,1.8608,w,0.89989,0.338524,11.0,0,225,21,4,0.338524,3.45,3.44,2.26
Bundesliga 2020_130_262_2021-01-02 14:30:00,2021-01-02 14:30:00,True,262,Arminia Bielefeld,l,130,Borussia M.Gladbach,0.707828,7.0,0,315,20,6,0.5172,l,0.707828,1.88594,22.0,1,229,15,16,1.88594,5.95,4.25,1.61
Bundesliga 2020_122_262_2021-01-10 17:00:00,2021-01-10 17:00:00,True,262,Arminia Bielefeld,w,122,Hertha Berlin,0.623296,12.0,1,237,21,1,1.2946000000000002,w,0.623296,0.603143,10.0,0,191,27,3,0.603143,4.26,3.73,1.92
Bundesliga 2020_120_262_2021-01-16 14:30:00,2021-01-16 14:30:00,False,262,Arminia Bielefeld,d,120,Hoffenheim,0.596397,8.0,0,293,36,5,1.2416999999999998,d,0.596397,0.655307,11.0,0,308,21,5,0.655307,5.29,3.93,1.72
Bundesliga 2020_133_262_2021-01-20 19:30:00,2021-01-20 19:30:00,True,262,Arminia Bielefeld,w,133,VfB Stuttgart,1.8577,9.0,3,395,22,4,1.7829999999999997,w,1.8577,1.32249,11.0,0,175,20,8,1.32249,4.52,3.87,1.83
Bundesliga 2020_132_262_2021-01-23 14:30:00,2021-01-23 14:30:00,True,262,Arminia Bielefeld,l,132,Eintracht Frankfurt,0.328715,8.0,1,349,35,4,0.1391,l,0.328715,2.56406,15.0,5,245,27,11,2.56406,4.72,3.83,1.81
Bundesliga 2020_134_262_2021-01-31 14:30:00,2021-01-31 14:30:00,False,262,Arminia Bielefeld,l,134,FC Cologne,0.949382,9.0,1,182,32,8,0.8998999999999999,l,0.949382,1.50709,14.0,3,252,28,3,1.50709,3.5,3.27,2.32
Bundesliga 2020_117_262_2021-02-15 19:30:00,2021-02-15 19:30:00,False,262,Arminia Bielefeld,d,117,Bayern Munich,1.71797,7.0,3,336,17,5,0.9427,d,1.71797,2.29294,19.0,3,199,26,6,2.29294,15.81,8.68,1.17
Bundesliga 2020_131_262_2021-02-19 19:30:00,2021-02-19 19:30:00,True,262,Arminia Bielefeld,l,131,Wolfsburg,0.319638,7.0,0,324,19,6,0.2613999999999999,l,0.319638,1.67634,11.0,3,257,18,5,1.67634,5.61,3.84,1.7
Bundesliga 2020_129_262_2021-02-27 14:30:00,2021-02-27 14:30:00,False,262,Arminia Bielefeld,l,129,Borussia Dortmund,0.636679,8.0,0,394,25,3,0.2463999999999999,l,0.636679,2.50855,20.0,3,231,17,23,1.75077,16.01,6.92,1.2
Bundesliga 2020_240_262_2021-03-07 17:00:00,2021-03-07 17:00:00,True,262,Arminia Bielefeld,d,240,Union Berlin,0.213406,5.0,0,470,22,4,0.3078,d,0.213406,1.49282,7.0,0,280,16,3,1.49282,4.07,3.59,2.0
Bundesliga 2020_123_262_2021-03-10 19:30:00,2021-03-10 19:30:00,True,262,Arminia Bielefeld,l,123,Werder Bremen,2.49186,22.0,0,167,29,17,1.9788,l,2.49186,1.64589,5.0,2,300,15,4,1.64589,3.47,3.26,2.34
Bundesliga 2020_119_262_2021-03-14 12:30:00,2021-03-14 12:30:00,False,262,Arminia Bielefeld,w,119,Bayer Leverkusen,2.28117,10.0,2,449,23,3,1.3634,w,2.28117,2.37314,20.0,1,100,27,16,2.37314,8.56,5.05,1.41
Bundesliga 2020_136_262_2021-03-19 19:30:00,2021-03-19 19:30:00,True,262,Arminia Bielefeld,l,136,RasenBallsport Leipzig,0.290363,5.0,0,521,16,2,0.1032,l,0.290363,2.509,20.0,1,66,17,16,2.509,9.51,5.13,1.38
Bundesliga 2020_125_262_2021-04-03 13:30:00,2021-04-03 13:30:00,False,262,Arminia Bielefeld,d,125,Mainz 05,0.376815,9.0,1,252,16,2,0.1496,d,0.376815,2.45668,12.0,1,156,29,6,1.69891,4.88,3.88,1.78
