match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Bundesliga 2020_121_240_2020-09-19 13:30:00,2020-09-19 13:30:00,False,121,Augsburg,w,240,Union Berlin,1.42046,9.0,3,340,16,0,1.6946,w,1.42046,1.04515,13.0,1,238,18,1,1.04515,3.29,3.25,2.37
Bundesliga 2020_121_129_2020-09-26 13:30:00,2020-09-26 13:30:00,True,121,Augsburg,w,129,Borussia Dortmund,1.44779,6.0,2,475,17,2,1.3245,w,1.44779,1.5267,16.0,0,111,22,13,1.5267,7.52,4.95,1.45
Bundesliga 2020_121_131_2020-10-04 13:30:00,2020-10-04 13:30:00,False,121,Augsburg,d,131,Wolfsburg,1.80757,9.0,0,363,24,4,1.8152,d,1.80757,1.31989,17.0,0,182,29,7,1.31989,3.7,3.64,2.05
Bundesliga 2020_121_136_2020-10-17 13:30:00,2020-10-17 13:30:00,True,121,Augsburg,l,136,RasenBallsport Leipzig,0.550472,6.0,0,352,15,1,0.2143999999999999,l,0.550472,2.39694,15.0,2,168,27,19,2.39694,6.16,4.61,1.55
Bundesliga 2020_119_121_2020-10-26 19:30:00,2020-10-26 19:30:00,False,121,Augsburg,l,119,Bayer Leverkusen,0.342366,7.0,1,497,25,3,0.0906,l,0.342366,2.6291,15.0,3,225,30,6,1.87132,5.42,4.18,1.66
Bundesliga 2020_121_125_2020-10-31 14:30:00,2020-10-31 14:30:00,True,121,Augsburg,w,125,Mainz 05,1.78716,14.0,3,332,20,6,2.0084,w,1.78716,1.01141,8.0,1,287,35,5,1.01141,2.09,3.71,3.64
Bundesliga 2020_121_122_2020-11-07 14:30:00,2020-11-07 14:30:00,True,121,Augsburg,l,122,Hertha Berlin,0.350601,10.0,0,311,33,3,0.1264,l,0.350601,2.51682,12.0,3,271,20,5,1.75904,2.98,3.64,2.42
Bundesliga 2020_121_130_2020-11-21 14:30:00,2020-11-21 14:30:00,False,121,Augsburg,d,130,Borussia M.Gladbach,0.813971,10.0,1,335,19,5,0.6671,d,0.813971,1.70506,15.0,1,326,32,9,1.70506,6.35,4.82,1.51
Bundesliga 2020_121_135_2020-11-28 14:30:00,2020-11-28 14:30:00,True,121,Augsburg,d,135,Freiburg,0.385539,10.0,1,228,21,2,1.1507,d,0.385539,0.470106,10.0,1,389,23,1,0.470106,2.48,3.5,3.0
Bundesliga 2020_120_121_2020-12-07 19:30:00,2020-12-07 19:30:00,False,121,Augsburg,l,120,Hoffenheim,0.793064,13.0,1,360,18,5,0.8096,l,0.793064,1.45954,10.0,3,253,28,8,1.45954,4.19,4.01,1.87
Bundesliga 2020_121_124_2020-12-13 14:30:00,2020-12-13 14:30:00,True,121,Augsburg,d,124,Schalke 04,1.25437,8.0,2,297,20,2,0.9052,d,1.25437,1.90769,15.0,2,154,27,10,1.90769,1.94,3.68,4.2
Bundesliga 2020_121_262_2020-12-16 19:30:00,2020-12-16 19:30:00,False,121,Augsburg,w,262,Arminia Bielefeld,0.370523,8.0,1,189,22,2,0.9535,w,0.370523,0.702085,12.0,0,223,29,5,0.702085,2.68,3.24,2.94
Bundesliga 2020_121_132_2020-12-19 14:30:00,2020-12-19 14:30:00,True,121,Augsburg,l,132,Eintracht Frankfurt,1.44889,15.0,0,256,22,5,0.8,l,1.44889,2.37301,15.0,2,200,23,6,2.37301,3.84,3.8,2.0
Bundesliga 2020_121_134_2021-01-02 14:30:00,2021-01-02 14:30:00,False,121,Augsburg,w,134,FC Cologne,1.23997,11.0,1,209,25,6,2.1133,w,1.23997,0.454651,12.0,0,309,34,1,0.454651,3.2,3.36,2.43
Bundesliga 2020_121_133_2021-01-10 14:30:00,2021-01-10 14:30:00,True,121,Augsburg,l,133,VfB Stuttgart,0.97454,14.0,1,301,29,6,0.1023999999999999,l,0.97454,4.01214,27.0,4,238,24,13,3.25437,3.37,3.56,2.25
