match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Bundesliga 2020_120_134_2020-09-19 13:30:00,2020-09-19 13:30:00,True,134,FC Cologne,l,120,Hoffenheim,2.40801,13.0,2,274,23,5,0.9889,l,2.40801,2.9032,13.0,3,277,24,10,2.14542,2.62,3.67,2.63
Bundesliga 2020_134_262_2020-09-26 13:30:00,2020-09-26 13:30:00,False,134,FC Cologne,l,262,Arminia Bielefeld,1.3741,12.0,0,275,21,10,2.5636,l,1.3741,0.163242,7.0,1,263,24,1,0.163242,2.59,3.62,2.79
Bundesliga 2020_130_134_2020-10-03 13:30:00,2020-10-03 13:30:00,True,134,FC Cologne,l,130,Borussia M.Gladbach,0.244959,8.0,1,414,32,2,0.1627,l,0.244959,2.0629,17.0,3,226,32,12,1.30512,3.96,3.91,1.91
Bundesliga 2020_132_134_2020-10-18 13:30:00,2020-10-18 13:30:00,True,134,FC Cologne,d,132,Eintracht Frankfurt,1.41695,9.0,1,256,34,4,1.2263000000000002,d,1.41695,1.54892,16.0,1,185,21,10,0.791147,3.28,3.95,2.15
Bundesliga 2020_133_134_2020-10-23 18:30:00,2020-10-23 18:30:00,False,134,FC Cologne,d,133,VfB Stuttgart,2.37516,14.0,1,355,21,3,2.581,d,1.61738,0.722179,9.0,1,227,19,4,0.722179,3.87,4.04,1.93
Bundesliga 2020_117_134_2020-10-31 14:30:00,2020-10-31 14:30:00,True,134,FC Cologne,l,117,Bayern Munich,0.681548,9.0,1,404,14,2,0.9112,l,0.681548,0.992927,7.0,2,207,36,9,0.23515,13.36,7.81,1.18
Bundesliga 2020_123_134_2020-11-06 19:30:00,2020-11-06 19:30:00,False,134,FC Cologne,d,123,Werder Bremen,0.399372,8.0,1,429,18,2,0.4541,d,0.399372,1.35118,18.0,1,184,32,6,0.5934,2.93,3.59,2.48
Bundesliga 2020_134_240_2020-11-22 17:00:00,2020-11-22 17:00:00,True,134,FC Cologne,l,240,Union Berlin,1.08472,10.0,1,273,21,2,0.6547000000000001,l,1.08472,1.89238,10.0,2,284,24,4,1.00177,2.78,3.41,2.71
Bundesliga 2020_129_134_2020-11-28 14:30:00,2020-11-28 14:30:00,False,134,FC Cologne,w,129,Borussia Dortmund,1.59253,7.0,2,416,24,2,0.5805,w,1.59253,2.76041,14.0,1,151,27,17,2.76041,12.17,6.54,1.25
Bundesliga 2020_131_134_2020-12-05 14:30:00,2020-12-05 14:30:00,True,134,FC Cologne,d,131,Wolfsburg,1.08565,6.0,2,353,18,7,0.7538,d,1.08565,1.90682,16.0,2,167,19,13,1.90682,3.69,3.6,2.11
Bundesliga 2020_125_134_2020-12-12 14:30:00,2020-12-12 14:30:00,False,134,FC Cologne,w,125,Mainz 05,0.838955,9.0,1,312,15,0,0.9598,w,0.838955,1.26169,15.0,0,195,20,8,1.26169,2.9,3.68,2.47
Bundesliga 2020_119_134_2020-12-16 19:30:00,2020-12-16 19:30:00,True,134,FC Cologne,l,119,Bayer Leverkusen,0.251532,7.0,0,432,24,1,0.2037,l,0.251532,1.93376,14.0,4,161,23,11,1.93376,5.18,4.15,1.69
Bundesliga 2020_134_136_2020-12-19 14:30:00,2020-12-19 14:30:00,False,134,FC Cologne,d,136,RasenBallsport Leipzig,0.205395,4.0,0,383,12,1,0.3137999999999999,d,0.205395,1.57839,14.0,0,238,26,12,1.57839,10.62,5.7,1.32
Bundesliga 2020_121_134_2021-01-02 14:30:00,2021-01-02 14:30:00,True,134,FC Cologne,l,121,Augsburg,0.454651,12.0,0,309,34,1,0.6061000000000001,l,0.454651,1.23997,11.0,1,209,25,6,1.23997,2.43,3.36,3.2
Bundesliga 2020_134_135_2021-01-09 14:30:00,2021-01-09 14:30:00,False,134,FC Cologne,l,135,Freiburg,0.139728,5.0,0,305,17,3,0.0434,l,0.139728,2.91627,12.0,5,298,24,4,2.91627,4.03,3.72,1.98
Bundesliga 2020_122_134_2021-01-16 14:30:00,2021-01-16 14:30:00,True,134,FC Cologne,d,122,Hertha Berlin,0.336553,8.0,0,254,22,3,1.1588,d,0.336553,0.419961,14.0,0,237,30,5,0.419961,3.42,3.31,2.34
Bundesliga 2020_124_134_2021-01-20 17:30:00,2021-01-20 17:30:00,False,134,FC Cologne,w,124,Schalke 04,1.7479,12.0,2,351,23,4,1.8771,w,1.7479,1.14009,15.0,1,186,19,7,1.14009,2.81,3.35,2.72
Bundesliga 2020_120_134_2021-01-24 17:00:00,2021-01-24 17:00:00,False,134,FC Cologne,l,120,Hoffenheim,2.28505,13.0,0,227,32,7,1.0909000000000002,l,1.52727,2.66263,13.0,3,278,19,7,1.14708,4.78,3.7,1.83
Bundesliga 2020_134_262_2021-01-31 14:30:00,2021-01-31 14:30:00,True,134,FC Cologne,w,262,Arminia Bielefeld,1.50709,14.0,3,252,28,3,1.8113,w,1.50709,0.949382,9.0,1,182,32,8,0.949382,2.32,3.27,3.5
Bundesliga 2020_130_134_2021-02-06 17:30:00,2021-02-06 17:30:00,False,134,FC Cologne,w,130,Borussia M.Gladbach,0.816611,7.0,2,454,14,3,1.7211,w,0.816611,0.42778,10.0,1,228,32,5,0.42778,7.4,4.65,1.48
Bundesliga 2020_132_134_2021-02-14 14:30:00,2021-02-14 14:30:00,False,134,FC Cologne,l,132,Eintracht Frankfurt,0.554721,6.0,0,401,23,5,0.1377,l,0.554721,2.94491,17.0,2,214,29,4,2.94491,7.12,4.61,1.5
