match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Bundesliga 2020_121_240_2020-09-19 13:30:00,2020-09-19 13:30:00,True,240,Union Berlin,l,121,Augsburg,1.04515,13.0,1,238,18,1,1.0172,l,1.04515,1.42046,9.0,3,340,16,0,1.42046,2.37,3.25,3.29
Bundesliga 2020_130_240_2020-09-26 13:30:00,2020-09-26 13:30:00,False,240,Union Berlin,d,130,Borussia M.Gladbach,0.771461,15.0,1,397,28,3,0.7774,d,0.771461,1.47627,14.0,1,210,19,1,1.47627,7.96,4.8,1.44
Bundesliga 2020_125_240_2020-10-02 18:30:00,2020-10-02 18:30:00,True,240,Union Berlin,w,125,Mainz 05,2.07145,13.0,4,288,26,1,2.7237000000000005,w,2.07145,0.189144,5.0,0,307,23,2,0.189144,2.18,3.73,3.4
Bundesliga 2020_124_240_2020-10-18 16:00:00,2020-10-18 16:00:00,False,240,Union Berlin,d,124,Schalke 04,0.831403,13.0,1,320,15,2,1.9447,d,0.831403,0.250814,8.0,1,256,20,1,0.250814,2.64,3.29,2.95
Bundesliga 2020_135_240_2020-10-24 13:30:00,2020-10-24 13:30:00,True,240,Union Berlin,d,135,Freiburg,1.28488,22.0,1,235,17,1,2.3454,d,1.28488,0.271576,8.0,1,234,22,1,0.271576,2.3,3.47,3.33
Bundesliga 2020_120_240_2020-11-02 19:30:00,2020-11-02 19:30:00,False,240,Union Berlin,w,120,Hoffenheim,3.66229,9.0,3,328,17,9,2.7108000000000003,w,2.90451,1.49329,10.0,1,216,27,15,1.49329,4.18,3.91,1.89
Bundesliga 2020_240_262_2020-11-07 14:30:00,2020-11-07 14:30:00,True,240,Union Berlin,w,262,Arminia Bielefeld,2.25166,9.0,5,397,19,10,2.8089,w,1.49388,0.259002,5.0,0,385,13,3,0.259002,1.83,3.9,4.52
Bundesliga 2020_134_240_2020-11-22 17:00:00,2020-11-22 17:00:00,False,240,Union Berlin,w,134,FC Cologne,1.89238,10.0,2,284,24,4,2.0716,w,1.00177,1.08472,10.0,1,273,21,2,1.08472,2.71,3.41,2.78
Bundesliga 2020_132_240_2020-11-28 14:30:00,2020-11-28 14:30:00,True,240,Union Berlin,d,132,Eintracht Frankfurt,1.95856,15.0,3,292,17,4,1.8857,d,1.20086,1.33746,12.0,3,193,32,7,1.33746,2.54,3.69,2.8
Bundesliga 2020_122_240_2020-12-04 19:30:00,2020-12-04 19:30:00,False,240,Union Berlin,l,122,Hertha Berlin,0.268079,4.0,1,427,16,4,0.7403,l,0.268079,0.768378,10.0,3,143,25,4,0.768378,2.81,3.48,2.64
