match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Bundesliga 2021_119_240_2021-08-14 13:30:00,2021-08-14 13:30:00,False,119,Bayer Leverkusen,d,240,Union Berlin,0.7943,16.0,1,172,24,5,1.6247,d,0.7943,0.443841,8.0,1,437,24,6,0.443841,2.65,3.44,2.83
Bundesliga 2021_119_130_2021-08-21 16:30:00,2021-08-21 16:30:00,True,119,Bayer Leverkusen,w,130,Borussia M.Gladbach,1.94592,13.0,4,280,21,7,1.5598999999999998,w,1.94592,1.66054,11.0,0,281,29,6,0.902761,2.39,3.71,3.0
Bundesliga 2021_119_121_2021-08-28 13:30:00,2021-08-28 13:30:00,False,119,Bayer Leverkusen,w,121,Augsburg,2.1207,13.0,4,209,24,3,1.6644,w,2.1207,1.6937,13.0,1,348,32,4,1.6937,1.75,3.9,5.08
Bundesliga 2021_119_129_2021-09-11 13:30:00,2021-09-11 13:30:00,True,119,Bayer Leverkusen,l,129,Borussia Dortmund,0.471066,11.0,3,318,16,5,0.2213,l,0.471066,2.2922,15.0,4,228,25,9,1.53443,3.15,3.98,2.2
Bundesliga 2021_119_133_2021-09-19 13:30:00,2021-09-19 13:30:00,False,119,Bayer Leverkusen,w,133,VfB Stuttgart,1.59332,7.0,3,307,22,3,1.5208,w,1.59332,1.41677,18.0,1,162,35,8,1.41677,2.19,3.82,3.29
Bundesliga 2021_119_125_2021-09-25 13:30:00,2021-09-25 13:30:00,True,119,Bayer Leverkusen,w,125,Mainz 05,1.45034,16.0,1,134,22,9,1.7642000000000002,w,1.45034,0.930118,14.0,0,337,28,6,0.930118,1.77,4.07,4.7
Bundesliga 2021_119_262_2021-10-03 17:30:00,2021-10-03 17:30:00,False,119,Bayer Leverkusen,w,262,Arminia Bielefeld,2.96917,19.0,4,167,14,11,2.8188000000000004,w,2.21139,0.447571,10.0,0,413,29,3,0.447571,1.7,4.08,5.24
Bundesliga 2021_117_119_2021-10-17 13:30:00,2021-10-17 13:30:00,True,119,Bayer Leverkusen,l,117,Bayern Munich,0.729378,7.0,1,343,13,6,0.1395,l,0.729378,3.44913,27.0,5,307,33,20,3.44913,5.11,4.62,1.63
Bundesliga 2021_119_134_2021-10-24 13:30:00,2021-10-24 13:30:00,False,119,Bayer Leverkusen,d,134,FC Cologne,1.79735,9.0,2,241,19,8,1.4698,d,1.79735,1.71198,17.0,2,139,40,4,1.71198,2.11,4.0,3.36
Bundesliga 2021_119_131_2021-10-30 13:30:00,2021-10-30 13:30:00,True,119,Bayer Leverkusen,l,131,Wolfsburg,1.30903,12.0,0,127,31,9,0.8616000000000001,l,0.551255,1.8693,13.0,2,269,32,3,1.8693,1.98,3.66,4.09
Bundesliga 2021_119_122_2021-11-07 14:30:00,2021-11-07 14:30:00,False,119,Bayer Leverkusen,d,122,Hertha Berlin,0.774023,8.0,1,218,23,5,1.2456,d,0.774023,0.903476,15.0,1,266,24,8,0.903476,2.06,3.69,3.76
Bundesliga 2021_119_268_2021-11-20 14:30:00,2021-11-20 14:30:00,True,119,Bayer Leverkusen,w,268,Bochum,1.62637,11.0,1,220,18,10,2.1066000000000003,w,1.62637,0.708697,19.0,0,269,29,4,0.708697,1.42,4.98,8.29
Bundesliga 2021_119_136_2021-11-28 16:30:00,2021-11-28 16:30:00,False,119,Bayer Leverkusen,w,136,RasenBallsport Leipzig,1.23553,11.0,3,274,9,6,1.1442,w,1.23553,1.43225,14.0,1,258,27,14,0.674476,4.22,4.07,1.85
Bundesliga 2021_119_267_2021-12-04 14:30:00,2021-12-04 14:30:00,True,119,Bayer Leverkusen,w,267,Greuther Fuerth,2.4319,13.0,7,183,26,7,2.7841000000000005,w,2.4319,0.279746,8.0,1,346,31,1,0.279746,1.25,6.7,12.42
Bundesliga 2021_119_132_2021-12-12 16:30:00,2021-12-12 16:30:00,False,119,Bayer Leverkusen,l,132,Eintracht Frankfurt,1.60141,11.0,2,235,15,10,1.4918,l,0.843633,1.44415,15.0,5,295,26,4,1.44415,2.13,3.84,3.42
Bundesliga 2021_119_120_2021-12-15 19:30:00,2021-12-15 19:30:00,True,119,Bayer Leverkusen,d,120,Hoffenheim,2.42553,17.0,2,284,15,10,1.8974,d,2.42553,1.68115,14.0,2,269,24,12,1.68115,1.88,4.2,3.97
Bundesliga 2021_119_135_2021-12-19 14:30:00,2021-12-19 14:30:00,False,119,Bayer Leverkusen,l,135,Freiburg,0.818605,6.0,1,179,14,6,0.3969,l,0.818605,2.07857,14.0,2,311,20,6,1.32079,2.63,3.7,2.69
Bundesliga 2021_119_240_2022-01-08 14:30:00,2022-01-08 14:30:00,True,119,Bayer Leverkusen,d,240,Union Berlin,2.20526,17.0,2,169,23,7,0.8362,d,2.20526,3.04208,17.0,2,350,17,3,3.04208,1.86,3.84,4.41
Bundesliga 2021_119_130_2022-01-15 17:30:00,2022-01-15 17:30:00,False,119,Bayer Leverkusen,w,130,Borussia M.Gladbach,6.49734,29.0,2,248,20,11,2.9734000000000003,w,4.98179,1.44472,16.0,1,201,20,10,1.44472,2.49,3.88,2.67
Bundesliga 2021_119_121_2022-01-22 14:30:00,2022-01-22 14:30:00,True,119,Bayer Leverkusen,w,121,Augsburg,3.51884,22.0,5,171,15,15,2.6635000000000004,w,3.51884,1.21255,14.0,1,420,23,8,1.21255,1.45,4.5,7.86
Bundesliga 2021_119_129_2022-02-06 14:30:00,2022-02-06 14:30:00,False,119,Bayer Leverkusen,w,129,Borussia Dortmund,1.81345,10.0,5,359,25,7,1.5355,w,1.81345,1.60338,14.0,2,206,24,8,1.60338,3.82,4.1,1.89
Bundesliga 2021_119_133_2022-02-12 17:30:00,2022-02-12 17:30:00,True,119,Bayer Leverkusen,w,133,VfB Stuttgart,2.41919,20.0,4,181,23,19,2.2442,w,2.41919,1.17227,8.0,2,404,10,5,1.17227,1.43,5.16,7.5
Bundesliga 2021_119_125_2022-02-18 19:30:00,2022-02-18 19:30:00,False,119,Bayer Leverkusen,l,125,Mainz 05,0.827749,8.0,2,154,19,7,1.1912,l,0.827749,1.00622,17.0,3,322,32,10,1.00622,2.22,3.69,3.32
Bundesliga 2021_119_262_2022-02-26 14:30:00,2022-02-26 14:30:00,True,119,Bayer Leverkusen,w,262,Arminia Bielefeld,3.05247,21.0,3,172,28,25,2.8739,w,3.05247,0.307307,8.0,0,471,16,5,0.307307,1.38,5.06,9.47
Bundesliga 2021_117_119_2022-03-05 14:30:00,2022-03-05 14:30:00,False,119,Bayer Leverkusen,d,117,Bayern Munich,2.26407,9.0,1,379,25,7,1.8124,d,2.26407,1.6659,20.0,1,180,26,14,1.6659,6.79,5.79,1.42
Bundesliga 2021_119_134_2022-03-13 14:30:00,2022-03-13 14:30:00,True,119,Bayer Leverkusen,l,134,FC Cologne,2.40118,15.0,0,202,23,11,2.6042,l,2.40118,0.59749,6.0,1,232,34,8,0.59749,1.63,4.36,5.48
Bundesliga 2021_119_131_2022-03-20 16:30:00,2022-03-20 16:30:00,False,119,Bayer Leverkusen,w,131,Wolfsburg,1.43941,17.0,2,235,14,6,1.4523,w,1.43941,1.31797,18.0,0,227,18,9,1.31797,2.41,3.55,3.06
Bundesliga 2021_119_122_2022-04-02 13:30:00,2022-04-02 13:30:00,True,119,Bayer Leverkusen,w,122,Hertha Berlin,1.78741,18.0,2,134,21,8,2.0342,w,1.78741,0.872251,7.0,1,375,18,3,0.872251,1.44,5.16,7.32
Bundesliga 2021_119_268_2022-04-10 13:30:00,2022-04-10 13:30:00,False,119,Bayer Leverkusen,d,268,Bochum,1.21928,9.0,0,203,15,7,1.5289,d,0.461501,1.05181,11.0,0,303,19,3,1.05181,1.83,4.18,4.17
Bundesliga 2021_119_136_2022-04-17 17:30:00,2022-04-17 17:30:00,True,119,Bayer Leverkusen,l,136,RasenBallsport Leipzig,0.728724,12.0,0,418,21,4,1.5025,l,0.728724,0.507455,4.0,1,315,14,4,0.507455,3.1,3.73,2.32
Bundesliga 2021_119_267_2022-04-23 13:30:00,2022-04-23 13:30:00,False,119,Bayer Leverkusen,w,267,Greuther Fuerth,2.11362,10.0,4,277,18,3,2.125,w,2.11362,1.18317,9.0,1,298,19,5,1.18317,1.37,5.39,8.94
Bundesliga 2021_119_132_2022-05-02 18:30:00,2022-05-02 18:30:00,True,119,Bayer Leverkusen,w,132,Eintracht Frankfurt,2.17544,11.0,2,322,15,7,2.6969000000000003,w,2.17544,0.349041,9.0,0,431,28,3,0.349041,1.44,5.31,6.96
