match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Bundesliga 2021_131_268_2021-08-14 13:30:00,2021-08-14 13:30:00,False,268,Bochum,l,131,Wolfsburg,0.297792,7.0,0,299,11,2,0.0916,l,0.297792,2.78774,21.0,1,166,17,9,2.02997,5.92,4.41,1.59
Bundesliga 2021_125_268_2021-08-21 13:30:00,2021-08-21 13:30:00,True,268,Bochum,w,125,Mainz 05,1.05301,9.0,2,245,16,1,1.5544,w,1.05301,0.817413,16.0,0,174,22,4,0.817413,2.74,3.59,2.64
Bundesliga 2021_134_268_2021-08-28 13:30:00,2021-08-28 13:30:00,False,268,Bochum,l,134,FC Cologne,0.721445,10.0,1,273,17,6,0.1951999999999999,l,0.721445,2.91135,21.0,2,84,23,10,2.91135,4.28,3.83,1.89
Bundesliga 2021_122_268_2021-09-12 15:30:00,2021-09-12 15:30:00,True,268,Bochum,l,122,Hertha Berlin,1.02687,19.0,1,131,32,3,1.7331,l,1.02687,0.605231,5.0,3,241,13,1,0.605231,2.8,3.42,2.68
Bundesliga 2021_117_268_2021-09-18 13:30:00,2021-09-18 13:30:00,False,268,Bochum,l,117,Bayern Munich,1.23312,5.0,0,373,22,2,0.0008,l,1.23312,6.88189,22.0,7,151,19,17,6.88189,37.07,14.35,1.07
Bundesliga 2021_133_268_2021-09-26 13:30:00,2021-09-26 13:30:00,True,268,Bochum,d,133,VfB Stuttgart,0.925854,14.0,0,301,34,7,1.93,d,0.925854,0.29441,8.0,0,173,17,6,0.29441,3.15,3.62,2.33
Bundesliga 2021_136_268_2021-10-02 16:30:00,2021-10-02 16:30:00,False,268,Bochum,l,136,RasenBallsport Leipzig,1.51583,9.0,0,341,29,5,0.7618,l,1.51583,2.46461,15.0,3,166,19,4,2.46461,14.09,6.96,1.23
Bundesliga 2021_267_268_2021-10-16 13:30:00,2021-10-16 13:30:00,False,268,Bochum,w,267,Greuther Fuerth,1.72207,9.0,1,217,24,2,2.2328,w,1.72207,0.69855,12.0,0,159,30,10,0.69855,3.01,3.56,2.45
Bundesliga 2021_132_268_2021-10-24 17:30:00,2021-10-24 17:30:00,True,268,Bochum,w,132,Eintracht Frankfurt,2.78664,19.0,2,282,25,6,2.2275,w,2.78664,1.51826,14.0,0,156,20,4,0.76048,3.26,3.62,2.27
Bundesliga 2021_130_268_2021-10-31 16:30:00,2021-10-31 16:30:00,False,268,Bochum,l,130,Borussia M.Gladbach,1.07958,11.0,1,411,32,3,0.8349,l,1.07958,1.81742,14.0,2,185,12,7,1.81742,9.3,5.18,1.38
Bundesliga 2021_120_268_2021-11-06 14:30:00,2021-11-06 14:30:00,True,268,Bochum,w,120,Hoffenheim,2.12433,14.0,2,336,18,3,2.4942,w,1.36655,0.641687,9.0,0,177,27,8,0.641687,3.74,3.87,2.01
Bundesliga 2021_119_268_2021-11-20 14:30:00,2021-11-20 14:30:00,False,268,Bochum,l,119,Bayer Leverkusen,0.708697,19.0,0,269,29,4,0.6615,l,0.708697,1.62637,11.0,1,220,18,10,1.62637,8.29,4.98,1.42
Bundesliga 2021_135_268_2021-11-27 14:30:00,2021-11-27 14:30:00,True,268,Bochum,w,135,Freiburg,0.955994,13.0,2,218,12,2,0.5804,w,0.955994,2.12135,22.0,1,152,18,13,2.12135,3.38,3.27,2.38
Bundesliga 2021_121_268_2021-12-04 14:30:00,2021-12-04 14:30:00,False,268,Bochum,w,121,Augsburg,2.04524,12.0,3,228,17,6,0.8468,w,2.04524,2.86606,16.0,2,192,23,6,2.10828,3.28,3.35,2.38
Bundesliga 2021_129_268_2021-12-11 14:30:00,2021-12-11 14:30:00,True,268,Bochum,d,129,Borussia Dortmund,0.966453,4.0,1,336,17,1,0.3271,d,0.208676,2.68284,23.0,1,150,20,19,2.68284,6.3,4.83,1.52
Bundesliga 2021_262_268_2021-12-14 19:30:00,2021-12-14 19:30:00,False,268,Bochum,l,262,Arminia Bielefeld,0.748012,5.0,0,179,24,2,1.4485,l,0.748012,0.642785,13.0,2,195,23,2,0.642785,3.3,3.39,2.36
Bundesliga 2021_240_268_2021-12-18 14:30:00,2021-12-18 14:30:00,True,268,Bochum,l,240,Union Berlin,1.04215,13.0,0,227,20,2,1.3643,l,1.04215,0.999651,9.0,1,316,14,8,0.999651,3.15,3.36,2.46
Bundesliga 2021_131_268_2022-01-09 16:30:00,2022-01-09 16:30:00,True,268,Bochum,w,131,Wolfsburg,1.57295,12.0,1,226,38,8,2.3533,w,1.57295,0.400404,12.0,0,235,30,2,0.400404,3.57,3.53,2.18
Bundesliga 2021_125_268_2022-01-15 14:30:00,2022-01-15 14:30:00,False,268,Bochum,l,125,Mainz 05,1.32639,12.0,0,187,18,6,1.1547,l,0.568614,1.60302,20.0,1,199,28,12,1.60302,6.03,3.7,1.66
Bundesliga 2021_134_268_2022-01-22 17:30:00,2022-01-22 17:30:00,True,268,Bochum,d,134,FC Cologne,1.77931,17.0,2,193,16,5,1.5384999999999998,d,1.77931,1.5434,7.0,2,274,16,3,1.5434,3.39,3.33,2.28
Bundesliga 2021_122_268_2022-02-04 19:30:00,2022-02-04 19:30:00,False,268,Bochum,d,122,Hertha Berlin,0.993261,9.0,1,211,32,4,1.9325,d,0.993261,0.444153,13.0,1,242,34,2,0.444153,3.5,3.5,2.22
Bundesliga 2021_117_268_2022-02-12 14:30:00,2022-02-12 14:30:00,True,268,Bochum,w,117,Bayern Munich,1.34846,12.0,4,295,23,6,0.9798,w,0.590766,1.87083,22.0,2,121,15,10,1.87083,12.76,7.4,1.22
Bundesliga 2021_133_268_2022-02-19 14:30:00,2022-02-19 14:30:00,False,268,Bochum,d,133,VfB Stuttgart,1.93431,13.0,1,235,25,5,1.8556,d,1.17654,1.37485,15.0,1,184,14,4,1.37485,3.48,3.41,2.26
Bundesliga 2021_136_268_2022-02-27 14:30:00,2022-02-27 14:30:00,True,268,Bochum,l,136,RasenBallsport Leipzig,0.998771,13.0,0,215,23,3,1.7118000000000002,l,0.998771,0.61309,6.0,1,221,21,4,0.61309,5.66,4.01,1.67
