match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Bundesliga 2021_120_121_2021-08-14 13:30:00,2021-08-14 13:30:00,False,120,Hoffenheim,w,121,Augsburg,3.44423,15.0,4,206,20,8,2.8664,w,3.44423,0.734658,7.0,0,258,13,9,0.734658,2.23,3.83,3.2
Bundesliga 2021_120_240_2021-08-22 13:30:00,2021-08-22 13:30:00,True,120,Hoffenheim,d,240,Union Berlin,0.967015,7.0,2,174,20,8,0.4249,d,0.967015,2.35122,11.0,2,375,19,5,2.35122,2.06,3.7,3.75
Bundesliga 2021_120_129_2021-08-27 18:30:00,2021-08-27 18:30:00,False,120,Hoffenheim,l,129,Borussia Dortmund,2.42487,9.0,2,297,25,9,0.8178,l,2.42487,3.40779,23.0,3,169,22,12,3.40779,6.5,5.3,1.47
Bundesliga 2021_120_125_2021-09-11 13:30:00,2021-09-11 13:30:00,True,120,Hoffenheim,l,125,Mainz 05,0.509713,12.0,0,126,19,5,0.9293,l,0.509713,0.933476,11.0,2,318,18,4,0.933476,2.06,3.91,3.54
Bundesliga 2021_120_262_2021-09-18 13:30:00,2021-09-18 13:30:00,False,120,Hoffenheim,d,262,Arminia Bielefeld,1.54136,16.0,0,232,11,8,1.7904,d,1.54136,1.00534,9.0,0,340,26,7,1.00534,2.14,3.56,3.65
Bundesliga 2021_120_131_2021-09-25 13:30:00,2021-09-25 13:30:00,True,120,Hoffenheim,w,131,Wolfsburg,1.78602,11.0,3,272,22,3,2.4284,w,1.78602,0.504541,13.0,1,257,13,3,0.504541,2.87,3.53,2.56
Bundesliga 2021_120_133_2021-10-02 13:30:00,2021-10-02 13:30:00,False,120,Hoffenheim,l,133,VfB Stuttgart,0.978235,13.0,1,202,19,8,1.5414,l,0.978235,0.76705,12.0,3,306,28,1,0.76705,2.48,3.99,2.72
Bundesliga 2021_120_134_2021-10-15 18:30:00,2021-10-15 18:30:00,True,120,Hoffenheim,w,134,FC Cologne,4.18974,14.0,5,247,23,9,2.9718,w,4.18974,0.484187,10.0,0,244,18,2,0.484187,2.11,3.86,3.45
Bundesliga 2021_117_120_2021-10-23 13:30:00,2021-10-23 13:30:00,False,120,Hoffenheim,l,117,Bayern Munich,0.446465,9.0,0,413,27,1,0.0833,l,0.446465,3.31148,15.0,4,239,13,6,3.31148,14.52,8.15,1.19
Bundesliga 2021_120_122_2021-10-29 18:30:00,2021-10-29 18:30:00,True,120,Hoffenheim,w,122,Hertha Berlin,0.860088,14.0,2,301,38,7,1.6877,w,0.860088,0.471538,5.0,0,319,16,4,0.471538,1.74,4.05,4.97
Bundesliga 2021_120_268_2021-11-06 14:30:00,2021-11-06 14:30:00,False,120,Hoffenheim,l,268,Bochum,0.641687,9.0,0,177,27,8,0.3429,l,0.641687,2.12433,14.0,2,336,18,3,1.36655,2.01,3.87,3.74
Bundesliga 2021_120_136_2021-11-20 14:30:00,2021-11-20 14:30:00,True,120,Hoffenheim,w,136,RasenBallsport Leipzig,2.88876,24.0,2,303,29,9,2.9195,w,2.88876,0.211083,4.0,0,188,29,6,0.211083,4.11,4.36,1.81
Bundesliga 2021_120_267_2021-11-27 14:30:00,2021-11-27 14:30:00,False,120,Hoffenheim,w,267,Greuther Fuerth,3.01705,20.0,6,270,20,8,2.4074,w,3.01705,1.36493,14.0,3,237,22,3,1.36493,1.67,4.49,4.94
Bundesliga 2021_120_132_2021-12-04 14:30:00,2021-12-04 14:30:00,True,120,Hoffenheim,w,132,Eintracht Frankfurt,0.924975,8.0,3,349,22,3,0.8455,w,0.924975,1.57864,17.0,2,298,25,2,1.57864,1.9,4.09,3.95
