match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Bundesliga 2022_122_240_2022-08-06 13:30:00,2022-08-06 13:30:00,False,122,Hertha Berlin,l,240,Union Berlin,0.350984,9.0,1,190,12,1,0.6065,l,0.350984,1.18263,18.0,3,233,39,10,1.18263,4.97,3.78,1.79
Bundesliga 2022_122_132_2022-08-13 13:30:00,2022-08-13 13:30:00,True,122,Hertha Berlin,d,132,Eintracht Frankfurt,2.06497,11.0,1,296,14,6,2.0246,d,2.06497,1.20421,11.0,1,140,25,4,1.20421,3.12,3.57,2.37
Bundesliga 2022_122_130_2022-08-19 18:30:00,2022-08-19 18:30:00,False,122,Hertha Berlin,l,130,Borussia M.Gladbach,0.967668,18.0,0,355,19,4,0.4556,l,0.967668,2.26575,11.0,1,194,20,10,0.750195,5.83,4.87,1.54
Bundesliga 2022_122_129_2022-08-27 13:30:00,2022-08-27 13:30:00,True,122,Hertha Berlin,l,129,Borussia Dortmund,0.353045,12.0,0,351,12,3,0.1072,l,0.353045,2.97427,24.0,1,198,28,11,2.97427,4.55,4.62,1.7
Bundesliga 2022_121_122_2022-09-04 13:30:00,2022-09-04 13:30:00,False,122,Hertha Berlin,w,121,Augsburg,2.87153,16.0,2,190,29,6,2.9,w,2.87153,0.311026,8.0,0,211,16,5,0.311026,2.94,3.4,2.59
Bundesliga 2022_119_122_2022-09-10 13:30:00,2022-09-10 13:30:00,True,122,Hertha Berlin,d,119,Bayer Leverkusen,2.35137,17.0,2,266,23,7,1.817,d,2.35137,1.76829,11.0,2,177,21,7,1.76829,3.76,4.11,1.94
Bundesliga 2022_122_125_2022-09-16 18:30:00,2022-09-16 18:30:00,False,122,Hertha Berlin,d,125,Mainz 05,0.437555,4.0,1,229,24,6,1.3253,d,0.437555,0.38983,12.0,1,161,26,7,0.38983,4.64,4.0,1.79
Bundesliga 2022_120_122_2022-10-02 13:30:00,2022-10-02 13:30:00,True,122,Hertha Berlin,d,120,Hoffenheim,0.958712,13.0,1,291,19,2,0.8541,d,0.958712,1.60101,16.0,1,189,20,6,1.60101,2.88,3.81,2.42
Bundesliga 2022_122_135_2022-10-09 15:30:00,2022-10-09 15:30:00,True,122,Hertha Berlin,d,135,Freiburg,1.25889,11.0,2,286,29,4,0.9498,d,0.501118,1.75899,10.0,2,174,26,6,1.75899,3.18,3.41,2.41
Bundesliga 2022_122_136_2022-10-15 16:30:00,2022-10-15 16:30:00,False,122,Hertha Berlin,l,136,RasenBallsport Leipzig,2.42152,16.0,2,281,15,3,0.7229000000000001,l,1.66374,3.30191,14.0,3,183,28,13,3.30191,7.84,5.03,1.43
Bundesliga 2022_122_124_2022-10-23 15:30:00,2022-10-23 15:30:00,True,122,Hertha Berlin,w,124,Schalke 04,1.05778,11.0,2,176,26,7,1.8431,w,1.05778,0.522522,9.0,1,211,20,2,0.522522,1.78,3.99,4.71
Bundesliga 2022_122_123_2022-10-28 18:30:00,2022-10-28 18:30:00,False,122,Hertha Berlin,l,123,Werder Bremen,0.572257,9.0,0,223,20,2,0.607,l,0.572257,1.53976,15.0,1,199,19,6,1.53976,3.49,3.99,2.06
Bundesliga 2022_117_122_2022-11-05 14:30:00,2022-11-05 14:30:00,True,122,Hertha Berlin,l,117,Bayern Munich,1.09255,7.0,2,320,28,2,0.5221,l,0.334771,2.23326,14.0,3,104,29,12,2.23326,11.21,6.52,1.27
Bundesliga 2022_122_133_2022-11-08 19:30:00,2022-11-08 19:30:00,False,122,Hertha Berlin,l,133,VfB Stuttgart,1.05233,11.0,1,339,18,3,0.7180000000000001,l,1.05233,2.00216,16.0,2,229,20,11,2.00216,3.99,3.76,1.97
Bundesliga 2022_122_134_2022-11-12 14:30:00,2022-11-12 14:30:00,True,122,Hertha Berlin,w,134,FC Cologne,2.13441,17.0,2,222,23,3,1.4996,w,2.13441,1.93705,10.0,0,193,20,5,1.93705,2.3,3.68,3.17
Bundesliga 2022_122_268_2023-01-21 14:30:00,2023-01-21 14:30:00,False,122,Hertha Berlin,l,268,Bochum,0.732458,10.0,1,167,20,5,0.6004,l,0.732458,1.67446,10.0,3,153,25,1,1.67446,2.98,3.61,2.44
Bundesliga 2022_122_131_2023-01-24 19:30:00,2023-01-24 19:30:00,True,122,Hertha Berlin,l,131,Wolfsburg,0.572863,8.0,0,228,21,3,0.1354,l,0.572863,2.94882,15.0,5,171,24,10,2.19105,3.12,3.53,2.39
Bundesliga 2022_122_240_2023-01-28 14:30:00,2023-01-28 14:30:00,True,122,Hertha Berlin,l,240,Union Berlin,0.46457,10.0,0,178,18,11,0.8271999999999999,l,0.46457,0.884274,7.0,2,196,29,3,0.884274,3.76,3.37,2.18
Bundesliga 2022_122_132_2023-02-04 14:30:00,2023-02-04 14:30:00,False,122,Hertha Berlin,l,132,Eintracht Frankfurt,0.93959,13.0,0,404,25,5,0.5743,l,0.93959,2.00234,10.0,3,253,20,9,1.24472,6.77,4.63,1.51
Bundesliga 2022_122_130_2023-02-12 14:30:00,2023-02-12 14:30:00,True,122,Hertha Berlin,w,130,Borussia M.Gladbach,2.64788,17.0,4,451,40,6,2.797,w,1.89011,0.421257,7.0,1,122,20,6,0.421257,2.9,3.68,2.47
Bundesliga 2022_122_129_2023-02-19 16:30:00,2023-02-19 16:30:00,False,122,Hertha Berlin,l,129,Borussia Dortmund,1.41428,15.0,1,337,24,5,0.6961,l,1.41428,2.34937,12.0,4,193,21,3,2.34937,8.41,5.89,1.36
Bundesliga 2022_121_122_2023-02-25 14:30:00,2023-02-25 14:30:00,True,122,Hertha Berlin,w,121,Augsburg,0.452901,11.0,2,195,26,3,1.2938999999999998,w,0.452901,0.405958,9.0,0,149,24,4,0.405958,2.16,3.73,3.43
Bundesliga 2022_119_122_2023-03-05 14:30:00,2023-03-05 14:30:00,False,122,Hertha Berlin,l,119,Bayer Leverkusen,0.957931,7.0,1,442,25,1,0.4484,l,0.200154,2.2646,18.0,4,267,21,12,2.2646,5.95,4.36,1.58
Bundesliga 2022_122_125_2023-03-11 14:30:00,2023-03-11 14:30:00,True,122,Hertha Berlin,d,125,Mainz 05,1.61723,9.0,1,232,17,1,2.4758,d,0.859454,0.388401,6.0,1,108,25,5,0.388401,2.97,3.5,2.47
Bundesliga 2022_120_122_2023-03-18 14:30:00,2023-03-18 14:30:00,False,122,Hertha Berlin,l,120,Hoffenheim,0.807728,11.0,1,126,12,5,0.2535,l,0.807728,2.61296,15.0,3,184,19,6,1.0974,3.54,3.62,2.13
Bundesliga 2022_122_135_2023-04-01 13:30:00,2023-04-01 13:30:00,False,122,Hertha Berlin,d,135,Freiburg,2.08511,10.0,1,272,15,5,2.2652,d,2.08511,0.862445,16.0,1,233,18,3,0.862445,5.33,3.98,1.69
Bundesliga 2022_122_136_2023-04-08 16:30:00,2023-04-08 16:30:00,True,122,Hertha Berlin,l,136,RasenBallsport Leipzig,0.503827,11.0,0,312,29,1,0.1396,l,0.503827,2.57231,18.0,1,110,21,11,2.57231,5.48,4.23,1.63
Bundesliga 2022_122_124_2023-04-14 18:30:00,2023-04-14 18:30:00,False,122,Hertha Berlin,l,124,Schalke 04,1.12148,11.0,2,131,24,7,0.6545000000000001,l,1.12148,2.09935,14.0,5,121,19,4,2.09935,3.28,3.31,2.38
Bundesliga 2022_122_123_2023-04-22 13:30:00,2023-04-22 13:30:00,True,122,Hertha Berlin,l,123,Werder Bremen,1.67149,13.0,2,189,24,7,0.9063,l,0.913709,2.33844,11.0,4,263,28,9,2.33844,2.31,3.58,3.16
Bundesliga 2022_117_122_2023-04-30 13:30:00,2023-04-30 13:30:00,False,122,Hertha Berlin,l,117,Bayern Munich,0.0835934,2.0,0,354,14,1,0.0429,l,0.0835934,2.92722,25.0,2,83,20,17,2.92722,20.33,10.61,1.12
Bundesliga 2022_122_133_2023-05-06 13:30:00,2023-05-06 13:30:00,True,122,Hertha Berlin,w,133,VfB Stuttgart,1.4984,7.0,2,375,15,3,1.7237,w,1.4984,1.08971,16.0,1,121,27,5,1.08971,3.16,3.59,2.31
Bundesliga 2022_122_134_2023-05-12 18:30:00,2023-05-12 18:30:00,False,122,Hertha Berlin,l,134,FC Cologne,1.11757,9.0,2,307,27,5,0.0686,l,1.11757,4.72652,28.0,5,172,26,11,4.72652,4.19,3.86,1.9
Bundesliga 2022_122_268_2023-05-20 13:30:00,2023-05-20 13:30:00,True,122,Hertha Berlin,d,268,Bochum,1.36159,14.0,1,135,13,11,1.1325,d,1.36159,1.65012,17.0,1,155,25,11,1.65012,2.26,3.81,3.1
Bundesliga 2022_122_131_2023-05-27 13:30:00,2023-05-27 13:30:00,False,122,Hertha Berlin,w,131,Wolfsburg,1.44156,9.0,2,314,19,5,0.3394,w,1.44156,3.20986,19.0,1,199,27,11,3.20986,8.12,6.05,1.33
