match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Bundesliga 2022_124_134_2022-08-07 15:30:00,2022-08-07 15:30:00,False,124,Schalke 04,l,134,FC Cologne,0.227735,6.0,1,325,15,2,0.0077,l,0.227735,4.42242,30.0,3,91,21,11,4.42242,4.58,4.28,1.75
Bundesliga 2022_124_130_2022-08-13 16:30:00,2022-08-13 16:30:00,True,124,Schalke 04,d,130,Borussia M.Gladbach,1.69324,14.0,2,394,23,9,1.6016,d,0.935466,1.41135,14.0,2,130,8,6,1.41135,3.21,3.81,2.23
Bundesliga 2022_124_131_2022-08-20 13:30:00,2022-08-20 13:30:00,False,124,Schalke 04,d,131,Wolfsburg,1.03296,9.0,0,338,21,1,1.2242,d,0.275186,1.20648,16.0,0,107,17,11,1.20648,4.38,3.78,1.88
Bundesliga 2022_124_240_2022-08-27 13:30:00,2022-08-27 13:30:00,True,124,Schalke 04,l,240,Union Berlin,1.86616,12.0,1,179,13,3,2.0177,l,1.10838,1.0651,12.0,6,312,15,7,1.0651,3.16,3.48,2.39
Bundesliga 2022_124_133_2022-09-03 13:30:00,2022-09-03 13:30:00,False,124,Schalke 04,d,133,VfB Stuttgart,2.10477,13.0,1,182,28,9,2.4125,d,2.10477,0.706188,13.0,1,258,22,8,0.706188,4.4,4.18,1.79
Bundesliga 2022_124_268_2022-09-10 16:30:00,2022-09-10 16:30:00,True,124,Schalke 04,w,268,Bochum,1.4133,20.0,3,208,21,10,1.4279000000000002,w,1.4133,1.31293,9.0,1,173,19,6,1.31293,2.07,3.69,3.73
Bundesliga 2022_124_129_2022-09-17 13:30:00,2022-09-17 13:30:00,False,124,Schalke 04,l,129,Borussia Dortmund,0.0971459,3.0,0,269,17,2,0.0638,l,0.0971459,2.5349,19.0,1,142,25,8,2.5349,7.33,5.61,1.41
Bundesliga 2022_121_124_2022-10-02 15:30:00,2022-10-02 15:30:00,True,124,Schalke 04,l,121,Augsburg,2.0592,16.0,2,122,15,8,1.8235,l,2.0592,1.48391,11.0,3,166,17,3,1.48391,1.99,3.75,3.95
Bundesliga 2022_119_124_2022-10-08 13:30:00,2022-10-08 13:30:00,False,124,Schalke 04,l,119,Bayer Leverkusen,0.139609,2.0,0,384,34,2,0.1369,l,0.139609,2.06947,13.0,4,232,22,10,2.06947,6.83,5.02,1.47
Bundesliga 2022_120_124_2022-10-14 18:30:00,2022-10-14 18:30:00,True,124,Schalke 04,l,120,Hoffenheim,0.697562,14.0,0,215,29,4,0.0935,l,0.697562,3.51699,18.0,3,219,11,9,2.00144,3.72,3.87,2.02
Bundesliga 2022_122_124_2022-10-23 15:30:00,2022-10-23 15:30:00,False,124,Schalke 04,l,122,Hertha Berlin,0.522522,9.0,1,211,20,2,0.8264,l,0.522522,1.05778,11.0,2,176,26,7,1.05778,4.71,3.99,1.78
Bundesliga 2022_124_135_2022-10-30 16:30:00,2022-10-30 16:30:00,True,124,Schalke 04,l,135,Freiburg,0.841369,12.0,0,197,24,7,0.4117,l,0.841369,2.25332,19.0,2,177,14,7,1.49554,4.13,3.75,1.94
Bundesliga 2022_123_124_2022-11-05 17:30:00,2022-11-05 17:30:00,False,124,Schalke 04,l,123,Werder Bremen,1.35128,19.0,1,165,24,9,1.3804,l,1.35128,1.33073,11.0,2,260,27,5,1.33073,5.11,4.42,1.66
Bundesliga 2022_124_125_2022-11-09 19:30:00,2022-11-09 19:30:00,True,124,Schalke 04,w,125,Mainz 05,1.97962,13.0,1,178,29,7,2.397,w,1.97962,0.60888,11.0,0,130,25,5,0.60888,3.52,3.77,2.11
Bundesliga 2022_117_124_2022-11-12 17:30:00,2022-11-12 17:30:00,True,124,Schalke 04,l,117,Bayern Munich,0.891772,6.0,0,393,19,2,0.768,l,0.891772,1.65233,22.0,2,158,14,15,1.65233,17.47,8.34,1.17
Bundesliga 2022_124_132_2023-01-21 14:30:00,2023-01-21 14:30:00,False,124,Schalke 04,l,132,Eintracht Frankfurt,2.37825,18.0,0,179,28,7,1.8612,l,2.37825,1.68109,11.0,3,298,25,6,1.68109,8.09,5.34,1.4
Bundesliga 2022_124_136_2023-01-24 17:30:00,2023-01-24 17:30:00,True,124,Schalke 04,l,136,RasenBallsport Leipzig,0.503614,9.0,1,275,20,2,0.028,l,0.503614,4.23438,21.0,6,250,25,12,4.23438,5.91,4.41,1.59
Bundesliga 2022_124_134_2023-01-29 14:30:00,2023-01-29 14:30:00,True,124,Schalke 04,d,134,FC Cologne,1.11694,15.0,0,185,23,6,2.098,d,1.11694,0.329216,7.0,0,197,20,3,0.329216,3.81,3.75,2.02
Bundesliga 2022_124_130_2023-02-04 17:30:00,2023-02-04 17:30:00,False,124,Schalke 04,d,130,Borussia M.Gladbach,1.18272,18.0,0,272,36,4,1.3869000000000002,d,1.18272,1.12913,17.0,0,229,16,4,1.12913,5.78,4.73,1.56
Bundesliga 2022_124_131_2023-02-10 19:30:00,2023-02-10 19:30:00,True,124,Schalke 04,d,131,Wolfsburg,0.999355,17.0,0,125,16,3,0.9653,d,0.999355,1.39713,8.0,0,128,23,4,0.580424,3.92,3.78,1.99
Bundesliga 2022_124_240_2023-02-19 14:30:00,2023-02-19 14:30:00,False,124,Schalke 04,d,240,Union Berlin,0.385916,6.0,0,197,20,5,0.8113,d,0.385916,0.827192,9.0,0,198,32,5,0.827192,6.65,3.97,1.61
Bundesliga 2022_124_133_2023-02-25 17:30:00,2023-02-25 17:30:00,True,124,Schalke 04,w,133,VfB Stuttgart,1.86618,11.0,2,296,21,2,1.5262,w,1.86618,1.66843,17.0,1,125,27,2,1.66843,3.05,3.46,2.47
Bundesliga 2022_124_268_2023-03-04 14:30:00,2023-03-04 14:30:00,False,124,Schalke 04,w,268,Bochum,0.873349,9.0,2,205,18,3,1.2269,w,0.873349,0.926001,6.0,0,90,30,4,0.926001,3.03,3.48,2.44
Bundesliga 2022_124_129_2023-03-11 17:30:00,2023-03-11 17:30:00,True,124,Schalke 04,d,129,Borussia Dortmund,1.52455,10.0,2,325,32,4,1.6999,d,1.52455,1.2204,20.0,2,155,18,6,1.2204,4.56,4.21,1.74
Bundesliga 2022_121_124_2023-03-18 14:30:00,2023-03-18 14:30:00,False,124,Schalke 04,d,121,Augsburg,1.68365,13.0,1,113,30,11,2.4642,d,0.925875,0.395653,9.0,1,162,22,3,0.395653,3.14,3.45,2.38
Bundesliga 2022_119_124_2023-04-01 13:30:00,2023-04-01 13:30:00,True,124,Schalke 04,l,119,Bayer Leverkusen,0.976664,12.0,0,202,37,6,0.1657,l,0.976664,3.28042,18.0,3,190,18,9,3.28042,4.1,3.73,1.93
Bundesliga 2022_120_124_2023-04-09 17:30:00,2023-04-09 17:30:00,False,124,Schalke 04,l,120,Hoffenheim,0.561062,10.0,0,104,20,4,0.2897,l,0.561062,2.17705,15.0,2,179,21,6,1.41928,3.81,3.94,1.95
Bundesliga 2022_122_124_2023-04-14 18:30:00,2023-04-14 18:30:00,True,124,Schalke 04,w,122,Hertha Berlin,2.09935,14.0,5,121,19,4,2.1182,w,2.09935,1.12148,11.0,2,131,24,7,1.12148,2.38,3.31,3.28
Bundesliga 2022_124_135_2023-04-23 13:30:00,2023-04-23 13:30:00,False,124,Schalke 04,l,135,Freiburg,0.388444,10.0,0,183,16,1,0.1659999999999999,l,0.388444,2.63573,25.0,4,265,18,6,2.63573,4.84,3.7,1.81
Bundesliga 2022_123_124_2023-04-29 16:30:00,2023-04-29 16:30:00,True,124,Schalke 04,w,123,Werder Bremen,1.24953,21.0,2,187,23,5,1.1548,w,1.24953,1.48812,11.0,1,239,23,8,1.48812,2.28,3.65,3.18
Bundesliga 2022_124_125_2023-05-05 18:30:00,2023-05-05 18:30:00,False,124,Schalke 04,w,125,Mainz 05,3.14666,15.0,3,229,11,8,2.7118,w,2.38889,0.990997,9.0,2,153,23,3,0.990997,5.52,4.13,1.65
Bundesliga 2022_117_124_2023-05-13 13:30:00,2023-05-13 13:30:00,False,124,Schalke 04,l,117,Bayern Munich,0.33961,8.0,0,336,18,3,0.0048,l,0.33961,5.05599,23.0,6,176,20,16,4.29822,17.11,10.41,1.14
Bundesliga 2022_124_132_2023-05-20 13:30:00,2023-05-20 13:30:00,True,124,Schalke 04,d,132,Eintracht Frankfurt,1.13388,11.0,2,196,27,4,1.0791,d,1.13388,1.36879,6.0,2,156,22,3,1.36879,2.97,3.86,2.31
Bundesliga 2022_124_136_2023-05-27 13:30:00,2023-05-27 13:30:00,False,124,Schalke 04,l,136,RasenBallsport Leipzig,1.21648,16.0,2,218,24,11,0.4113,l,1.21648,2.97191,19.0,4,193,17,16,2.97191,4.7,4.74,1.63
