match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Bundesliga 2023_120_135_2023-08-19 13:30:00,2023-08-19 13:30:00,False,135,Freiburg,w,120,Hoffenheim,3.24821,17.0,2,239,11,7,2.3344,w,3.24821,1.67186,24.0,1,243,22,8,1.67186,2.92,3.67,2.43
Bundesliga 2023_123_135_2023-08-26 13:30:00,2023-08-26 13:30:00,True,135,Freiburg,w,123,Werder Bremen,1.71877,23.0,1,249,16,4,2.2155,w,1.71877,0.696983,16.0,0,222,16,12,0.696983,1.72,4.15,4.76
Bundesliga 2023_133_135_2023-09-02 13:30:00,2023-09-02 13:30:00,False,135,Freiburg,l,133,VfB Stuttgart,1.50372,11.0,0,330,24,3,0.9128,l,1.50372,2.09598,13.0,5,373,15,5,2.09598,3.28,3.79,2.18
Bundesliga 2023_129_135_2023-09-16 13:30:00,2023-09-16 13:30:00,True,135,Freiburg,l,129,Borussia Dortmund,1.14667,14.0,2,245,19,1,0.2092,l,1.14667,3.37255,14.0,4,248,13,5,3.37255,3.16,3.86,2.21
Bundesliga 2023_132_135_2023-09-24 15:30:00,2023-09-24 15:30:00,False,135,Freiburg,d,132,Eintracht Frankfurt,0.407479,9.0,0,359,23,6,0.9718,d,0.407479,0.754063,13.0,0,249,28,10,0.754063,3.42,3.66,2.16
Bundesliga 2023_121_135_2023-10-01 15:30:00,2023-10-01 15:30:00,True,135,Freiburg,w,121,Augsburg,1.2721,7.0,2,234,15,3,1.6111,w,0.51432,1.00081,13.0,0,266,23,2,1.00081,1.73,4.19,4.68
Bundesliga 2023_117_135_2023-10-08 15:30:00,2023-10-08 15:30:00,False,135,Freiburg,l,117,Bayern Munich,0.0704987,2.0,0,499,11,2,0.062,l,0.0704987,2.37438,21.0,3,194,17,24,2.37438,14.64,9.23,1.16
Bundesliga 2023_135_268_2023-10-21 13:30:00,2023-10-21 13:30:00,True,135,Freiburg,w,268,Bochum,2.5274,15.0,2,189,21,6,2.1968,w,1.76962,1.37705,13.0,1,268,21,10,1.37705,1.76,4.02,4.73
Bundesliga 2023_119_135_2023-10-29 16:30:00,2023-10-29 16:30:00,False,135,Freiburg,l,119,Bayer Leverkusen,1.02333,10.0,1,362,18,3,0.924,l,1.02333,1.60773,19.0,2,167,20,12,1.60773,10.27,6.08,1.29
Bundesliga 2023_130_135_2023-11-04 14:30:00,2023-11-04 14:30:00,True,135,Freiburg,d,130,Borussia M.Gladbach,3.3903,15.0,3,272,15,12,2.3773,d,2.63253,1.92375,10.0,3,317,14,7,1.16598,2.08,4.0,3.31
Bundesliga 2023_135_136_2023-11-12 19:30:00,2023-11-12 19:30:00,False,135,Freiburg,l,136,RasenBallsport Leipzig,0.398988,9.0,1,400,22,2,0.2762,l,0.398988,1.90144,15.0,3,218,15,10,1.14366,6.59,4.96,1.46
Bundesliga 2023_127_135_2023-11-25 14:30:00,2023-11-25 14:30:00,True,135,Freiburg,d,127,Darmstadt,1.34505,16.0,1,163,17,11,2.2968,d,1.34505,0.34181,7.0,1,381,14,3,0.34181,1.57,4.42,5.65
Bundesliga 2023_125_135_2023-12-03 14:30:00,2023-12-03 14:30:00,False,135,Freiburg,w,125,Mainz 05,1.34097,13.0,1,299,16,5,0.4906,w,1.34097,2.86869,19.0,0,181,21,11,2.86869,3.16,3.56,2.29
Bundesliga 2023_131_135_2023-12-09 14:30:00,2023-12-09 14:30:00,False,135,Freiburg,w,131,Wolfsburg,0.511263,4.0,1,359,13,6,0.6118,w,0.511263,1.32934,10.0,0,231,25,10,1.32934,3.0,3.78,2.29
Bundesliga 2023_134_135_2023-12-17 14:30:00,2023-12-17 14:30:00,True,135,Freiburg,w,134,FC Cologne,3.46957,23.0,2,289,23,10,2.6901,w,3.46957,1.24601,7.0,0,250,18,1,1.24601,1.82,3.75,4.57
Bundesliga 2023_135_280_2023-12-20 19:30:00,2023-12-20 19:30:00,False,135,Freiburg,l,280,FC Heidenheim,1.59052,10.0,2,274,22,4,1.2252,l,0.832743,1.75628,14.0,3,219,28,9,1.75628,2.44,3.58,2.9
Bundesliga 2023_135_240_2024-01-13 14:30:00,2024-01-13 14:30:00,True,135,Freiburg,d,240,Union Berlin,2.1675,14.0,0,314,17,10,2.6092,d,2.1675,0.424997,8.0,0,410,17,1,0.424997,2.1,3.62,3.54
Bundesliga 2023_120_135_2024-01-20 14:30:00,2024-01-20 14:30:00,True,135,Freiburg,w,120,Hoffenheim,2.47971,16.0,3,249,27,10,1.8859,w,2.47971,1.76349,16.0,2,204,17,9,1.76349,2.07,3.83,3.44
Bundesliga 2023_123_135_2024-01-27 14:30:00,2024-01-27 14:30:00,False,135,Freiburg,l,123,Werder Bremen,1.33739,7.0,1,256,25,4,0.5623,l,0.579614,2.33032,14.0,3,383,17,9,1.57255,2.94,3.52,2.45
Bundesliga 2023_133_135_2024-02-03 14:30:00,2024-02-03 14:30:00,True,135,Freiburg,l,133,VfB Stuttgart,1.15964,7.0,1,465,17,3,0.4431,l,1.15964,2.73728,17.0,3,202,10,11,2.73728,3.15,3.79,2.21
Bundesliga 2023_129_135_2024-02-09 19:30:00,2024-02-09 19:30:00,False,135,Freiburg,l,129,Borussia Dortmund,0.230074,6.0,0,486,13,3,0.0547,l,0.230074,3.21996,17.0,3,167,21,11,3.21996,6.36,5.13,1.47
Bundesliga 2023_132_135_2024-02-18 14:30:00,2024-02-18 14:30:00,True,135,Freiburg,d,132,Eintracht Frankfurt,2.77236,13.0,3,333,13,12,2.3475,d,2.01459,1.35483,10.0,3,359,21,4,1.35483,2.33,3.38,3.24
Bundesliga 2023_121_135_2024-02-25 18:30:00,2024-02-25 18:30:00,False,135,Freiburg,l,121,Augsburg,1.42649,5.0,1,292,17,2,0.6539,l,0.668717,2.40818,21.0,2,139,25,11,2.40818,3.11,3.66,2.28
Bundesliga 2023_117_135_2024-03-01 19:30:00,2024-03-01 19:30:00,True,135,Freiburg,d,117,Bayern Munich,1.53977,17.0,2,310,18,4,0.8017000000000001,d,1.53977,2.4424,21.0,2,206,21,10,2.4424,6.11,4.86,1.51
Bundesliga 2023_135_268_2024-03-10 14:30:00,2024-03-10 14:30:00,False,135,Freiburg,w,268,Bochum,1.43573,9.0,2,206,18,3,1.5312,w,1.43573,1.28237,18.0,1,151,21,11,1.28237,3.13,3.65,2.27
Bundesliga 2023_119_135_2024-03-17 14:30:00,2024-03-17 14:30:00,True,135,Freiburg,l,119,Bayer Leverkusen,0.916618,9.0,2,412,22,3,0.4093,l,0.916618,2.50336,18.0,3,196,12,10,2.50336,5.92,4.39,1.56
Bundesliga 2023_130_135_2024-03-30 14:30:00,2024-03-30 14:30:00,False,135,Freiburg,w,130,Borussia M.Gladbach,2.08769,13.0,3,318,26,7,1.5778,w,2.08769,1.84419,18.0,0,293,20,8,1.84419,3.19,3.72,2.21
Bundesliga 2023_135_136_2024-04-06 13:30:00,2024-04-06 13:30:00,True,135,Freiburg,l,136,RasenBallsport Leipzig,1.55898,15.0,1,342,20,7,0.5226,l,0.801206,2.88698,15.0,4,246,21,7,2.88698,4.79,4.31,1.68
Bundesliga 2023_127_135_2024-04-14 13:30:00,2024-04-14 13:30:00,False,135,Freiburg,w,127,Darmstadt,1.34437,9.0,1,284,13,7,1.6732999999999998,w,1.34437,0.962275,16.0,0,262,21,1,0.962275,1.88,3.98,3.98
Bundesliga 2023_125_135_2024-04-21 17:30:00,2024-04-21 17:30:00,True,135,Freiburg,d,125,Mainz 05,1.25572,7.0,1,297,29,4,1.2156,d,1.25572,1.47938,17.0,1,181,29,5,1.47938,2.58,3.59,2.72
Bundesliga 2023_131_135_2024-04-27 13:30:00,2024-04-27 13:30:00,True,135,Freiburg,l,131,Wolfsburg,1.86256,16.0,1,220,20,7,2.3917,l,1.10478,0.583145,13.0,2,215,18,3,0.583145,2.37,3.58,3.01
Bundesliga 2023_134_135_2024-05-04 16:30:00,2024-05-04 16:30:00,False,135,Freiburg,d,134,FC Cologne,1.12733,4.0,0,234,15,4,1.4133,d,1.12733,1.08936,20.0,0,221,27,7,1.08936,2.95,3.66,2.37
Bundesliga 2023_135_280_2024-05-11 13:30:00,2024-05-11 13:30:00,True,135,Freiburg,d,280,FC Heidenheim,1.8695,19.0,1,257,17,9,2.3422,d,1.8695,0.634464,9.0,1,274,14,5,0.634464,1.72,4.07,4.78
Bundesliga 2023_135_240_2024-05-18 13:30:00,2024-05-18 13:30:00,False,135,Freiburg,l,240,Union Berlin,0.963773,11.0,1,173,16,7,0.4186999999999999,l,0.963773,2.28943,14.0,2,319,23,5,0.687677,3.57,3.39,2.15
