match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Bundesliga 2023_117_123_2023-08-18 18:30:00,2023-08-18 18:30:00,True,123,Werder Bremen,l,117,Bayern Munich,0.63974,6.0,0,373,30,2,0.1813,l,0.63974,2.89704,25.0,4,138,7,16,2.89704,8.59,6.36,1.33
Bundesliga 2023_123_135_2023-08-26 13:30:00,2023-08-26 13:30:00,False,123,Werder Bremen,l,135,Freiburg,0.696983,16.0,0,222,16,12,0.5646,l,0.696983,1.71877,23.0,1,249,16,4,1.71877,4.76,4.15,1.72
Bundesliga 2023_123_125_2023-09-02 13:30:00,2023-09-02 13:30:00,True,123,Werder Bremen,w,125,Mainz 05,3.01318,12.0,4,221,18,11,2.78,w,2.2554,0.65805,12.0,0,182,29,12,0.65805,2.76,3.55,2.61
Bundesliga 2023_123_280_2023-09-17 13:30:00,2023-09-17 13:30:00,False,123,Werder Bremen,l,280,FC Heidenheim,2.55978,11.0,2,181,20,11,1.8528,l,1.67496,1.96235,19.0,4,264,32,1,1.20457,2.85,3.88,2.39
Bundesliga 2023_123_134_2023-09-23 16:30:00,2023-09-23 16:30:00,True,123,Werder Bremen,w,134,FC Cologne,1.59965,17.0,2,247,29,13,1.0781,w,1.59965,1.98951,13.0,1,220,33,4,1.98951,2.56,3.69,2.74
Bundesliga 2023_123_127_2023-10-01 13:30:00,2023-10-01 13:30:00,False,123,Werder Bremen,l,127,Darmstadt,1.54627,10.0,2,192,28,9,0.7725,l,1.54627,2.34923,14.0,4,289,22,4,1.59145,2.47,3.74,2.82
Bundesliga 2023_120_123_2023-10-07 16:30:00,2023-10-07 16:30:00,True,123,Werder Bremen,l,120,Hoffenheim,1.03064,13.0,2,287,26,6,0.9367,l,1.03064,1.52805,11.0,3,245,22,8,1.52805,2.75,3.92,2.44
Bundesliga 2023_123_129_2023-10-20 18:30:00,2023-10-20 18:30:00,False,123,Werder Bremen,l,129,Borussia Dortmund,0.53973,6.0,0,307,18,4,0.2096,l,0.53973,2.7285,22.0,1,296,13,16,2.7285,8.63,6.69,1.3
Bundesliga 2023_123_240_2023-10-28 13:30:00,2023-10-28 13:30:00,True,123,Werder Bremen,w,240,Union Berlin,0.690799,9.0,2,245,19,7,1.6404999999999998,w,0.690799,0.368624,7.0,0,402,22,6,0.368624,2.73,3.61,2.6
Bundesliga 2023_123_131_2023-11-05 14:30:00,2023-11-05 14:30:00,False,123,Werder Bremen,d,131,Wolfsburg,1.40324,13.0,2,300,17,4,1.0301999999999998,d,1.40324,1.81371,15.0,2,298,19,12,1.81371,4.37,4.29,1.74
