match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Bundesliga 2024_125_240_2024-08-24 13:30:00,2024-08-24 13:30:00,True,125,Mainz 05,d,240,Union Berlin,1.77023,15.0,1,158,12,8,2.1965,d,1.77023,0.731569,15.0,1,211,24,4,0.731569,2.08,3.24,4.1
Bundesliga 2024_125_133_2024-08-31 13:30:00,2024-08-31 13:30:00,False,125,Mainz 05,d,133,VfB Stuttgart,1.95179,9.0,3,308,23,6,0.2549,d,1.19402,4.2134,28.0,3,165,17,12,4.2134,5.09,4.23,1.66
Bundesliga 2024_123_125_2024-09-15 15:30:00,2024-09-15 15:30:00,True,125,Mainz 05,l,123,Werder Bremen,1.67115,11.0,1,204,28,11,1.2564,l,1.67115,1.8089,11.0,2,218,12,7,1.05112,2.04,3.66,3.61
Bundesliga 2024_121_125_2024-09-20 18:30:00,2024-09-20 18:30:00,False,125,Mainz 05,w,121,Augsburg,1.25788,5.0,3,214,9,1,0.4544,w,1.25788,2.79562,30.0,2,80,19,16,2.79562,2.97,3.6,2.42
Bundesliga 2024_125_280_2024-09-28 13:30:00,2024-09-28 13:30:00,True,125,Mainz 05,l,280,FC Heidenheim,0.371434,7.0,0,194,20,4,0.6767000000000001,l,0.371434,1.09304,14.0,2,198,17,8,1.09304,1.86,3.82,4.21
Bundesliga 2024_125_288_2024-10-05 16:30:00,2024-10-05 16:30:00,False,125,Mainz 05,w,288,St. Pauli,1.29606,8.0,3,246,19,5,1.809,w,1.29606,0.805413,17.0,0,262,24,7,0.805413,2.99,3.42,2.46
Bundesliga 2024_125_136_2024-10-19 13:30:00,2024-10-19 13:30:00,True,125,Mainz 05,l,136,RasenBallsport Leipzig,0.611288,16.0,0,247,31,11,0.3129,l,0.611288,2.16084,11.0,2,235,21,2,2.16084,4.27,3.71,1.88
Bundesliga 2024_125_130_2024-10-25 18:30:00,2024-10-25 18:30:00,True,125,Mainz 05,d,130,Borussia M.Gladbach,1.45557,23.0,1,252,34,17,1.7912,d,1.45557,0.934033,9.0,1,281,21,6,0.934033,2.39,3.79,2.89
Bundesliga 2024_125_135_2024-11-03 14:30:00,2024-11-03 14:30:00,False,125,Mainz 05,d,135,Freiburg,0.903716,9.0,0,277,19,1,1.8244,d,0.903716,0.463898,10.0,0,294,21,3,0.463898,5.21,3.9,1.7
Bundesliga 2024_125_129_2024-11-09 14:30:00,2024-11-09 14:30:00,True,125,Mainz 05,w,129,Borussia Dortmund,3.18749,13.0,3,259,25,10,2.7831,w,3.18749,0.845107,2.0,1,278,16,2,0.08733,3.48,3.74,2.08
Bundesliga 2024_125_287_2024-11-24 14:30:00,2024-11-24 14:30:00,False,125,Mainz 05,w,287,Holstein Kiel,2.13631,18.0,3,218,20,12,2.6671,w,1.37853,0.346026,7.0,0,348,19,2,0.346026,2.33,3.49,3.15
Bundesliga 2024_120_125_2024-12-01 16:30:00,2024-12-01 16:30:00,True,125,Mainz 05,w,120,Hoffenheim,2.62793,18.0,2,215,38,12,2.5551,w,2.62793,0.814599,10.0,0,196,27,2,0.814599,2.08,3.7,3.53
Bundesliga 2024_125_131_2024-12-08 14:30:00,2024-12-08 14:30:00,False,125,Mainz 05,l,131,Wolfsburg,3.02237,12.0,3,234,23,6,2.4146,l,3.02237,1.48692,10.0,4,262,11,8,1.48692,3.5,3.34,2.15
Bundesliga 2024_117_125_2024-12-14 14:30:00,2024-12-14 14:30:00,True,125,Mainz 05,w,117,Bayern Munich,1.64219,8.0,2,319,32,5,1.9511,w,1.64219,0.992002,13.0,1,125,17,10,0.992002,6.86,4.87,1.46
Bundesliga 2024_125_132_2024-12-21 14:30:00,2024-12-21 14:30:00,False,125,Mainz 05,w,132,Eintracht Frankfurt,0.753285,9.0,3,197,10,2,0.3268999999999999,w,0.753285,2.58915,34.0,1,111,20,11,2.58915,4.05,4.02,1.85
Bundesliga 2024_125_268_2025-01-11 14:30:00,2025-01-11 14:30:00,True,125,Mainz 05,w,268,Bochum,1.7238,10.0,2,179,13,10,2.2656,w,1.7238,0.697735,11.0,0,302,21,7,0.697735,1.57,4.38,5.81
Bundesliga 2024_119_125_2025-01-14 19:30:00,2025-01-14 19:30:00,False,125,Mainz 05,l,119,Bayer Leverkusen,0.603471,7.0,0,355,21,4,0.3943,l,0.603471,1.99412,20.0,1,211,20,8,1.99412,8.51,5.26,1.38
Bundesliga 2024_125_240_2025-01-19 14:30:00,2025-01-19 14:30:00,False,125,Mainz 05,l,240,Union Berlin,1.40424,9.0,1,151,11,3,0.5942,l,0.646467,2.44953,12.0,2,370,22,2,1.69175,2.94,3.2,2.63
Bundesliga 2024_125_133_2025-01-25 14:30:00,2025-01-25 14:30:00,True,125,Mainz 05,w,133,VfB Stuttgart,2.22883,11.0,2,266,30,9,2.3369,w,2.22883,0.917385,10.0,0,134,16,13,0.917385,2.88,3.55,2.47
Bundesliga 2024_123_125_2025-01-31 19:30:00,2025-01-31 19:30:00,False,125,Mainz 05,l,123,Werder Bremen,1.01597,13.0,0,168,25,13,0.374,l,1.01597,2.58542,12.0,1,280,18,2,1.82765,3.19,3.46,2.35
Bundesliga 2024_121_125_2025-02-08 14:30:00,2025-02-08 14:30:00,True,125,Mainz 05,d,121,Augsburg,1.99994,9.0,0,128,30,10,2.7657,d,1.99994,0.260742,9.0,0,347,16,1,0.260742,1.78,3.72,4.88
