match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Bundesliga 2025_117_136_2025-08-22 18:30:00,2025-08-22 18:30:00,True,117,Bayern Munich,w,136,RasenBallsport Leipzig,3.29885,19.0,6,255,29,13,2.8446,,3.29885,0.52226,12.0,0,375,21,6,0.52226,1.23,7.43,10.85
Bundesliga 2025_117_121_2025-08-30 16:30:00,2025-08-30 16:30:00,False,117,Bayern Munich,w,121,Augsburg,3.37523,20.0,3,231,31,16,2.8495,,3.37523,0.506028,10.0,2,266,24,5,0.506028,1.27,6.53,9.88
Bundesliga 2025_117_118_2025-09-13 16:30:00,2025-09-13 16:30:00,True,117,Bayern Munich,w,118,Hamburger SV,3.03718,22.0,5,203,21,25,2.7799,,2.2794,0.559174,9.0,0,336,10,3,0.559174,1.07,14.97,29.41
Bundesliga 2025_117_120_2025-09-20 13:30:00,2025-09-20 13:30:00,False,117,Bayern Munich,w,120,Hoffenheim,2.7142,18.0,4,193,17,2,2.5111,,1.19865,1.03716,12.0,1,350,27,6,1.03716,1.33,6.19,7.87
Bundesliga 2025_117_123_2025-09-26 18:30:00,2025-09-26 18:30:00,True,117,Bayern Munich,w,123,Werder Bremen,4.31859,26.0,4,270,32,11,2.9773,,3.56081,0.298618,9.0,0,359,9,4,0.298618,1.09,12.5,26.0
Bundesliga 2025_117_132_2025-10-04 16:30:00,2025-10-04 16:30:00,False,117,Bayern Munich,w,132,Eintracht Frankfurt,2.2301,12.0,3,293,20,7,2.5829,,2.2301,0.560138,6.0,0,419,22,3,0.560138,1.44,5.53,6.14
Bundesliga 2025_117_129_2025-10-18 16:30:00,2025-10-18 16:30:00,True,117,Bayern Munich,w,129,Borussia Dortmund,2.81994,15.0,2,176,21,8,2.3808,,2.81994,1.41011,8.0,1,380,30,5,1.41011,1.38,5.55,7.5
Bundesliga 2025_117_130_2025-10-25 13:30:00,2025-10-25 13:30:00,False,117,Bayern Munich,w,130,Borussia M.Gladbach,2.65026,27.0,3,95,14,23,2.6369,,2.65026,0.757777,1.0,0,283,10,1,0.0,1.23,7.11,11.5
Bundesliga 2025_117_119_2025-11-01 17:30:00,2025-11-01 17:30:00,True,117,Bayern Munich,w,119,Bayer Leverkusen,2.28295,18.0,3,305,32,11,2.6761,,2.28295,0.382774,7.0,0,287,10,5,0.382774,1.23,7.43,10.66
Bundesliga 2025_117_240_2025-11-08 14:30:00,2025-11-08 14:30:00,False,117,Bayern Munich,d,240,Union Berlin,1.34246,12.0,2,120,9,11,1.5860999999999998,,1.34246,1.02778,12.0,2,447,19,6,1.02778,1.21,7.33,12.56
