match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Bundesliga 2025_118_130_2025-08-24 15:30:00,2025-08-24 15:30:00,True,130,Borussia M.Gladbach,d,118,Hamburger SV,1.01717,17.0,0,216,24,6,2.0181,,1.01717,0.285593,7.0,0,317,19,4,0.285593,1.86,4.06,3.96
Bundesliga 2025_130_133_2025-08-30 13:30:00,2025-08-30 13:30:00,False,130,Borussia M.Gladbach,l,133,VfB Stuttgart,1.60717,15.0,0,296,23,8,1.8911,,1.60717,0.925105,13.0,1,255,16,5,0.925105,4.97,4.59,1.62
Bundesliga 2025_123_130_2025-09-14 15:30:00,2025-09-14 15:30:00,True,130,Borussia M.Gladbach,l,123,Werder Bremen,1.58932,19.0,0,256,32,16,0.9088,,1.58932,2.24671,12.0,4,287,16,7,1.48893,2.0,4.11,3.44
Bundesliga 2025_119_130_2025-09-21 15:30:00,2025-09-21 15:30:00,False,130,Borussia M.Gladbach,d,119,Bayer Leverkusen,1.29876,13.0,1,395,27,8,0.8845,,1.29876,1.9461,13.0,1,258,23,9,1.9461,5.33,4.77,1.56
Bundesliga 2025_130_132_2025-09-27 16:30:00,2025-09-27 16:30:00,True,130,Borussia M.Gladbach,l,132,Eintracht Frankfurt,2.12935,11.0,4,352,18,6,0.4977,,2.12935,3.78879,21.0,6,231,21,11,3.78879,3.2,3.59,2.26
Bundesliga 2025_130_135_2025-10-05 17:30:00,2025-10-05 17:30:00,True,130,Borussia M.Gladbach,d,135,Freiburg,0.471184,9.0,0,266,17,6,1.0842,,0.471184,0.689073,12.0,0,290,19,3,0.689073,2.36,3.57,3.04
Bundesliga 2025_130_240_2025-10-17 18:30:00,2025-10-17 18:30:00,False,130,Borussia M.Gladbach,l,240,Union Berlin,0.628848,8.0,1,115,17,9,0.6718999999999999,,0.628848,1.53032,16.0,3,303,28,8,1.53032,3.31,3.5,2.24
Bundesliga 2025_117_130_2025-10-25 13:30:00,2025-10-25 13:30:00,True,130,Borussia M.Gladbach,l,117,Bayern Munich,0.757777,1.0,0,283,10,1,0.2279,,0.0,2.65026,27.0,3,95,14,23,2.65026,11.5,7.11,1.23
Bundesliga 2025_130_288_2025-11-01 14:30:00,2025-11-01 14:30:00,False,130,Borussia M.Gladbach,w,288,St. Pauli,3.6262,15.0,4,324,14,6,2.8438,,3.6262,0.804394,16.0,0,349,22,6,0.804394,3.4,3.51,2.2
Bundesliga 2025_130_134_2025-11-08 17:30:00,2025-11-08 17:30:00,True,130,Borussia M.Gladbach,w,134,FC Cologne,2.46206,9.0,3,361,14,11,1.6148,,0.946505,2.15818,19.0,1,216,22,9,1.4004,2.28,3.65,3.11
