match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Bundesliga 2025_118_130_2025-08-24 15:30:00,2025-08-24 15:30:00,False,118,Hamburger SV,d,130,Borussia M.Gladbach,0.285593,7.0,0,317,19,4,0.6288,,0.285593,1.01717,17.0,0,216,24,6,1.01717,3.96,4.06,1.86
Bundesliga 2025_118_288_2025-08-29 18:30:00,2025-08-29 18:30:00,True,118,Hamburger SV,l,288,St. Pauli,0.74111,5.0,0,273,16,4,0.5217,,0.74111,1.85404,17.0,2,288,28,5,1.85404,2.45,3.29,3.12
Bundesliga 2025_117_118_2025-09-13 16:30:00,2025-09-13 16:30:00,False,118,Hamburger SV,l,117,Bayern Munich,0.559174,9.0,0,336,10,3,0.1444,,0.559174,3.03718,22.0,5,203,21,25,2.2794,29.41,14.97,1.07
Bundesliga 2025_118_280_2025-09-20 13:30:00,2025-09-20 13:30:00,True,118,Hamburger SV,w,280,FC Heidenheim,3.32157,22.0,2,225,19,5,1.8149,,3.32157,2.63607,20.0,1,251,15,13,2.63607,2.1,3.53,3.66
Bundesliga 2025_118_240_2025-09-28 17:30:00,2025-09-28 17:30:00,False,118,Hamburger SV,d,240,Union Berlin,1.11274,16.0,0,133,14,11,0.973,,1.11274,1.54274,11.0,0,359,20,2,0.784964,3.82,3.7,1.99
Bundesliga 2025_118_125_2025-10-05 15:30:00,2025-10-05 15:30:00,True,118,Hamburger SV,w,125,Mainz 05,1.65883,15.0,4,303,21,3,2.2082,,1.65883,0.591161,11.0,0,157,25,7,0.591161,2.89,3.53,2.48
Bundesliga 2025_118_136_2025-10-18 13:30:00,2025-10-18 13:30:00,False,118,Hamburger SV,l,136,RasenBallsport Leipzig,1.29355,15.0,1,290,22,7,1.4493,,1.29355,1.15611,10.0,2,322,15,5,1.15611,6.59,5.37,1.43
Bundesliga 2025_118_131_2025-10-25 13:30:00,2025-10-25 13:30:00,True,118,Hamburger SV,l,131,Wolfsburg,2.40547,27.0,0,191,18,8,2.6124,,1.57532,0.695528,6.0,1,312,24,5,0.695528,2.4,3.73,2.88
Bundesliga 2025_118_134_2025-11-02 14:30:00,2025-11-02 14:30:00,False,118,Hamburger SV,l,134,FC Cologne,1.19296,11.0,1,239,15,4,0.1644999999999999,,1.19296,3.87376,23.0,4,275,19,10,3.87376,3.29,3.67,2.18
Bundesliga 2025_118_129_2025-11-08 14:30:00,2025-11-08 14:30:00,True,118,Hamburger SV,d,129,Borussia Dortmund,0.419878,9.0,1,265,18,3,0.5278,,0.419878,1.42582,17.0,1,245,29,9,1.42582,4.58,4.28,1.71
Bundesliga 2025_118_121_2025-11-22 14:30:00,2025-11-22 14:30:00,False,118,Hamburger SV,l,121,Augsburg,1.555,15.0,0,230,11,4,1.2995,,1.555,1.61897,13.0,1,305,23,7,1.61897,2.92,3.67,2.39
