match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
EPL 2014_72_75_2014-08-16 15:00:00,2014-08-16 15:00:00,True,75,Leicester,d,72,Everton,1.2783,11.0,2,362,25,1,1.9461,d,1.2783,0.613273,13.0,2,187,16,15,0.613273,3.14,3.38,2.46
EPL 2014_75_80_2014-08-23 15:00:00,2014-08-23 15:00:00,False,75,Leicester,l,80,Chelsea,0.550894,6.0,0,293,32,1,0.3517,l,0.550894,2.02939,27.0,2,134,19,12,2.02939,17.7,7.28,1.21
EPL 2014_75_83_2014-08-31 16:00:00,2014-08-31 16:00:00,True,75,Leicester,d,83,Arsenal,0.809743,9.0,1,341,31,4,0.4139,d,0.809743,2.29649,24.0,1,150,20,13,2.29649,4.54,3.8,1.87
EPL 2014_75_85_2014-09-13 15:00:00,2014-09-13 15:00:00,False,75,Leicester,w,85,Stoke,0.598313,8.0,1,232,19,6,0.5635,w,0.598313,1.64782,24.0,0,156,23,8,1.64782,4.07,3.35,2.1
EPL 2014_75_89_2014-09-21 13:30:00,2014-09-21 13:30:00,True,75,Leicester,w,89,Manchester United,2.5422,15.0,5,285,23,6,1.9713,w,1.01986,1.71191,16.0,3,174,26,7,1.71191,5.64,4.23,1.65
EPL 2014_75_78_2014-09-27 15:00:00,2014-09-27 15:00:00,False,75,Leicester,l,78,Crystal Palace,0.453547,7.0,0,119,16,5,0.1793,l,0.453547,2.1144,16.0,2,260,29,1,2.1144,2.9,3.37,2.64
EPL 2014_75_92_2014-10-04 15:00:00,2014-10-04 15:00:00,True,75,Leicester,d,92,Burnley,1.57773,15.0,2,153,20,1,1.8726,d,1.57773,0.957718,10.0,2,195,29,9,0.957718,1.79,3.72,5.16
EPL 2014_75_86_2014-10-18 15:00:00,2014-10-18 15:00:00,False,75,Leicester,l,86,Newcastle United,0.650379,7.0,0,230,23,5,0.3494,l,0.650379,2.1929,19.0,1,175,29,5,2.1929,3.31,3.59,2.25
EPL 2014_75_84_2014-10-25 17:30:00,2014-10-25 17:30:00,False,75,Leicester,l,84,Swansea,0.773436,9.0,0,348,24,3,1.0348,l,0.773436,1.05601,7.0,2,321,20,4,1.05601,4.37,3.72,1.92
EPL 2014_75_76_2014-11-01 15:00:00,2014-11-01 15:00:00,True,75,Leicester,l,76,West Bromwich Albion,1.41001,14.0,0,193,23,8,2.1103,l,1.41001,0.562442,8.0,1,209,29,5,0.562442,2.35,3.46,3.27
EPL 2014_74_75_2014-11-08 15:00:00,2014-11-08 15:00:00,False,75,Leicester,l,74,Southampton,0.540434,5.0,0,355,17,1,0.8903999999999999,l,0.540434,1.00528,18.0,2,170,23,9,1.00528,8.54,4.83,1.44
EPL 2014_75_77_2014-11-22 15:00:00,2014-11-22 15:00:00,True,75,Leicester,d,77,Sunderland,0.685893,13.0,0,198,23,9,1.1185,d,0.685893,0.889971,10.0,0,99,18,6,0.889971,2.1,3.51,3.87
