match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
EPL 2015_78_79_2015-08-08 18:00:00,2015-08-08 18:00:00,False,78,Crystal Palace,w,79,Norwich,2.10975,11.0,3,255,24,10,2.1299,w,2.10975,1.13076,17.0,1,109,19,5,1.13076,3.08,3.35,2.52
EPL 2015_78_83_2015-08-16 16:30:00,2015-08-16 16:30:00,True,78,Crystal Palace,l,83,Arsenal,0.964134,11.0,1,281,24,5,0.6022000000000001,l,0.964134,2.05542,20.0,2,202,29,15,2.05542,5.34,3.97,1.72
EPL 2015_71_78_2015-08-22 18:00:00,2015-08-22 18:00:00,True,78,Crystal Palace,w,71,Aston Villa,1.23807,16.0,2,196,24,9,1.7320000000000002,w,1.23807,0.765278,11.0,1,178,21,6,0.765278,1.85,3.63,4.89
EPL 2015_78_80_2015-08-29 18:00:00,2015-08-29 18:00:00,False,78,Crystal Palace,w,80,Chelsea,2.19283,13.0,2,296,16,8,2.0323,w,2.19283,1.27906,26.0,1,164,20,10,1.27906,10.17,5.26,1.37
EPL 2015_78_88_2015-09-12 18:00:00,2015-09-12 18:00:00,True,78,Crystal Palace,l,88,Manchester City,0.743193,10.0,0,207,24,2,0.1183999999999999,l,0.743193,3.08883,21.0,1,206,24,8,3.08883,5.75,4.16,1.65
EPL 2015_78_82_2015-09-20 16:30:00,2015-09-20 16:30:00,False,78,Crystal Palace,l,82,Tottenham,0.538439,12.0,0,234,23,5,0.8979999999999999,l,0.538439,1.01573,22.0,1,176,34,10,1.01573,4.15,3.61,1.99
EPL 2015_78_90_2015-09-27 19:00:00,2015-09-27 19:00:00,False,78,Crystal Palace,w,90,Watford,2.33566,16.0,1,193,22,2,2.5423,w,1.57449,0.685939,15.0,0,154,16,9,0.685939,3.12,3.36,2.49
EPL 2015_76_78_2015-10-03 15:45:00,2015-10-03 15:45:00,True,78,Crystal Palace,w,76,West Bromwich Albion,1.99083,21.0,2,147,35,3,2.728,w,1.22966,0.255528,7.0,0,221,21,1,0.255528,1.84,3.65,4.93
EPL 2015_78_81_2015-10-17 18:00:00,2015-10-17 18:00:00,True,78,Crystal Palace,l,81,West Ham,1.08391,6.0,1,251,20,9,0.3372,l,0.322738,2.76356,24.0,3,165,23,15,2.76356,2.01,3.67,3.99
EPL 2015_75_78_2015-10-24 18:00:00,2015-10-24 18:00:00,False,78,Crystal Palace,l,75,Leicester,0.240008,9.0,0,256,22,5,0.2123,l,0.240008,1.33502,12.0,1,257,19,2,1.33502,3.48,3.56,2.21
EPL 2015_78_89_2015-10-31 19:00:00,2015-10-31 19:00:00,True,78,Crystal Palace,d,89,Manchester United,0.939118,10.0,0,249,26,5,1.8727,d,0.939118,0.394404,5.0,0,208,28,8,0.394404,4.02,3.46,2.08
EPL 2015_78_87_2015-11-08 20:00:00,2015-11-08 20:00:00,False,78,Crystal Palace,w,87,Liverpool,0.849281,9.0,2,233,22,1,0.5121,w,0.849281,2.15673,22.0,1,133,23,20,2.15673,5.73,3.99,1.68
EPL 2015_77_78_2015-11-24 00:00:00,2015-11-24 00:00:00,True,78,Crystal Palace,l,77,Sunderland,0.696183,19.0,0,98,32,4,0.7918000000000001,l,0.696183,1.30739,12.0,1,249,9,8,1.30739,1.56,4.31,6.77
EPL 2015_78_86_2015-11-28 19:00:00,2015-11-28 19:00:00,True,78,Crystal Palace,w,86,Newcastle United,1.67836,19.0,5,192,25,7,2.0486,w,1.67836,0.791299,7.0,1,256,23,2,0.791299,1.69,4.04,5.53
EPL 2015_72_78_2015-12-08 00:00:00,2015-12-08 00:00:00,False,78,Crystal Palace,d,72,Everton,1.1905,14.0,1,265,30,2,0.9386,d,1.1905,1.69774,19.0,1,177,23,13,1.69774,3.88,3.63,2.06
EPL 2015_74_78_2015-12-12 19:00:00,2015-12-12 19:00:00,True,78,Crystal Palace,w,74,Southampton,1.31177,12.0,1,180,18,5,1.7362,w,1.31177,0.890411,15.0,0,134,23,5,0.890411,2.55,3.32,3.06
EPL 2015_78_85_2015-12-19 19:00:00,2015-12-19 19:00:00,False,78,Crystal Palace,w,85,Stoke,1.95347,12.0,2,255,21,1,1.0781,w,1.1923,2.41499,26.0,1,186,23,6,1.65386,3.14,3.3,2.51
EPL 2015_73_78_2015-12-26 19:00:00,2015-12-26 19:00:00,False,78,Crystal Palace,d,73,Bournemouth,0.405181,8.0,0,264,27,4,0.8335999999999999,d,0.405181,0.871395,10.0,0,179,34,5,0.871395,3.06,3.45,2.48
EPL 2015_78_84_2015-12-28 19:00:00,2015-12-28 19:00:00,True,78,Crystal Palace,d,84,Swansea,0.735185,10.0,0,186,19,7,1.9349,d,0.735185,0.169425,5.0,0,204,15,1,0.169425,2.09,3.41,4.03
EPL 2015_78_80_2016-01-03 17:30:00,2016-01-03 17:30:00,True,78,Crystal Palace,l,80,Chelsea,0.546499,8.0,0,322,30,5,0.2029,l,0.546499,2.3747,10.0,3,202,25,5,2.3747,3.98,3.49,2.07
EPL 2015_71_78_2016-01-12 23:45:00,2016-01-12 23:45:00,False,78,Crystal Palace,l,71,Aston Villa,0.547913,9.0,0,204,28,1,1.3003,l,0.547913,0.551973,13.0,1,251,24,6,0.551973,2.5,3.25,3.2
EPL 2015_78_88_2016-01-16 19:00:00,2016-01-16 19:00:00,False,78,Crystal Palace,l,88,Manchester City,0.613339,9.0,0,255,30,3,0.4732,l,0.613339,1.74025,17.0,4,223,39,10,1.74025,8.88,5.34,1.39
EPL 2015_78_82_2016-01-23 19:00:00,2016-01-23 19:00:00,True,78,Crystal Palace,l,82,Tottenham,0.930792,11.0,1,257,30,2,0.7776,l,0.930792,1.74368,24.0,3,121,22,5,1.74368,3.63,3.4,2.22
EPL 2015_73_78_2016-02-03 00:00:00,2016-02-03 00:00:00,True,78,Crystal Palace,l,73,Bournemouth,1.62395,14.0,1,178,25,6,1.7302,l,1.62395,1.17427,8.0,2,182,16,3,1.17427,2.48,3.25,3.23
EPL 2015_78_84_2016-02-06 19:00:00,2016-02-06 19:00:00,False,78,Crystal Palace,d,84,Swansea,1.01465,12.0,1,230,23,3,1.1553,d,1.01465,1.32136,19.0,1,165,37,10,1.32136,3.67,3.28,2.26
EPL 2015_78_90_2016-02-13 19:00:00,2016-02-13 19:00:00,True,78,Crystal Palace,l,90,Watford,0.983946,14.0,1,134,23,2,0.532,l,0.983946,1.99728,10.0,2,195,36,4,1.23611,2.24,3.28,3.71
EPL 2015_76_78_2016-02-27 21:30:00,2016-02-27 21:30:00,False,78,Crystal Palace,l,76,West Bromwich Albion,1.21638,15.0,2,162,20,3,0.6884999999999999,l,1.21638,2.07488,11.0,3,228,21,13,2.07488,2.87,3.13,2.84
EPL 2015_77_78_2016-03-01 23:45:00,2016-03-01 23:45:00,False,78,Crystal Palace,d,77,Sunderland,0.887448,13.0,2,227,23,8,1.2891,d,0.887448,0.93375,17.0,2,131,25,4,0.93375,3.13,3.36,2.48
EPL 2015_78_87_2016-03-06 17:30:00,2016-03-06 17:30:00,True,78,Crystal Palace,l,87,Liverpool,1.43901,14.0,1,306,23,1,0.7581,l,1.43901,2.27087,19.0,2,153,30,15,1.5097,3.71,3.5,2.15
EPL 2015_75_78_2016-03-19 19:00:00,2016-03-19 19:00:00,True,78,Crystal Palace,l,75,Leicester,0.784339,12.0,0,126,26,3,0.9957,l,0.784339,1.20315,8.0,1,250,34,8,1.20315,2.96,3.35,2.6
EPL 2015_78_81_2016-04-02 18:00:00,2016-04-02 18:00:00,False,78,Crystal Palace,d,81,West Ham,1.65593,12.0,2,318,28,0,1.3434,d,1.65593,1.71369,18.0,2,119,21,11,1.71369,4.29,3.65,1.95
EPL 2015_78_79_2016-04-09 18:00:00,2016-04-09 18:00:00,True,78,Crystal Palace,w,79,Norwich,1.45029,13.0,1,110,24,1,2.0414,w,1.45029,0.675663,13.0,0,134,18,6,0.675663,2.13,3.36,3.95
EPL 2015_72_78_2016-04-13 23:00:00,2016-04-13 23:00:00,True,78,Crystal Palace,d,72,Everton,1.59025,18.0,0,193,23,12,2.0078,d,1.59025,0.759269,9.0,0,247,17,9,0.759269,2.89,3.48,2.59
EPL 2015_78_83_2016-04-17 19:00:00,2016-04-17 19:00:00,False,78,Crystal Palace,d,83,Arsenal,0.275806,7.0,1,351,21,1,0.3305,d,0.275806,1.73461,21.0,1,161,18,16,1.73461,9.56,5.52,1.36
EPL 2015_78_89_2016-04-20 23:00:00,2016-04-20 23:00:00,False,78,Crystal Palace,l,89,Manchester United,0.137416,5.0,0,293,25,2,0.2231,l,0.137416,1.46607,16.0,2,161,33,13,1.46607,7.45,4.25,1.54
EPL 2015_78_86_2016-04-30 18:00:00,2016-04-30 18:00:00,False,78,Crystal Palace,l,86,Newcastle United,1.05079,9.0,0,171,30,2,1.9407,l,0.289623,0.53407,10.0,1,216,27,6,0.53407,4.08,3.54,2.03
