match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
EPL 2015_78_79_2015-08-08 18:00:00,2015-08-08 18:00:00,True,79,Norwich,l,78,Crystal Palace,1.13076,17.0,1,109,19,5,0.6542,l,1.13076,2.10975,11.0,3,255,24,10,2.10975,2.52,3.35,3.08
EPL 2015_77_79_2015-08-15 18:00:00,2015-08-15 18:00:00,False,79,Norwich,w,77,Sunderland,1.71686,19.0,3,224,21,6,2.478,w,1.71686,0.329128,6.0,1,224,22,2,0.329128,3.08,3.35,2.52
EPL 2015_79_85_2015-08-22 18:00:00,2015-08-22 18:00:00,True,79,Norwich,d,85,Stoke,3.14888,21.0,1,289,30,4,2.7779,d,3.14888,0.698228,6.0,1,153,14,2,0.698228,2.34,3.39,3.37
EPL 2015_74_79_2015-08-30 16:30:00,2015-08-30 16:30:00,False,79,Norwich,l,74,Southampton,0.639434,6.0,0,307,12,2,0.1059,l,0.639434,2.85501,23.0,3,186,18,2,2.85501,4.0,3.54,2.05
EPL 2015_73_79_2015-09-12 18:00:00,2015-09-12 18:00:00,True,79,Norwich,w,73,Bournemouth,1.33151,12.0,3,259,26,7,2.225,w,1.33151,0.389495,7.0,1,221,19,3,0.389495,2.36,3.48,3.23
EPL 2015_79_87_2015-09-20 19:00:00,2015-09-20 19:00:00,False,79,Norwich,d,87,Liverpool,0.556271,7.0,1,319,21,3,0.4423,d,0.556271,1.90447,23.0,1,195,22,12,1.90447,5.81,3.94,1.68
EPL 2015_79_81_2015-09-26 18:00:00,2015-09-26 18:00:00,False,79,Norwich,d,81,West Ham,1.38603,16.0,2,175,26,3,0.6213,d,1.38603,2.60407,19.0,2,270,30,9,2.60407,3.49,3.54,2.22
EPL 2015_75_79_2015-10-03 18:00:00,2015-10-03 18:00:00,True,79,Norwich,l,75,Leicester,1.18074,17.0,1,104,9,5,0.3338,l,1.18074,3.00282,16.0,2,235,23,5,2.24168,2.26,3.63,3.31
EPL 2015_79_86_2015-10-18 19:00:00,2015-10-18 19:00:00,False,79,Norwich,l,86,Newcastle United,1.34395,18.0,2,192,26,4,0.7544,l,1.34395,2.24896,11.0,6,238,19,8,2.24896,2.93,3.44,2.58
EPL 2015_76_79_2015-10-24 18:00:00,2015-10-24 18:00:00,True,79,Norwich,l,76,West Bromwich Albion,1.03228,16.0,0,137,18,6,0.9568,l,1.03228,1.45436,7.0,1,231,17,3,1.45436,2.02,3.49,4.18
EPL 2015_79_88_2015-10-31 19:00:00,2015-10-31 19:00:00,False,79,Norwich,l,88,Manchester City,1.17497,5.0,1,364,13,5,0.2629,l,1.17497,2.83557,21.0,2,150,15,12,1.31323,11.03,6.22,1.3
EPL 2015_79_84_2015-11-07 19:00:00,2015-11-07 19:00:00,True,79,Norwich,w,84,Swansea,1.19517,9.0,1,438,19,4,2.128,w,1.19517,0.402284,8.0,0,175,16,5,0.402284,2.46,3.47,3.06
EPL 2015_79_80_2015-11-21 19:00:00,2015-11-21 19:00:00,False,79,Norwich,l,80,Chelsea,0.202798,4.0,0,258,18,2,0.1672,l,0.202798,2.16487,21.0,1,150,22,15,2.16487,8.78,4.86,1.43
EPL 2015_79_83_2015-11-29 20:15:00,2015-11-29 20:15:00,True,79,Norwich,d,83,Arsenal,1.01025,7.0,1,315,14,4,0.8193,d,1.01025,1.65699,12.0,1,172,19,8,1.65699,5.62,4.34,1.63
EPL 2015_79_90_2015-12-05 19:00:00,2015-12-05 19:00:00,False,79,Norwich,l,90,Watford,0.310524,6.0,0,169,13,3,0.179,l,0.310524,2.07199,14.0,2,169,16,10,1.31082,3.7,3.48,2.16
EPL 2015_72_79_2015-12-12 16:45:00,2015-12-12 16:45:00,True,79,Norwich,d,72,Everton,1.49283,9.0,1,349,19,4,0.7242999999999999,d,1.49283,2.43558,15.0,1,191,10,9,2.43558,2.92,3.56,2.52
EPL 2015_79_89_2015-12-19 19:00:00,2015-12-19 19:00:00,False,79,Norwich,w,89,Manchester United,0.556897,6.0,2,285,14,1,0.9163,w,0.556897,1.01394,11.0,1,140,23,7,1.01394,8.45,4.5,1.47
EPL 2015_79_82_2015-12-26 19:00:00,2015-12-26 19:00:00,False,79,Norwich,l,82,Tottenham,0.452019,11.0,0,315,30,4,0.1905,l,0.452019,2.40666,15.0,3,186,21,13,1.64549,8.0,4.77,1.46
EPL 2015_71_79_2015-12-28 19:00:00,2015-12-28 19:00:00,True,79,Norwich,w,71,Aston Villa,1.10319,9.0,2,217,24,3,2.2082,w,1.10319,0.235874,6.0,0,170,30,0,0.235874,2.05,3.53,4.02
EPL 2015_74_79_2016-01-02 19:00:00,2016-01-02 19:00:00,True,79,Norwich,w,74,Southampton,1.50509,10.0,1,244,11,4,1.8645,w,1.50509,0.932294,10.0,0,160,18,10,0.932294,3.13,3.49,2.42
EPL 2015_79_85_2016-01-13 23:45:00,2016-01-13 23:45:00,False,79,Norwich,l,85,Stoke,0.193728,5.0,1,417,13,4,0.3951,l,0.193728,1.24456,14.0,3,170,33,8,1.24456,4.31,3.44,2.01
EPL 2015_73_79_2016-01-16 19:00:00,2016-01-16 19:00:00,False,79,Norwich,l,73,Bournemouth,0.595472,10.0,0,180,22,1,0.2047,l,0.595472,2.53086,15.0,3,208,22,3,1.76969,4.54,3.68,1.89
EPL 2015_79_87_2016-01-23 16:45:00,2016-01-23 16:45:00,True,79,Norwich,l,87,Liverpool,1.03432,6.0,4,229,28,8,0.9915,l,0.273154,1.44943,13.0,5,179,23,8,1.44943,4.35,3.5,1.98
EPL 2015_79_82_2016-02-02 23:45:00,2016-02-02 23:45:00,True,79,Norwich,l,82,Tottenham,0.929319,10.0,0,244,22,6,0.2678,l,0.929319,2.75469,17.0,3,175,15,4,1.99352,4.57,3.79,1.85
EPL 2015_71_79_2016-02-06 19:00:00,2016-02-06 19:00:00,False,79,Norwich,l,71,Aston Villa,1.1413,12.0,0,175,28,5,1.5459,l,1.1413,0.918291,10.0,2,195,22,1,0.918291,3.28,3.27,2.44
