match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
EPL 2015_72_90_2015-08-08 18:00:00,2015-08-08 18:00:00,False,90,Watford,d,72,Everton,0.557892,11.0,2,326,19,4,1.2362,d,0.557892,0.604226,10.0,2,133,20,5,0.604226,5.62,3.95,1.7
EPL 2015_76_90_2015-08-15 18:00:00,2015-08-15 18:00:00,True,90,Watford,d,76,West Bromwich Albion,0.760848,16.0,0,125,21,3,1.3677,d,0.760848,0.684036,6.0,0,253,22,4,0.684036,2.25,3.41,3.54
EPL 2015_74_90_2015-08-23 19:00:00,2015-08-23 19:00:00,True,90,Watford,d,74,Southampton,1.17588,13.0,0,199,22,2,1.8805000000000005,d,1.17588,0.68359,14.0,0,200,27,2,0.68359,2.76,3.36,2.78
EPL 2015_88_90_2015-08-29 18:00:00,2015-08-29 18:00:00,False,90,Watford,l,88,Manchester City,0.363603,7.0,0,368,18,1,0.4264,l,0.363603,1.52895,18.0,2,284,28,9,1.52895,17.75,8.0,1.19
EPL 2015_84_90_2015-09-12 18:00:00,2015-09-12 18:00:00,True,90,Watford,w,84,Swansea,1.57333,17.0,1,304,27,3,2.2813,w,1.57333,0.503008,8.0,0,134,20,8,0.503008,2.75,3.34,2.8
EPL 2015_86_90_2015-09-19 18:00:00,2015-09-19 18:00:00,False,90,Watford,w,86,Newcastle United,1.33961,13.0,2,281,37,10,1.5192,w,1.33961,1.15114,15.0,1,170,18,7,1.15114,3.04,3.36,2.54
EPL 2015_78_90_2015-09-27 19:00:00,2015-09-27 19:00:00,True,90,Watford,l,78,Crystal Palace,0.685939,15.0,0,154,16,9,0.3142,l,0.685939,2.33566,16.0,1,193,22,2,1.57449,2.49,3.36,3.12
EPL 2015_73_90_2015-10-03 18:00:00,2015-10-03 18:00:00,False,90,Watford,d,73,Bournemouth,0.913291,11.0,1,257,26,3,0.8079999999999999,d,0.913291,1.50268,12.0,1,215,18,1,0.741506,3.72,3.54,2.13
EPL 2015_83_90_2015-10-17 20:30:00,2015-10-17 20:30:00,True,90,Watford,l,83,Arsenal,0.254791,8.0,0,366,39,7,0.092,l,0.254791,2.69046,17.0,3,145,23,16,2.69046,6.29,4.31,1.59
EPL 2015_85_90_2015-10-24 18:00:00,2015-10-24 18:00:00,False,90,Watford,w,85,Stoke,1.0403,13.0,2,301,23,4,1.4846,w,1.0403,0.848432,12.0,0,114,14,5,0.848432,4.03,3.38,2.1
EPL 2015_81_90_2015-10-31 19:00:00,2015-10-31 19:00:00,True,90,Watford,w,81,West Ham,1.61544,20.0,2,254,25,7,2.1506000000000003,w,1.61544,0.605625,8.0,0,199,20,2,0.605625,2.6,3.38,2.94
EPL 2015_75_90_2015-11-07 19:00:00,2015-11-07 19:00:00,False,90,Watford,l,75,Leicester,1.00531,8.0,1,166,17,3,0.8251,l,0.244137,1.56389,12.0,2,306,29,0,0.802721,4.43,3.79,1.88
EPL 2015_89_90_2015-11-21 16:45:00,2015-11-21 16:45:00,True,90,Watford,l,89,Manchester United,1.47077,10.0,1,230,28,9,1.5206,l,0.709602,1.30264,13.0,2,175,33,8,1.30264,4.14,3.38,2.07
EPL 2015_71_90_2015-11-28 19:00:00,2015-11-28 19:00:00,False,90,Watford,w,71,Aston Villa,1.45176,14.0,3,312,32,7,1.3162,w,1.45176,1.48969,12.0,2,91,18,6,1.48969,2.85,3.25,2.77
EPL 2015_79_90_2015-12-05 19:00:00,2015-12-05 19:00:00,True,90,Watford,w,79,Norwich,2.07199,14.0,2,169,16,10,2.7098,w,1.31082,0.310524,6.0,0,169,13,3,0.310524,2.16,3.48,3.7
EPL 2015_77_90_2015-12-12 19:00:00,2015-12-12 19:00:00,False,90,Watford,w,77,Sunderland,2.0562,13.0,1,211,21,4,2.2318,w,2.0562,0.879474,14.0,0,217,13,8,0.879474,2.71,3.31,2.86
EPL 2015_87_90_2015-12-20 17:30:00,2015-12-20 17:30:00,True,90,Watford,w,87,Liverpool,1.99336,6.0,3,274,31,3,2.7059,w,1.99336,0.376313,12.0,0,82,19,9,0.376313,4.14,3.55,2.01
EPL 2015_80_90_2015-12-26 19:00:00,2015-12-26 19:00:00,False,90,Watford,d,80,Chelsea,1.667,12.0,2,277,28,1,1.0697,d,0.905834,2.09356,17.0,2,177,22,12,1.33239,7.14,4.52,1.52
EPL 2015_82_90_2015-12-28 19:00:00,2015-12-28 19:00:00,True,90,Watford,l,82,Tottenham,1.13011,9.0,1,261,27,4,2.0271,l,1.13011,0.527248,10.0,2,134,29,2,0.527248,3.92,3.55,2.07
EPL 2015_88_90_2016-01-02 21:30:00,2016-01-02 21:30:00,True,90,Watford,l,88,Manchester City,0.985368,11.0,1,198,29,5,1.6189,l,0.985368,0.692054,16.0,2,189,24,9,0.692054,5.14,4.11,1.72
EPL 2015_74_90_2016-01-13 23:45:00,2016-01-13 23:45:00,False,90,Watford,l,74,Southampton,0.11543,4.0,0,221,15,1,0.2107,l,0.11543,1.7224,15.0,2,284,31,4,1.7224,4.25,3.51,2.0
EPL 2015_84_90_2016-01-19 00:00:00,2016-01-19 00:00:00,False,90,Watford,l,84,Swansea,0.525478,13.0,0,272,31,4,1.3249,l,0.525478,0.474035,10.0,1,184,20,4,0.474035,3.28,3.31,2.42
EPL 2015_86_90_2016-01-23 19:00:00,2016-01-23 19:00:00,True,90,Watford,w,86,Newcastle United,2.58707,13.0,2,235,42,7,2.2647,w,2.58707,1.29267,11.0,1,245,21,6,1.29267,2.07,3.54,3.93
EPL 2015_80_90_2016-02-03 23:45:00,2016-02-03 23:45:00,True,90,Watford,d,80,Chelsea,0.531415,12.0,0,321,37,3,0.7762,d,0.531415,1.13694,12.0,0,253,29,13,1.13694,4.32,3.43,2.01
EPL 2015_82_90_2016-02-06 19:00:00,2016-02-06 19:00:00,False,90,Watford,l,82,Tottenham,0.149839,3.0,0,299,22,3,0.1760999999999999,l,0.149839,2.00475,26.0,1,135,29,12,2.00475,7.73,4.39,1.51
EPL 2015_78_90_2016-02-13 19:00:00,2016-02-13 19:00:00,False,90,Watford,w,78,Crystal Palace,1.99728,10.0,2,195,36,4,2.2432,w,1.23611,0.983946,14.0,1,134,23,2,0.983946,3.71,3.28,2.24
EPL 2015_73_90_2016-02-27 19:00:00,2016-02-27 19:00:00,True,90,Watford,d,73,Bournemouth,1.00481,14.0,0,174,24,3,1.3525,d,1.00481,0.955252,11.0,0,141,29,3,0.955252,2.45,3.31,3.22
EPL 2015_89_90_2016-03-03 00:00:00,2016-03-03 00:00:00,False,90,Watford,l,89,Manchester United,2.16484,13.0,0,250,34,2,2.3661000000000003,l,2.16484,0.786278,14.0,1,150,26,6,0.786278,6.21,3.92,1.66
EPL 2015_75_90_2016-03-05 21:30:00,2016-03-05 21:30:00,True,90,Watford,l,75,Leicester,0.829318,11.0,0,200,23,10,0.8405,l,0.829318,1.47042,14.0,1,222,29,5,1.47042,3.01,3.33,2.58
EPL 2015_85_90_2016-03-19 19:00:00,2016-03-19 19:00:00,True,90,Watford,l,85,Stoke,0.879462,9.0,1,214,30,5,0.7666,l,0.879462,1.58145,9.0,2,235,31,0,1.58145,2.4,3.27,3.36
EPL 2015_83_90_2016-04-02 18:00:00,2016-04-02 18:00:00,False,90,Watford,l,83,Arsenal,0.290619,6.0,0,393,21,4,0.0557999999999999,l,0.290619,3.00742,19.0,4,166,22,13,3.00742,9.82,5.4,1.36
EPL 2015_72_90_2016-04-09 18:00:00,2016-04-09 18:00:00,True,90,Watford,d,72,Everton,0.408379,13.0,1,268,23,8,0.4196999999999999,d,0.408379,1.59979,12.0,1,146,17,3,1.59979,3.47,3.41,2.28
EPL 2015_76_90_2016-04-16 18:00:00,2016-04-16 18:00:00,False,90,Watford,w,76,West Bromwich Albion,0.364852,11.0,1,192,21,3,0.1376,w,0.364852,2.2915,16.0,0,172,27,7,0.751531,3.49,3.23,2.36
EPL 2015_81_90_2016-04-20 22:45:00,2016-04-20 22:45:00,False,90,Watford,l,81,West Ham,1.22333,7.0,1,215,34,5,0.1056999999999999,l,0.462162,3.96294,18.0,3,256,36,8,2.4406,6.74,4.37,1.56
EPL 2015_71_90_2016-04-30 18:00:00,2016-04-30 18:00:00,True,90,Watford,w,71,Aston Villa,1.36255,18.0,3,170,26,10,2.0728,w,1.36255,0.491793,7.0,2,322,18,1,0.491793,1.74,3.95,5.23
EPL 2015_87_90_2016-05-08 19:00:00,2016-05-08 19:00:00,False,90,Watford,l,87,Liverpool,0.930803,14.0,0,327,26,6,0.4576,l,0.930803,2.38919,19.0,2,132,27,17,2.38919,6.48,4.65,1.54
