match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
EPL 2015_76_88_2015-08-10 23:00:00,2015-08-10 23:00:00,True,76,West Bromwich Albion,l,88,Manchester City,0.435238,9.0,0,396,17,4,0.3543,l,0.435238,1.9242,19.0,3,186,23,8,1.9242,5.75,3.98,1.68
EPL 2015_76_90_2015-08-15 18:00:00,2015-08-15 18:00:00,False,76,West Bromwich Albion,d,90,Watford,0.684036,6.0,0,253,22,4,1.2504,d,0.684036,0.760848,16.0,0,125,21,3,0.760848,3.54,3.41,2.25
EPL 2015_76_80_2015-08-23 16:30:00,2015-08-23 16:30:00,True,76,West Bromwich Albion,l,80,Chelsea,1.42622,15.0,2,252,17,4,0.926,l,0.665049,2.02778,15.0,3,175,10,8,2.02778,6.25,3.93,1.65
EPL 2015_76_85_2015-08-29 18:00:00,2015-08-29 18:00:00,False,76,West Bromwich Albion,w,85,Stoke,0.881194,15.0,1,278,31,8,0.9317,w,0.881194,1.21771,13.0,0,215,9,2,1.21771,4.5,3.5,1.95
EPL 2015_74_76_2015-09-12 18:00:00,2015-09-12 18:00:00,True,76,West Bromwich Albion,d,74,Southampton,0.409143,8.0,0,347,17,5,0.7587999999999999,d,0.409143,1.00731,14.0,0,154,18,7,1.00731,3.21,3.26,2.49
EPL 2015_71_76_2015-09-19 18:00:00,2015-09-19 18:00:00,False,76,West Bromwich Albion,w,71,Aston Villa,0.632761,11.0,1,244,29,2,1.0709,w,0.632761,0.876719,13.0,0,153,25,5,0.876719,3.57,3.23,2.32
EPL 2015_72_76_2015-09-28 23:00:00,2015-09-28 23:00:00,True,76,West Bromwich Albion,l,72,Everton,1.27511,9.0,2,264,24,6,0.6471,l,1.27511,2.30159,12.0,3,192,20,5,2.30159,3.06,3.39,2.51
EPL 2015_76_78_2015-10-03 15:45:00,2015-10-03 15:45:00,False,76,West Bromwich Albion,l,78,Crystal Palace,0.255528,7.0,0,221,21,1,0.1657,l,0.255528,1.99083,21.0,2,147,35,3,1.22966,4.93,3.65,1.84
EPL 2015_76_77_2015-10-17 18:00:00,2015-10-17 18:00:00,True,76,West Bromwich Albion,w,77,Sunderland,2.07781,8.0,1,179,19,2,2.5696000000000003,w,2.07781,0.658473,9.0,0,211,23,5,0.658473,2.08,3.42,4.07
EPL 2015_76_79_2015-10-24 18:00:00,2015-10-24 18:00:00,False,76,West Bromwich Albion,w,79,Norwich,1.45436,7.0,1,231,17,3,1.7524,w,1.45436,1.03228,16.0,0,137,18,6,1.03228,4.18,3.49,2.02
