match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
EPL 2017_80_92_2017-08-12 15:00:00,2017-08-12 15:00:00,False,92,Burnley,w,80,Chelsea,0.564237,10.0,3,285,12,3,0.6622999999999999,w,0.564237,1.35651,19.0,2,179,18,4,1.35651,15.25,6.3,1.26
EPL 2017_76_92_2017-08-19 15:00:00,2017-08-19 15:00:00,True,92,Burnley,l,76,West Bromwich Albion,1.37242,20.0,0,88,16,4,1.9653,l,1.37242,0.653058,8.0,1,266,19,0,0.653058,2.64,3.17,3.07
EPL 2017_82_92_2017-08-27 16:00:00,2017-08-27 16:00:00,False,92,Burnley,d,82,Tottenham,0.670943,13.0,1,319,18,5,0.3530999999999999,d,0.670943,2.3497,28.0,1,145,21,15,2.3497,14.0,6.45,1.26
EPL 2017_78_92_2017-09-10 13:30:00,2017-09-10 13:30:00,True,92,Burnley,w,78,Crystal Palace,0.429329,4.0,1,209,26,2,0.3872,w,0.429329,1.72996,23.0,0,108,23,8,1.72996,2.36,3.23,3.48
EPL 2017_87_92_2017-09-16 15:00:00,2017-09-16 15:00:00,False,92,Burnley,d,87,Liverpool,0.334402,5.0,1,367,18,0,0.1813,d,0.334402,2.18727,35.0,1,145,11,19,2.18727,13.45,6.3,1.27
EPL 2017_219_92_2017-09-23 15:00:00,2017-09-23 15:00:00,True,92,Burnley,d,219,Huddersfield,0.369454,5.0,0,230,17,2,1.3209,d,0.369454,0.312561,9.0,0,246,20,2,0.312561,2.21,3.23,3.89
EPL 2017_72_92_2017-10-01 14:15:00,2017-10-01 14:15:00,False,92,Burnley,w,72,Everton,0.383977,5.0,1,242,15,6,0.8124,w,0.383977,0.93376,23.0,0,122,14,18,0.93376,6.2,3.81,1.68
EPL 2017_81_92_2017-10-14 15:00:00,2017-10-14 15:00:00,True,92,Burnley,d,81,West Ham,0.70219,20.0,1,120,18,11,1.1422,d,0.70219,0.835192,8.0,1,224,17,4,0.835192,2.8,3.23,2.83
EPL 2017_88_92_2017-10-21 15:00:00,2017-10-21 15:00:00,False,92,Burnley,l,88,Manchester City,0.14859,6.0,0,523,25,4,0.0139,l,0.14859,3.71812,15.0,3,102,18,13,2.95695,23.0,12.2,1.12
EPL 2017_86_92_2017-10-30 20:00:00,2017-10-30 20:00:00,True,92,Burnley,w,86,Newcastle United,1.0271,12.0,1,297,20,6,1.8478,w,1.0271,0.516369,12.0,0,237,20,5,0.516369,3.05,3.13,2.69
