match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
EPL 2017_82_86_2017-08-13 13:30:00,2017-08-13 13:30:00,True,86,Newcastle United,l,82,Tottenham,0.634633,6.0,0,413,14,2,0.2819,l,0.634633,2.34418,18.0,2,114,16,8,2.34418,5.35,4.0,1.71
EPL 2017_219_86_2017-08-20 13:30:00,2017-08-20 13:30:00,False,86,Newcastle United,l,219,Huddersfield,0.973322,13.0,0,263,19,5,2.0472,l,0.973322,0.267008,7.0,1,218,28,2,0.267008,3.13,3.31,2.51
EPL 2017_81_86_2017-08-26 15:00:00,2017-08-26 15:00:00,True,86,Newcastle United,w,81,West Ham,2.76107,16.0,3,295,26,7,2.7839,w,2.76107,0.558484,8.0,0,97,17,0,0.558484,2.34,3.42,3.33
EPL 2017_84_86_2017-09-10 16:00:00,2017-09-10 16:00:00,False,86,Newcastle United,w,84,Swansea,1.03177,16.0,1,303,32,2,0.9506,w,1.03177,1.48574,10.0,0,152,19,6,1.48574,3.32,3.28,2.41
EPL 2017_85_86_2017-09-16 15:00:00,2017-09-16 15:00:00,True,86,Newcastle United,w,85,Stoke,2.6598,14.0,2,208,20,3,2.6573,w,2.6598,0.675783,13.0,1,137,19,5,0.675783,2.37,3.23,3.46
EPL 2017_220_86_2017-09-24 16:00:00,2017-09-24 16:00:00,False,86,Newcastle United,l,220,Brighton,1.37001,17.0,0,234,16,11,2.1368,l,1.37001,0.507341,7.0,1,221,14,5,0.507341,2.96,3.1,2.78
EPL 2017_86_87_2017-10-01 16:30:00,2017-10-01 16:30:00,True,86,Newcastle United,d,87,Liverpool,0.280437,8.0,1,342,16,2,0.2909,d,0.280437,1.64475,17.0,1,148,21,8,1.64475,5.09,4.17,1.71
EPL 2017_74_86_2017-10-15 16:00:00,2017-10-15 16:00:00,False,86,Newcastle United,d,74,Southampton,0.950997,19.0,2,359,20,6,0.746,d,0.950997,1.71445,12.0,2,185,26,9,0.953278,4.85,3.58,1.87
EPL 2017_78_86_2017-10-21 15:00:00,2017-10-21 15:00:00,True,86,Newcastle United,w,78,Crystal Palace,0.270313,7.0,1,180,25,4,0.932,w,0.270313,0.566845,10.0,0,270,26,3,0.566845,1.98,3.58,4.24
EPL 2017_86_92_2017-10-30 20:00:00,2017-10-30 20:00:00,False,86,Newcastle United,l,92,Burnley,0.516369,12.0,0,237,20,5,0.8146,l,0.516369,1.0271,12.0,1,297,20,6,1.0271,2.69,3.13,3.05
EPL 2017_73_86_2017-11-04 15:00:00,2017-11-04 15:00:00,True,86,Newcastle United,l,73,Bournemouth,0.676091,16.0,0,187,21,4,0.8263,l,0.676091,1.28703,16.0,1,189,19,12,1.28703,1.99,3.47,4.36
EPL 2017_86_89_2017-11-18 17:30:00,2017-11-18 17:30:00,False,86,Newcastle United,l,89,Manchester United,1.08708,12.0,1,346,16,6,0.4508,l,1.08708,2.57424,16.0,4,192,20,14,2.57424,15.0,5.7,1.29
EPL 2017_86_90_2017-11-25 15:00:00,2017-11-25 15:00:00,True,86,Newcastle United,l,90,Watford,0.86002,12.0,0,237,25,10,0.538,l,0.86002,2.05844,12.0,3,254,28,7,2.05844,2.18,3.48,3.59
EPL 2017_76_86_2017-11-28 20:00:00,2017-11-28 20:00:00,False,86,Newcastle United,d,76,West Bromwich Albion,1.1342,14.0,2,216,21,3,1.6184,d,1.1342,0.845327,8.0,2,221,23,2,0.845327,3.49,3.21,2.37
EPL 2017_80_86_2017-12-02 12:30:00,2017-12-02 12:30:00,False,86,Newcastle United,l,80,Chelsea,0.519549,8.0,1,436,31,0,0.1061,l,0.519549,3.07794,23.0,3,229,25,20,2.31677,14.0,6.45,1.26
EPL 2017_75_86_2017-12-09 17:30:00,2017-12-09 17:30:00,True,86,Newcastle United,l,75,Leicester,0.964657,10.0,2,313,33,5,1.87,l,0.964657,0.444099,13.0,3,172,17,4,0.444099,2.64,3.32,2.95
EPL 2017_72_86_2017-12-13 19:45:00,2017-12-13 19:45:00,True,86,Newcastle United,l,72,Everton,0.570658,16.0,0,249,21,2,0.5061,l,0.570658,1.38719,7.0,1,273,26,1,1.38719,2.41,3.29,3.32
EPL 2017_83_86_2017-12-16 15:00:00,2017-12-16 15:00:00,False,86,Newcastle United,l,83,Arsenal,0.286547,10.0,0,399,20,2,0.2593,l,0.286547,2.02472,23.0,1,141,34,21,2.02472,11.75,6.8,1.27
EPL 2017_81_86_2017-12-23 15:00:00,2017-12-23 15:00:00,False,86,Newcastle United,w,81,West Ham,1.90622,11.0,3,219,18,3,1.0665,w,1.90622,2.31898,19.0,2,105,16,9,1.55781,3.86,3.43,2.13
EPL 2017_86_88_2017-12-27 19:45:00,2017-12-27 19:45:00,True,86,Newcastle United,l,88,Manchester City,0.174705,6.0,0,448,16,1,0.2144,l,0.174705,1.93187,22.0,1,95,18,12,1.93187,12.6,6.95,1.26
EPL 2017_220_86_2017-12-30 15:00:00,2017-12-30 15:00:00,True,86,Newcastle United,d,220,Brighton,0.504379,11.0,0,287,21,2,1.1258,d,0.504379,0.630058,10.0,0,201,15,1,0.630058,2.15,3.22,4.1
EPL 2017_85_86_2018-01-01 15:00:00,2018-01-01 15:00:00,False,86,Newcastle United,w,85,Stoke,2.02028,14.0,1,274,22,4,1.7637999999999998,w,2.02028,1.50029,11.0,0,175,21,6,1.50029,3.44,3.26,2.36
EPL 2017_84_86_2018-01-13 15:00:00,2018-01-13 15:00:00,True,86,Newcastle United,d,84,Swansea,1.8273,12.0,1,304,29,5,2.0779,d,1.8273,0.895774,8.0,1,191,12,4,0.895774,1.99,3.38,4.5
EPL 2017_86_88_2018-01-20 17:30:00,2018-01-20 17:30:00,False,86,Newcastle United,l,88,Manchester City,0.992018,6.0,1,347,21,1,0.3947,l,0.992018,2.5505,21.0,3,74,19,21,1.78933,22.56,10.21,1.14
EPL 2017_86_92_2018-01-31 19:45:00,2018-01-31 19:45:00,True,86,Newcastle United,d,92,Burnley,2.52275,14.0,1,166,22,6,2.3107,d,1.76158,1.22828,11.0,1,187,28,6,1.22828,2.19,3.15,4.05
EPL 2017_78_86_2018-02-04 14:15:00,2018-02-04 14:15:00,False,86,Newcastle United,d,78,Crystal Palace,1.14408,11.0,1,216,15,2,0.3142,d,1.14408,3.00238,21.0,1,197,20,11,2.24121,4.19,3.4,2.05
EPL 2017_86_89_2018-02-11 14:15:00,2018-02-11 14:15:00,True,86,Newcastle United,w,89,Manchester United,0.676656,10.0,1,322,24,4,0.5956,w,0.676656,1.71995,13.0,0,170,22,13,1.71995,5.86,4.03,1.66
EPL 2017_73_86_2018-02-24 15:00:00,2018-02-24 15:00:00,False,86,Newcastle United,d,73,Bournemouth,4.23567,15.0,2,292,21,7,2.9052,d,4.23567,1.20646,18.0,2,173,25,12,1.20646,3.85,3.49,2.11
EPL 2017_86_87_2018-03-03 17:30:00,2018-03-03 17:30:00,False,86,Newcastle United,l,87,Liverpool,0.255322,7.0,0,466,16,4,0.3438,l,0.255322,1.56935,14.0,2,168,36,13,1.56935,14.1,7.6,1.22
EPL 2017_74_86_2018-03-10 15:00:00,2018-03-10 15:00:00,True,86,Newcastle United,w,74,Southampton,1.35847,7.0,3,257,24,5,2.1992000000000003,w,1.35847,0.496723,6.0,0,112,20,2,0.496723,2.8,3.16,2.88
EPL 2017_219_86_2018-03-31 15:00:00,2018-03-31 15:00:00,True,86,Newcastle United,w,219,Huddersfield,2.53617,18.0,1,135,23,5,2.8312,w,2.53617,0.280847,4.0,0,359,26,1,0.280847,1.78,3.62,5.55
EPL 2017_75_86_2018-04-07 14:00:00,2018-04-07 14:00:00,False,86,Newcastle United,w,75,Leicester,0.285116,8.0,2,282,16,1,0.4132,w,0.285116,1.09224,8.0,1,116,15,4,1.09224,4.32,3.54,1.97
EPL 2017_83_86_2018-04-15 12:30:00,2018-04-15 12:30:00,True,86,Newcastle United,w,83,Arsenal,0.888452,8.0,2,422,27,6,0.935,w,0.888452,1.41538,15.0,1,132,27,10,1.41538,3.27,3.65,2.27
EPL 2017_72_86_2018-04-23 19:00:00,2018-04-23 19:00:00,False,86,Newcastle United,l,72,Everton,0.480957,9.0,0,289,27,9,0.853,l,0.480957,0.948534,9.0,1,172,28,7,0.948534,3.46,3.35,2.31
EPL 2017_76_86_2018-04-28 14:00:00,2018-04-28 14:00:00,True,86,Newcastle United,l,76,West Bromwich Albion,1.58397,17.0,0,150,18,11,2.0948,l,1.58397,0.703096,9.0,1,296,21,5,0.703096,1.93,3.47,4.69
EPL 2017_86_90_2018-05-05 15:00:00,2018-05-05 15:00:00,False,86,Newcastle United,l,90,Watford,0.613901,9.0,1,215,14,6,0.1253,l,0.613901,2.81246,11.0,2,318,18,2,1.89999,3.22,3.39,2.41
EPL 2017_82_86_2018-05-09 20:00:00,2018-05-09 20:00:00,False,86,Newcastle United,l,82,Tottenham,0.829699,14.0,0,287,15,6,1.3237,l,0.829699,0.835241,11.0,1,140,29,12,0.835241,17.0,7.8,1.19
EPL 2017_80_86_2018-05-13 15:00:00,2018-05-13 15:00:00,True,86,Newcastle United,w,80,Chelsea,2.24197,16.0,3,321,31,4,2.5338,w,2.24197,0.843284,6.0,0,197,23,3,0.843284,5.96,4.22,1.61
