match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
EPL 2017_72_85_2017-08-12 15:00:00,2017-08-12 15:00:00,False,85,Stoke,l,72,Everton,0.27644,9.0,0,289,20,9,0.808,l,0.27644,0.720574,9.0,1,130,21,3,0.720574,5.81,3.83,1.7
EPL 2017_83_85_2017-08-19 17:30:00,2017-08-19 17:30:00,True,85,Stoke,w,83,Arsenal,0.692644,11.0,1,361,15,4,0.7879,w,0.692644,1.40658,18.0,0,97,19,15,1.40658,4.39,3.85,1.88
EPL 2017_76_85_2017-08-27 13:30:00,2017-08-27 13:30:00,False,85,Stoke,d,76,West Bromwich Albion,0.980905,16.0,1,169,19,8,1.4047,d,0.980905,0.875132,10.0,1,240,20,2,0.875132,3.55,3.12,2.39
EPL 2017_85_89_2017-09-09 17:30:00,2017-09-09 17:30:00,True,85,Stoke,d,89,Manchester United,1.49928,10.0,2,310,20,1,1.0458,d,1.49928,1.96635,18.0,2,189,17,9,1.96635,7.42,4.43,1.52
EPL 2017_85_86_2017-09-16 15:00:00,2017-09-16 15:00:00,False,85,Stoke,l,86,Newcastle United,0.675783,13.0,1,137,19,5,0.2318,l,0.675783,2.6598,14.0,2,208,20,3,2.6598,3.46,3.23,2.37
EPL 2017_80_85_2017-09-23 15:00:00,2017-09-23 15:00:00,True,85,Stoke,l,80,Chelsea,0.600959,13.0,0,358,17,8,0.496,l,0.600959,1.59815,7.0,4,189,18,7,1.59815,5.69,4.25,1.64
EPL 2017_74_85_2017-09-30 15:00:00,2017-09-30 15:00:00,True,85,Stoke,w,74,Southampton,2.68136,17.0,2,374,24,9,2.2855,w,1.92019,1.42781,21.0,1,112,19,14,1.42781,3.06,3.38,2.52
EPL 2017_85_88_2017-10-14 15:00:00,2017-10-14 15:00:00,False,85,Stoke,l,88,Manchester City,0.681236,5.0,2,586,8,2,0.0228999999999999,l,0.681236,4.45388,20.0,7,125,24,19,4.45388,19.9,9.0,1.16
EPL 2017_73_85_2017-10-21 15:00:00,2017-10-21 15:00:00,True,85,Stoke,l,73,Bournemouth,1.60117,10.0,1,226,29,9,1.7687,l,1.60117,1.11834,7.0,2,182,24,3,0.357172,2.21,3.44,3.61
EPL 2017_85_90_2017-10-28 15:00:00,2017-10-28 15:00:00,False,85,Stoke,w,90,Watford,0.778883,6.0,1,295,9,4,1.0463,w,0.778883,1.13448,13.0,0,114,18,13,1.13448,3.86,3.69,2.04
EPL 2017_75_85_2017-11-04 12:30:00,2017-11-04 12:30:00,True,85,Stoke,d,75,Leicester,1.22988,11.0,2,251,21,7,1.2475,d,1.22988,1.39563,14.0,2,173,14,4,1.39563,2.74,3.33,2.82
EPL 2017_220_85_2017-11-20 20:00:00,2017-11-20 20:00:00,False,85,Stoke,d,220,Brighton,1.20507,13.0,2,268,11,6,2.0303,d,1.20507,0.490058,9.0,2,222,28,3,0.490058,3.52,3.16,2.38
EPL 2017_78_85_2017-11-25 15:00:00,2017-11-25 15:00:00,False,85,Stoke,l,78,Crystal Palace,0.628292,9.0,1,243,20,3,0.6285000000000001,l,0.628292,1.48339,10.0,2,202,23,8,1.48339,4.03,3.44,2.08
EPL 2017_85_87_2017-11-29 20:00:00,2017-11-29 20:00:00,True,85,Stoke,l,87,Liverpool,0.846748,10.0,0,334,15,2,0.3045,l,0.846748,2.58757,14.0,3,184,23,7,2.58757,6.45,4.69,1.53
EPL 2017_84_85_2017-12-02 15:00:00,2017-12-02 15:00:00,True,85,Stoke,w,84,Swansea,1.24743,10.0,2,287,18,9,2.2439,w,1.24743,0.320601,10.0,1,184,26,0,0.320601,1.96,3.41,4.61
EPL 2017_82_85_2017-12-09 15:00:00,2017-12-09 15:00:00,False,85,Stoke,l,82,Tottenham,0.749296,4.0,1,401,10,4,0.0511999999999999,l,0.749296,4.01925,20.0,5,111,29,15,4.01925,10.68,6.24,1.3
EPL 2017_85_92_2017-12-12 19:45:00,2017-12-12 19:45:00,False,85,Stoke,l,92,Burnley,0.916344,14.0,0,186,17,5,1.8778,l,0.916344,0.360081,10.0,1,153,18,3,0.360081,3.6,3.25,2.3
EPL 2017_81_85_2017-12-16 16:00:00,2017-12-16 16:00:00,True,85,Stoke,l,81,West Ham,0.983293,17.0,0,212,40,4,0.2576,l,0.983293,3.08244,14.0,3,195,15,6,2.32127,2.31,3.35,3.46
EPL 2017_76_85_2017-12-23 15:00:00,2017-12-23 15:00:00,True,85,Stoke,w,76,West Bromwich Albion,1.7986,9.0,3,221,27,2,1.2113,w,1.7986,2.0544,17.0,1,189,21,9,2.0544,2.34,3.21,3.55
EPL 2017_219_85_2017-12-26 15:00:00,2017-12-26 15:00:00,False,85,Stoke,d,219,Huddersfield,1.19984,15.0,1,288,20,3,0.8985000000000001,d,1.19984,1.8756,18.0,1,183,22,7,1.8756,3.17,3.27,2.51
EPL 2017_80_85_2017-12-30 15:00:00,2017-12-30 15:00:00,False,85,Stoke,l,80,Chelsea,0.28218,1.0,0,405,19,0,0.0438,l,0.28218,3.09527,21.0,5,296,16,4,2.33414,20.06,8.01,1.18
EPL 2017_85_86_2018-01-01 15:00:00,2018-01-01 15:00:00,True,85,Stoke,l,86,Newcastle United,1.50029,11.0,0,175,21,6,0.979,l,1.50029,2.02028,14.0,1,274,22,4,2.02028,2.36,3.26,3.44
EPL 2017_85_89_2018-01-15 20:00:00,2018-01-15 20:00:00,False,85,Stoke,l,89,Manchester United,1.47603,11.0,0,366,13,7,1.0388,l,1.47603,1.9485,20.0,3,249,26,16,1.9485,15.23,7.22,1.23
EPL 2017_219_85_2018-01-20 15:00:00,2018-01-20 15:00:00,True,85,Stoke,w,219,Huddersfield,0.987799,11.0,2,131,27,3,2.046,w,0.987799,0.238458,6.0,0,158,16,0,0.238458,2.04,3.41,4.23
EPL 2017_85_90_2018-01-31 20:00:00,2018-01-31 20:00:00,True,85,Stoke,d,90,Watford,0.722172,11.0,0,111,16,5,1.2919,d,0.722172,0.740773,12.0,0,121,18,6,0.740773,2.22,3.54,3.48
EPL 2017_73_85_2018-02-03 15:00:00,2018-02-03 15:00:00,False,85,Stoke,l,73,Bournemouth,0.721222,13.0,1,198,30,6,0.5264,l,0.721222,1.91091,15.0,2,148,19,9,1.91091,4.43,3.66,1.92
EPL 2017_220_85_2018-02-10 15:00:00,2018-02-10 15:00:00,True,85,Stoke,d,220,Brighton,1.39547,15.0,1,143,13,5,1.8327,d,0.634299,0.897856,14.0,1,211,21,11,0.897856,2.22,3.27,3.78
EPL 2017_75_85_2018-02-24 12:30:00,2018-02-24 12:30:00,False,85,Stoke,d,75,Leicester,0.166078,6.0,1,220,30,3,0.4493,d,0.166078,1.12487,19.0,1,97,26,4,1.12487,5.62,3.89,1.71
EPL 2017_74_85_2018-03-03 15:00:00,2018-03-03 15:00:00,False,85,Stoke,d,74,Southampton,0.385303,12.0,0,202,18,7,0.7547,d,0.385303,0.982895,18.0,0,94,23,6,0.982895,5.48,3.71,1.76
EPL 2017_85_88_2018-03-12 20:00:00,2018-03-12 20:00:00,True,85,Stoke,l,88,Manchester City,0.157023,3.0,0,541,12,3,0.2606,l,0.157023,1.64562,17.0,2,119,23,12,1.64562,13.25,6.89,1.25
EPL 2017_72_85_2018-03-17 15:00:00,2018-03-17 15:00:00,True,85,Stoke,l,72,Everton,0.894266,9.0,1,243,21,8,0.1708,l,0.894266,2.97881,17.0,2,175,23,4,2.97881,2.49,3.29,3.18
EPL 2017_83_85_2018-04-01 13:30:00,2018-04-01 13:30:00,False,85,Stoke,l,83,Arsenal,0.342516,8.0,0,400,21,4,0.0254,l,0.342516,3.56649,24.0,3,104,19,13,2.04415,10.47,6.1,1.31
EPL 2017_82_85_2018-04-07 14:00:00,2018-04-07 14:00:00,True,85,Stoke,l,82,Tottenham,1.40115,10.0,1,304,31,4,1.0935,l,1.40115,1.79894,15.0,2,96,16,7,1.79894,11.07,5.54,1.34
EPL 2017_81_85_2018-04-16 19:00:00,2018-04-16 19:00:00,False,85,Stoke,d,81,West Ham,1.41085,11.0,1,224,25,10,1.9075,d,1.41085,0.807456,18.0,1,126,23,19,0.807456,4.19,3.52,2.01
EPL 2017_85_92_2018-04-22 12:30:00,2018-04-22 12:30:00,True,85,Stoke,d,92,Burnley,0.356095,8.0,1,182,16,5,0.2891,d,0.356095,1.61309,16.0,1,119,9,3,1.61309,2.27,3.29,3.65
EPL 2017_85_87_2018-04-28 11:30:00,2018-04-28 11:30:00,False,85,Stoke,d,87,Liverpool,0.777827,5.0,0,315,20,2,0.4421,d,0.777827,2.11658,20.0,0,94,11,20,2.11658,10.1,5.85,1.32
EPL 2017_78_85_2018-05-05 12:30:00,2018-05-05 12:30:00,True,85,Stoke,l,78,Crystal Palace,0.750175,7.0,1,197,30,5,0.8856999999999999,l,0.750175,1.31471,13.0,2,129,14,9,1.31471,2.74,3.4,2.77
EPL 2017_84_85_2018-05-13 15:00:00,2018-05-13 15:00:00,False,85,Stoke,w,84,Swansea,1.75436,8.0,2,276,13,2,1.4818,w,0.993196,1.70936,26.0,1,269,28,18,1.70936,4.29,3.72,1.91
