match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
EPL 2018_219_80_2018-08-11 17:00:00,2018-08-11 17:00:00,True,219,Huddersfield,l,80,Chelsea,0.396115,6.0,0,381,33,2,0.1653,l,0.396115,2.31427,13.0,3,190,15,4,1.5531,6.41,4.02,1.62
EPL 2018_219_88_2018-08-19 15:30:00,2018-08-19 15:30:00,False,219,Huddersfield,l,88,Manchester City,0.663731,5.0,1,317,9,4,0.0258,l,0.663731,4.60356,32.0,6,101,11,17,4.60356,32.7,12.39,1.1
EPL 2018_219_227_2018-08-25 17:00:00,2018-08-25 17:00:00,True,219,Huddersfield,d,227,Cardiff,0.203453,5.0,0,106,12,1,0.5018,d,0.203453,1.06351,14.0,0,195,23,5,1.06351,2.34,3.1,3.68
EPL 2018_219_72_2018-09-01 14:00:00,2018-09-01 14:00:00,False,219,Huddersfield,d,72,Everton,0.660035,9.0,1,271,29,1,1.3716,d,0.660035,0.616013,11.0,1,179,21,2,0.616013,8.06,4.3,1.5
EPL 2018_219_78_2018-09-15 14:00:00,2018-09-15 14:00:00,True,219,Huddersfield,l,78,Crystal Palace,0.87744,15.0,0,225,19,5,1.4471999999999998,l,0.87744,0.746631,7.0,1,271,17,2,0.746631,3.25,3.23,2.48
EPL 2018_219_75_2018-09-22 14:00:00,2018-09-22 14:00:00,False,219,Huddersfield,l,75,Leicester,0.688176,9.0,1,336,19,2,0.5392,l,0.688176,1.80404,18.0,3,181,26,2,1.80404,6.72,3.91,1.62
EPL 2018_219_82_2018-09-29 14:00:00,2018-09-29 14:00:00,True,219,Huddersfield,l,82,Tottenham,0.339245,9.0,0,215,35,3,0.1381,l,0.339245,2.33733,10.0,2,214,15,1,1.57616,8.01,4.5,1.48
EPL 2018_219_92_2018-10-06 14:00:00,2018-10-06 14:00:00,False,219,Huddersfield,d,92,Burnley,1.02549,19.0,1,109,17,1,1.9813,d,1.02549,0.353128,6.0,1,332,23,1,0.353128,4.33,3.04,2.16
EPL 2018_219_87_2018-10-20 16:30:00,2018-10-20 16:30:00,True,219,Huddersfield,l,87,Liverpool,0.638341,13.0,0,330,24,0,1.259,l,0.638341,0.663819,11.0,1,341,18,10,0.663819,11.49,5.36,1.33
EPL 2018_219_90_2018-10-27 14:00:00,2018-10-27 14:00:00,False,219,Huddersfield,l,90,Watford,0.479655,13.0,0,242,30,6,0.2333,l,0.479655,2.29622,12.0,3,295,25,6,2.29622,5.37,3.74,1.76
EPL 2018_219_228_2018-11-05 20:00:00,2018-11-05 20:00:00,True,219,Huddersfield,w,228,Fulham,0.51433,10.0,1,235,49,4,1.438,w,0.51433,0.354166,7.0,0,153,15,1,0.354166,2.33,3.45,3.34
EPL 2018_219_81_2018-11-10 15:00:00,2018-11-10 15:00:00,True,219,Huddersfield,d,81,West Ham,1.17524,15.0,1,263,26,4,1.1023,d,1.17524,1.44113,12.0,1,147,17,5,1.44113,3.46,3.33,2.33
EPL 2018_219_229_2018-11-25 16:00:00,2018-11-25 16:00:00,False,219,Huddersfield,w,229,Wolverhampton Wanderers,0.627281,14.0,2,241,29,5,1.2535,w,0.627281,0.701036,12.0,0,302,20,5,0.701036,8.2,4.16,1.51
EPL 2018_219_220_2018-12-01 15:00:00,2018-12-01 15:00:00,True,219,Huddersfield,l,220,Brighton,0.558083,7.0,1,334,20,0,0.4642,l,0.558083,1.67998,14.0,2,104,14,6,1.67998,2.5,3.06,3.42
EPL 2018_219_73_2018-12-04 19:45:00,2018-12-04 19:45:00,False,219,Huddersfield,l,73,Bournemouth,1.5631,23.0,1,148,30,9,1.7043,l,1.5631,1.07393,6.0,2,273,16,3,1.07393,5.82,3.82,1.7
EPL 2018_219_83_2018-12-08 15:00:00,2018-12-08 15:00:00,False,219,Huddersfield,l,83,Arsenal,0.308361,6.0,0,308,29,2,0.2287,l,0.308361,2.02156,14.0,1,134,24,8,2.02156,11.66,6.13,1.27
EPL 2018_219_86_2018-12-15 15:00:00,2018-12-15 15:00:00,True,219,Huddersfield,l,86,Newcastle United,0.671382,15.0,0,101,24,7,1.0309,l,0.671382,0.931041,8.0,1,300,16,3,0.931041,2.73,3.05,3.08
EPL 2018_219_74_2018-12-22 15:00:00,2018-12-22 15:00:00,True,219,Huddersfield,l,74,Southampton,1.0038,16.0,1,139,33,8,0.3667,l,1.0038,2.60172,13.0,3,287,19,6,1.84055,3.08,3.11,2.68
EPL 2018_219_89_2018-12-26 15:00:00,2018-12-26 15:00:00,False,219,Huddersfield,l,89,Manchester United,1.40594,10.0,1,334,23,5,1.0529,l,1.40594,1.79848,16.0,3,167,24,9,1.79848,13.8,6.79,1.23
