match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
EPL 2018_229_72_2018-08-11 19:30:00,2018-08-11 19:30:00,True,229,Wolverhampton Wanderers,d,72,Everton,0.891038,11.0,2,228,9,4,1.4521,d,0.891038,0.715382,6.0,2,312,20,2,0.715382,2.36,3.4,3.28
EPL 2018_229_75_2018-08-18 17:00:00,2018-08-18 17:00:00,False,229,Wolverhampton Wanderers,l,75,Leicester,1.09349,11.0,0,221,31,6,2.2447,l,1.09349,0.222843,6.0,2,277,18,4,0.222843,3.9,3.56,2.05
EPL 2018_229_88_2018-08-25 14:30:00,2018-08-25 14:30:00,True,229,Wolverhampton Wanderers,d,88,Manchester City,1.26376,11.0,1,366,16,2,0.9238,d,1.26376,1.84293,18.0,1,123,18,10,1.84293,12.1,6.52,1.27
EPL 2018_229_81_2018-09-01 14:00:00,2018-09-01 14:00:00,False,229,Wolverhampton Wanderers,w,81,West Ham,1.22301,15.0,1,269,26,4,1.6671,w,1.22301,0.888887,13.0,0,301,21,7,0.888887,2.91,3.44,2.58
EPL 2018_229_92_2018-09-16 12:30:00,2018-09-16 12:30:00,True,229,Wolverhampton Wanderers,w,92,Burnley,3.3916,30.0,1,226,13,11,2.9261,w,3.3916,0.208994,7.0,0,287,16,3,0.208994,1.74,3.65,5.82
EPL 2018_229_89_2018-09-22 14:00:00,2018-09-22 14:00:00,False,229,Wolverhampton Wanderers,d,89,Manchester United,1.1185,11.0,1,393,22,7,1.8389,d,1.1185,0.62283,15.0,1,199,12,12,0.62283,6.52,4.19,1.59
EPL 2018_229_74_2018-09-29 14:00:00,2018-09-29 14:00:00,True,229,Wolverhampton Wanderers,w,74,Southampton,1.42507,14.0,2,263,25,5,1.9777,w,1.42507,0.679627,17.0,0,257,21,9,0.679627,1.85,3.56,5.04
EPL 2018_229_78_2018-10-06 14:00:00,2018-10-06 14:00:00,False,229,Wolverhampton Wanderers,w,78,Crystal Palace,0.755654,7.0,1,386,21,4,1.0147,w,0.755654,1.03714,11.0,0,148,25,6,1.03714,2.65,3.21,2.99
EPL 2018_229_90_2018-10-20 14:00:00,2018-10-20 14:00:00,True,229,Wolverhampton Wanderers,l,90,Watford,0.47391,10.0,0,306,30,8,0.7612,l,0.47391,1.0684,9.0,2,232,17,4,1.0684,1.76,3.68,5.47
EPL 2018_220_229_2018-10-27 14:00:00,2018-10-27 14:00:00,False,229,Wolverhampton Wanderers,l,220,Brighton,1.38027,25.0,0,199,36,4,1.6218,l,1.38027,1.01337,2.0,1,253,16,6,1.01337,2.5,3.19,3.27
EPL 2018_229_82_2018-11-03 19:45:00,2018-11-03 19:45:00,True,229,Wolverhampton Wanderers,l,82,Tottenham,2.40643,16.0,2,306,30,4,1.9914,l,0.884092,1.63123,10.0,3,256,18,4,1.63123,3.13,3.36,2.49
EPL 2018_229_83_2018-11-11 16:30:00,2018-11-11 16:30:00,False,229,Wolverhampton Wanderers,d,83,Arsenal,1.86549,12.0,1,418,20,8,2.111,d,1.86549,0.965843,10.0,1,141,23,11,0.965843,5.41,4.14,1.68
EPL 2018_219_229_2018-11-25 16:00:00,2018-11-25 16:00:00,True,229,Wolverhampton Wanderers,l,219,Huddersfield,0.701036,12.0,0,302,20,5,1.3573,l,0.701036,0.627281,14.0,2,241,29,5,0.627281,1.51,4.16,8.2
EPL 2018_227_229_2018-11-30 20:00:00,2018-11-30 20:00:00,False,229,Wolverhampton Wanderers,l,227,Cardiff,0.987623,15.0,1,125,22,7,1.2259,l,0.987623,1.09264,17.0,2,164,18,5,1.09264,2.22,3.32,3.76
EPL 2018_229_80_2018-12-05 19:45:00,2018-12-05 19:45:00,True,229,Wolverhampton Wanderers,w,80,Chelsea,0.682893,6.0,2,408,34,3,0.9697,w,0.682893,1.10702,17.0,1,157,22,5,1.10702,4.85,3.82,1.81
EPL 2018_229_86_2018-12-09 16:00:00,2018-12-09 16:00:00,False,229,Wolverhampton Wanderers,w,86,Newcastle United,1.57799,13.0,2,264,15,3,2.3451,w,1.57799,0.4601,12.0,1,252,14,5,0.4601,2.7,3.16,3.01
EPL 2018_229_73_2018-12-15 15:00:00,2018-12-15 15:00:00,True,229,Wolverhampton Wanderers,w,73,Bournemouth,2.02223,9.0,2,396,26,3,2.563,w,2.02223,0.52685,13.0,0,220,11,4,0.52685,2.02,3.48,4.2
EPL 2018_229_87_2018-12-21 20:00:00,2018-12-21 20:00:00,True,229,Wolverhampton Wanderers,l,87,Liverpool,0.763821,11.0,0,368,26,3,0.4553,l,0.763821,2.16356,15.0,2,229,15,10,2.16356,6.85,4.04,1.59
EPL 2018_228_229_2018-12-26 12:30:00,2018-12-26 12:30:00,False,229,Wolverhampton Wanderers,d,228,Fulham,1.35896,14.0,1,150,19,2,1.4451999999999998,d,1.35896,1.2769,11.0,1,432,20,4,1.2769,2.45,3.3,3.25
EPL 2018_229_82_2018-12-29 15:00:00,2018-12-29 15:00:00,False,229,Wolverhampton Wanderers,w,82,Tottenham,1.20867,11.0,3,417,10,5,2.2504,w,1.20867,0.277704,10.0,1,236,26,3,0.277704,9.98,5.12,1.37
