match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
EPL 2019_71_82_2019-08-10 17:30:00,2019-08-10 17:30:00,False,71,Aston Villa,l,82,Tottenham,0.639599,7.0,1,255,19,2,0.2794,l,0.639599,2.57262,31.0,3,147,28,15,2.57262,10.96,5.84,1.3
EPL 2019_71_73_2019-08-17 15:00:00,2019-08-17 15:00:00,True,71,Aston Villa,l,73,Bournemouth,1.65069,22.0,1,117,9,12,1.3698,l,1.65069,1.62777,12.0,2,268,25,9,0.866605,2.32,3.56,3.17
EPL 2019_71_72_2019-08-23 20:00:00,2019-08-23 20:00:00,True,71,Aston Villa,w,72,Everton,0.855926,7.0,2,265,20,6,0.9697,w,0.855926,1.25668,12.0,0,146,27,12,1.25668,3.22,3.54,2.31
EPL 2019_71_78_2019-08-31 15:00:00,2019-08-31 15:00:00,False,71,Aston Villa,l,78,Crystal Palace,0.30354,10.0,0,226,25,5,0.4799,l,0.30354,1.41394,22.0,1,216,24,13,1.41394,3.5,3.44,2.22
EPL 2019_71_81_2019-09-16 19:00:00,2019-09-16 19:00:00,True,71,Aston Villa,d,81,West Ham,1.40502,10.0,0,213,22,4,2.1615,d,1.40502,0.535279,13.0,0,222,22,9,0.535279,2.65,3.6,2.69
EPL 2019_71_83_2019-09-22 15:30:00,2019-09-22 15:30:00,False,71,Aston Villa,l,83,Arsenal,1.71546,14.0,2,242,22,8,0.8444,l,1.71546,2.53209,21.0,3,182,20,12,1.77093,8.01,4.86,1.43
EPL 2019_71_92_2019-09-28 14:00:00,2019-09-28 14:00:00,True,71,Aston Villa,d,92,Burnley,0.914266,16.0,2,121,20,3,0.7663,d,0.914266,1.66919,10.0,2,199,22,2,1.66919,2.39,3.45,3.15
EPL 2019_71_79_2019-10-05 15:00:00,2019-10-05 15:00:00,False,71,Aston Villa,w,79,Norwich,3.67827,22.0,5,220,25,9,2.472,w,2.76412,1.84838,21.0,1,145,24,13,1.84838,2.91,3.61,2.46
EPL 2019_220_71_2019-10-19 15:00:00,2019-10-19 15:00:00,True,71,Aston Villa,w,220,Brighton,2.96692,24.0,2,271,18,7,2.4098,w,2.96692,1.32184,20.0,1,200,21,10,1.32184,2.39,3.51,3.09
EPL 2019_71_88_2019-10-26 12:30:00,2019-10-26 12:30:00,False,71,Aston Villa,l,88,Manchester City,0.980145,11.0,0,267,10,3,0.2449,l,0.980145,3.19004,25.0,3,194,24,18,3.19004,29.54,12.5,1.09
EPL 2019_71_87_2019-11-02 15:00:00,2019-11-02 15:00:00,True,71,Aston Villa,l,87,Liverpool,0.741615,5.0,1,293,14,2,0.3756,l,0.741615,2.38824,25.0,2,88,20,16,2.38824,8.36,5.63,1.36
EPL 2019_229_71_2019-11-10 14:00:00,2019-11-10 14:00:00,False,71,Aston Villa,l,229,Wolverhampton Wanderers,0.473225,13.0,1,189,30,0,0.3161,l,0.473225,2.09891,17.0,2,211,32,8,2.09891,4.38,3.7,1.89
EPL 2019_71_86_2019-11-25 20:00:00,2019-11-25 20:00:00,True,71,Aston Villa,w,86,Newcastle United,2.6985,17.0,2,154,21,14,2.6628,w,2.6985,0.69784,11.0,0,264,15,3,0.69784,2.14,3.54,3.6
EPL 2019_71_89_2019-12-01 16:30:00,2019-12-01 16:30:00,False,71,Aston Villa,d,89,Manchester United,1.29701,9.0,2,276,23,3,0.9372,d,1.29701,1.84804,16.0,2,153,23,13,1.84804,7.72,4.44,1.48
EPL 2019_71_80_2019-12-04 19:30:00,2019-12-04 19:30:00,False,71,Aston Villa,l,80,Chelsea,0.86086,9.0,1,389,28,2,0.6134,l,0.86086,1.9774,25.0,2,181,26,14,1.9774,10.36,5.94,1.31
EPL 2019_71_75_2019-12-08 14:00:00,2019-12-08 14:00:00,True,71,Aston Villa,l,75,Leicester,1.24141,15.0,1,234,27,12,0.1341,l,1.24141,4.03286,23.0,4,116,27,17,4.03286,4.38,3.92,1.84
EPL 2019_238_71_2019-12-14 15:00:00,2019-12-14 15:00:00,False,71,Aston Villa,l,238,Sheffield United,0.97258,8.0,0,217,20,1,0.591,l,0.211411,1.888,7.0,2,192,24,13,1.888,4.3,3.83,1.88
EPL 2019_71_74_2019-12-21 15:00:00,2019-12-21 15:00:00,True,71,Aston Villa,l,74,Southampton,0.921054,19.0,1,167,16,6,0.3435,l,0.921054,2.63444,17.0,3,216,18,5,2.63444,2.5,3.52,2.9
EPL 2019_71_79_2019-12-26 15:00:00,2019-12-26 15:00:00,True,71,Aston Villa,w,79,Norwich,0.654194,11.0,1,265,23,4,0.7351000000000001,w,0.654194,1.45005,16.0,0,166,18,3,1.45005,2.14,3.84,3.31
EPL 2019_71_90_2019-12-28 15:00:00,2019-12-28 15:00:00,False,71,Aston Villa,l,90,Watford,0.610997,11.0,0,208,13,6,0.1056,l,0.610997,3.25314,20.0,3,219,25,8,2.49197,3.66,3.8,2.03
EPL 2019_71_92_2020-01-01 12:30:00,2020-01-01 12:30:00,False,71,Aston Villa,w,92,Burnley,1.74824,11.0,2,265,10,5,0.9398,w,1.74824,2.34418,20.0,1,143,18,9,2.34418,4.42,3.88,1.83
EPL 2019_71_88_2020-01-12 16:30:00,2020-01-12 16:30:00,True,71,Aston Villa,l,88,Manchester City,1.12565,7.0,1,549,16,1,0.1611,l,0.364481,3.75131,22.0,6,229,30,20,3.75131,14.54,8.51,1.18
EPL 2019_220_71_2020-01-18 15:00:00,2020-01-18 15:00:00,False,71,Aston Villa,d,220,Brighton,1.02045,8.0,1,291,27,4,1.0922,d,1.02045,1.30028,10.0,1,210,29,7,1.30028,4.99,4.43,1.65
EPL 2019_71_90_2020-01-21 19:30:00,2020-01-21 19:30:00,True,71,Aston Villa,w,90,Watford,1.06739,16.0,2,142,23,6,0.7277,w,1.06739,1.81101,8.0,1,306,33,1,1.81101,2.87,3.47,2.54
EPL 2019_71_73_2020-02-01 15:00:00,2020-02-01 15:00:00,False,71,Aston Villa,l,73,Bournemouth,1.40955,18.0,1,107,14,7,0.5550999999999999,l,1.40955,2.72236,16.0,2,220,22,8,2.72236,3.43,3.6,2.17
EPL 2019_71_82_2020-02-16 14:00:00,2020-02-16 14:00:00,True,71,Aston Villa,l,82,Tottenham,1.71313,18.0,2,199,21,8,0.3377,l,1.71313,3.86024,23.0,3,253,29,9,2.95505,4.11,3.8,1.92
EPL 2019_71_74_2020-02-22 15:00:00,2020-02-22 15:00:00,False,71,Aston Villa,l,74,Southampton,0.47235,4.0,0,148,25,4,0.1382,l,0.47235,3.02926,28.0,2,232,31,7,3.02926,5.19,4.34,1.65
EPL 2019_71_75_2020-03-09 20:00:00,2020-03-09 20:00:00,False,71,Aston Villa,l,75,Leicester,0.672448,4.0,0,304,23,2,0.2673,l,0.672448,2.41239,15.0,4,156,29,8,1.65122,8.54,5.15,1.39
EPL 2019_238_71_2020-06-17 17:00:00,2020-06-17 17:00:00,True,71,Aston Villa,d,238,Sheffield United,1.00877,14.0,0,227,14,5,2.0802,d,1.00877,0.235909,5.0,0,214,27,2,0.235909,3.48,3.37,2.28
EPL 2019_71_80_2020-06-21 15:15:00,2020-06-21 15:15:00,True,71,Aston Villa,l,80,Chelsea,1.57223,8.0,1,336,15,0,1.7817,l,1.57223,1.14011,19.0,2,98,16,10,1.14011,6.23,4.72,1.53
EPL 2019_71_86_2020-06-24 17:00:00,2020-06-24 17:00:00,False,71,Aston Villa,d,86,Newcastle United,1.22985,14.0,1,228,23,8,1.868,d,1.22985,0.661808,13.0,1,161,17,3,0.661808,3.22,3.39,2.35
EPL 2019_229_71_2020-06-27 11:30:00,2020-06-27 11:30:00,True,71,Aston Villa,l,229,Wolverhampton Wanderers,0.403418,11.0,0,201,23,3,0.9678,l,0.403418,0.703549,9.0,1,235,14,5,0.703549,4.98,3.81,1.76
