match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
EPL 2019_74_92_2019-08-10 15:00:00,2019-08-10 15:00:00,False,74,Southampton,l,92,Burnley,1.08752,11.0,0,143,26,9,1.5136,l,1.08752,0.909241,10.0,3,167,18,0,0.909241,2.81,3.31,2.71
EPL 2019_74_87_2019-08-17 15:00:00,2019-08-17 15:00:00,True,74,Southampton,l,87,Liverpool,2.14047,14.0,1,288,24,1,1.8259,l,2.14047,1.52022,15.0,2,132,14,6,1.52022,7.04,4.72,1.48
EPL 2019_220_74_2019-08-24 15:00:00,2019-08-24 15:00:00,False,74,Southampton,w,220,Brighton,2.07795,12.0,2,215,20,6,2.2194000000000003,w,2.07795,0.997711,12.0,0,211,23,6,0.997711,3.18,3.28,2.45
EPL 2019_74_89_2019-08-31 12:30:00,2019-08-31 12:30:00,True,74,Southampton,d,89,Manchester United,0.769616,10.0,1,260,39,6,0.5769,d,0.769616,1.90356,21.0,1,190,14,13,1.90356,3.83,3.41,2.12
EPL 2019_238_74_2019-09-14 14:00:00,2019-09-14 14:00:00,False,74,Southampton,w,238,Sheffield United,1.57659,11.0,1,218,17,7,1.1662,w,1.57659,1.88034,17.0,0,263,21,8,1.88034,3.12,3.35,2.45
EPL 2019_73_74_2019-09-20 19:00:00,2019-09-20 19:00:00,True,74,Southampton,l,73,Bournemouth,2.18021,25.0,1,143,35,6,2.0278,l,1.41904,1.29773,6.0,3,287,16,2,1.29773,2.12,3.65,3.55
EPL 2019_74_82_2019-09-28 14:00:00,2019-09-28 14:00:00,False,74,Southampton,l,82,Tottenham,1.16256,14.0,1,209,37,8,1.3081999999999998,l,1.16256,1.19008,9.0,2,254,8,7,1.19008,8.18,4.69,1.44
EPL 2019_74_80_2019-10-06 14:00:00,2019-10-06 14:00:00,True,74,Southampton,l,80,Chelsea,1.27044,10.0,1,283,26,5,0.7488,l,1.27044,2.15201,13.0,4,211,19,10,2.15201,4.09,3.97,1.88
EPL 2019_229_74_2019-10-19 15:00:00,2019-10-19 15:00:00,False,74,Southampton,d,229,Wolverhampton Wanderers,1.37695,14.0,1,289,24,5,1.7256,d,1.37695,0.887495,4.0,1,220,15,3,0.126326,4.61,3.61,1.88
EPL 2019_74_75_2019-10-25 20:00:00,2019-10-25 20:00:00,True,74,Southampton,l,75,Leicester,0.457334,6.0,0,358,21,1,0.0228,l,0.457334,4.38046,25.0,9,118,37,9,3.6193,3.25,3.34,2.38
