match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
EPL 2020_229_238_2020-09-14 17:00:00,2020-09-14 17:00:00,True,238,Sheffield United,l,229,Wolverhampton Wanderers,0.949316,9.0,0,247,30,10,0.7955000000000001,l,0.949316,1.61307,11.0,2,188,6,3,1.61307,3.41,3.03,2.46
EPL 2020_238_71_2020-09-21 17:00:00,2020-09-21 17:00:00,False,238,Sheffield United,l,71,Aston Villa,0.849709,4.0,0,247,14,2,1.4646,l,0.0885404,0.80527,18.0,1,89,20,17,0.80527,2.78,3.22,2.77
EPL 2020_238_245_2020-09-27 11:00:00,2020-09-27 11:00:00,True,238,Sheffield United,l,245,Leeds,1.53278,14.0,0,335,29,11,1.4471999999999998,l,1.53278,1.46641,17.0,1,152,17,2,1.46641,2.83,3.5,2.63
EPL 2020_238_83_2020-10-04 13:00:00,2020-10-04 13:00:00,False,238,Sheffield United,l,83,Arsenal,0.144994,6.0,1,445,23,3,0.658,l,0.144994,0.667131,6.0,2,167,12,4,0.667131,6.73,4.17,1.56
EPL 2020_228_238_2020-10-18 11:00:00,2020-10-18 11:00:00,True,238,Sheffield United,d,228,Fulham,1.66363,10.0,1,349,23,1,1.6344,d,0.902464,1.35611,15.0,1,216,17,1,0.594945,2.15,3.4,3.84
EPL 2020_238_87_2020-10-24 19:00:00,2020-10-24 19:00:00,False,238,Sheffield United,l,87,Liverpool,1.39788,13.0,1,393,20,8,0.6184,l,0.636707,2.40286,17.0,2,170,12,7,2.40286,12.96,6.66,1.25
EPL 2020_238_88_2020-10-31 12:30:00,2020-10-31 12:30:00,True,238,Sheffield United,l,88,Manchester City,0.687544,5.0,0,449,24,3,0.4224,l,0.687544,1.89643,16.0,1,188,12,9,1.89643,9.8,5.91,1.33
EPL 2020_238_80_2020-11-07 17:30:00,2020-11-07 17:30:00,False,238,Sheffield United,l,80,Chelsea,0.743967,6.0,1,470,16,5,0.1844,l,0.743967,2.87622,20.0,4,145,10,14,2.87622,8.48,5.06,1.41
EPL 2020_238_81_2020-11-22 14:00:00,2020-11-22 14:00:00,True,238,Sheffield United,l,81,West Ham,0.692374,9.0,0,232,16,7,0.3999,l,0.692374,2.1142,15.0,1,254,17,10,2.1142,3.2,3.3,2.48
EPL 2020_238_76_2020-11-28 20:00:00,2020-11-28 20:00:00,False,238,Sheffield United,l,76,West Bromwich Albion,3.36544,21.0,0,198,15,11,2.3808,l,3.36544,1.71644,17.0,1,182,19,6,1.71644,2.99,3.22,2.66
EPL 2020_238_75_2020-12-06 14:15:00,2020-12-06 14:15:00,True,238,Sheffield United,l,75,Leicester,0.290743,4.0,1,366,21,3,0.4251,l,0.290743,1.3904,13.0,2,111,20,5,1.3904,4.02,3.54,2.04
EPL 2020_238_74_2020-12-13 12:00:00,2020-12-13 12:00:00,False,238,Sheffield United,l,74,Southampton,0.219115,3.0,0,370,28,1,0.1313,l,0.219115,2.27973,16.0,3,94,18,7,2.27973,5.07,4.01,1.73
EPL 2020_238_89_2020-12-17 20:00:00,2020-12-17 20:00:00,True,238,Sheffield United,l,89,Manchester United,1.23525,12.0,2,312,29,10,0.9158,l,1.23525,1.78667,14.0,3,146,14,6,1.78667,7.35,4.78,1.47
EPL 2020_220_238_2020-12-20 12:00:00,2020-12-20 12:00:00,False,238,Sheffield United,d,220,Brighton,1.03713,5.0,1,266,11,4,0.2956,d,1.03713,2.90097,21.0,1,76,10,14,2.90097,5.79,3.85,1.69
EPL 2020_238_72_2020-12-26 20:00:00,2020-12-26 20:00:00,True,238,Sheffield United,l,72,Everton,1.25106,10.0,0,323,30,3,2.0613,l,1.25106,0.568803,7.0,1,201,18,8,0.568803,4.26,3.66,1.94
EPL 2020_238_92_2020-12-29 18:00:00,2020-12-29 18:00:00,False,238,Sheffield United,l,92,Burnley,0.492578,7.0,0,156,19,3,0.8198000000000001,l,0.492578,0.973831,5.0,1,248,20,7,0.973831,3.31,3.2,2.45
EPL 2020_238_78_2021-01-02 15:00:00,2021-01-02 15:00:00,False,238,Sheffield United,l,78,Crystal Palace,0.323158,7.0,0,187,28,7,0.9681,l,0.323158,0.598888,9.0,2,301,24,5,0.598888,3.84,3.45,2.02
EPL 2020_238_86_2021-01-12 18:00:00,2021-01-12 18:00:00,True,238,Sheffield United,w,86,Newcastle United,2.01315,17.0,1,136,17,12,2.108,w,1.25198,1.04745,7.0,0,240,10,2,1.04745,2.53,3.18,3.2
EPL 2020_238_82_2021-01-17 14:00:00,2021-01-17 14:00:00,True,238,Sheffield United,l,82,Tottenham,0.978133,15.0,1,359,28,5,1.0902999999999998,l,0.978133,1.28385,14.0,3,187,18,8,1.28385,6.1,3.73,1.68
EPL 2020_238_89_2021-01-27 20:15:00,2021-01-27 20:15:00,False,238,Sheffield United,w,89,Manchester United,0.689548,5.0,2,445,26,3,1.0848,w,0.689548,0.9931,16.0,1,108,19,11,0.9931,11.4,6.21,1.29
EPL 2020_238_88_2021-01-30 15:00:00,2021-01-30 15:00:00,False,238,Sheffield United,l,88,Manchester City,0.154537,4.0,0,425,12,6,0.2001,l,0.154537,1.53116,10.0,1,154,15,6,1.53116,26.18,9.43,1.13
EPL 2020_238_76_2021-02-02 18:00:00,2021-02-02 18:00:00,True,238,Sheffield United,w,76,West Bromwich Albion,1.35804,14.0,2,115,23,12,1.0617,w,1.35804,1.61871,8.0,1,303,17,2,1.61871,2.11,3.33,4.03
EPL 2020_238_80_2021-02-07 19:15:00,2021-02-07 19:15:00,True,238,Sheffield United,l,80,Chelsea,0.623045,8.0,1,453,23,4,0.4956,l,0.623045,1.64144,9.0,2,149,14,9,0.880268,7.64,4.46,1.49
EPL 2020_238_81_2021-02-15 18:00:00,2021-02-15 18:00:00,False,238,Sheffield United,l,81,West Ham,0.926652,8.0,0,246,17,9,0.4209,l,0.926652,2.32735,13.0,3,246,14,2,1.56618,5.26,3.82,1.75
EPL 2020_228_238_2021-02-20 20:00:00,2021-02-20 20:00:00,False,238,Sheffield United,l,228,Fulham,0.977747,4.0,0,329,32,2,1.1636,l,0.977747,1.21006,15.0,1,143,15,7,1.21006,3.77,3.24,2.23
EPL 2020_238_87_2021-02-28 19:15:00,2021-02-28 19:15:00,True,238,Sheffield United,l,87,Liverpool,0.777149,8.0,0,358,19,3,0.2464,l,0.777149,2.80551,16.0,2,192,15,6,2.80551,7.95,5.19,1.41
EPL 2020_238_71_2021-03-03 18:00:00,2021-03-03 18:00:00,True,238,Sheffield United,w,71,Aston Villa,0.716254,9.0,1,336,23,5,0.754,w,0.716254,1.44176,16.0,0,129,9,16,1.44176,3.77,3.58,2.09
EPL 2020_238_74_2021-03-06 15:00:00,2021-03-06 15:00:00,True,238,Sheffield United,l,74,Southampton,0.908155,8.0,0,226,29,5,0.3894999999999999,l,0.908155,2.37386,15.0,2,174,24,5,1.6127,3.77,3.43,2.14
EPL 2020_238_75_2021-03-14 14:00:00,2021-03-14 14:00:00,False,238,Sheffield United,l,75,Leicester,0.0934777,1.0,0,495,22,2,0.0037,l,0.0934777,4.54571,19.0,5,159,26,12,4.54571,6.87,4.16,1.56
EPL 2020_238_245_2021-04-03 14:00:00,2021-04-03 14:00:00,False,238,Sheffield United,l,245,Leeds,0.867652,9.0,1,248,27,4,0.3387,l,0.867652,2.50597,23.0,2,215,19,9,2.50597,6.51,4.56,1.53
EPL 2020_238_83_2021-04-11 18:00:00,2021-04-11 18:00:00,True,238,Sheffield United,l,83,Arsenal,0.315121,7.0,0,373,17,3,0.2303,l,0.315121,1.93838,14.0,3,298,13,10,1.93838,6.16,4.03,1.63
EPL 2020_229_238_2021-04-17 19:15:00,2021-04-17 19:15:00,False,238,Sheffield United,l,229,Wolverhampton Wanderers,0.295925,8.0,0,299,29,5,0.4512,l,0.295925,1.22604,10.0,1,258,7,3,1.22604,5.99,3.6,1.72
EPL 2020_220_238_2021-04-24 19:00:00,2021-04-24 19:00:00,True,238,Sheffield United,w,220,Brighton,0.786324,7.0,1,382,31,4,0.4014999999999999,w,0.786324,2.06038,17.0,0,123,20,10,2.06038,5.54,3.67,1.75
EPL 2020_238_82_2021-05-02 18:15:00,2021-05-02 18:15:00,False,238,Sheffield United,l,82,Tottenham,0.469026,8.0,0,494,16,6,0.2545,l,0.469026,2.26016,20.0,4,177,23,7,2.26016,11.87,6.11,1.29
EPL 2020_238_78_2021-05-08 14:00:00,2021-05-08 14:00:00,True,238,Sheffield United,l,78,Crystal Palace,0.639325,7.0,0,219,29,2,0.3695,l,0.639325,2.25382,21.0,2,270,18,10,2.25382,3.02,3.32,2.53
EPL 2020_238_72_2021-05-16 18:00:00,2021-05-16 18:00:00,False,238,Sheffield United,w,72,Everton,1.391,10.0,1,404,28,5,1.4683,w,1.391,1.24609,16.0,0,193,20,12,1.24609,8.69,4.9,1.4
EPL 2020_238_86_2021-05-19 17:00:00,2021-05-19 17:00:00,False,238,Sheffield United,l,86,Newcastle United,0.882242,11.0,0,316,17,5,0.6508,l,0.882242,1.82508,16.0,1,192,10,3,1.82508,4.82,3.87,1.75
EPL 2020_238_92_2021-05-23 15:00:00,2021-05-23 15:00:00,True,238,Sheffield United,w,92,Burnley,0.420006,12.0,1,225,26,4,1.1129,w,0.420006,0.558508,10.0,0,159,17,10,0.558508,2.87,3.74,2.43
