match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
EPL 2021_72_74_2021-08-14 14:00:00,2021-08-14 14:00:00,True,72,Everton,w,74,Southampton,2.38863,14.0,3,158,23,4,2.6311,w,2.38863,0.580601,6.0,1,151,27,6,0.580601,2.01,3.56,4.1
EPL 2021_245_72_2021-08-21 14:00:00,2021-08-21 14:00:00,False,72,Everton,d,245,Leeds,1.85713,17.0,2,374,22,6,2.1241000000000003,d,1.09596,0.966093,17.0,2,114,21,4,0.966093,3.14,3.51,2.39
EPL 2021_220_72_2021-08-28 14:00:00,2021-08-28 14:00:00,False,72,Everton,w,220,Brighton,1.54868,14.0,2,385,27,3,2.1093,w,0.787544,0.701622,14.0,0,140,20,9,0.701622,3.37,3.29,2.37
EPL 2021_72_92_2021-09-13 19:00:00,2021-09-13 19:00:00,True,72,Everton,w,92,Burnley,1.80386,14.0,3,191,16,7,1.3254,w,1.80386,1.82061,11.0,1,217,20,4,1.82061,1.74,3.83,5.35
EPL 2021_71_72_2021-09-18 16:30:00,2021-09-18 16:30:00,False,72,Everton,l,71,Aston Villa,0.755035,11.0,0,202,17,2,1.2992,l,0.755035,0.777716,15.0,3,148,18,5,0.777716,3.15,3.44,2.42
EPL 2021_72_79_2021-09-25 14:00:00,2021-09-25 14:00:00,True,72,Everton,w,79,Norwich,2.26681,11.0,2,297,28,6,2.5462,w,1.50564,0.800903,10.0,0,210,15,4,0.800903,1.65,3.91,6.09
EPL 2021_72_89_2021-10-02 11:30:00,2021-10-02 11:30:00,False,72,Everton,d,89,Manchester United,1.32211,12.0,1,317,16,2,1.5787,d,1.32211,1.0496,13.0,1,122,15,12,1.0496,7.59,4.37,1.51
EPL 2021_72_81_2021-10-17 13:00:00,2021-10-17 13:00:00,True,72,Everton,l,81,West Ham,0.854165,15.0,0,313,17,8,0.5223,l,0.854165,2.03034,16.0,1,147,13,9,2.03034,2.57,3.37,2.98
EPL 2021_72_90_2021-10-23 14:00:00,2021-10-23 14:00:00,True,72,Everton,l,90,Watford,1.84089,15.0,2,203,19,12,0.603,l,1.84089,3.10344,20.0,5,188,14,6,3.10344,1.68,3.88,5.79
EPL 2021_229_72_2021-11-01 20:00:00,2021-11-01 20:00:00,False,72,Everton,l,229,Wolverhampton Wanderers,1.69767,14.0,1,377,28,7,1.3843,l,1.69767,1.69344,10.0,2,187,22,6,1.69344,3.47,3.4,2.27
EPL 2021_72_82_2021-11-07 14:00:00,2021-11-07 14:00:00,True,72,Everton,d,82,Tottenham,0.597906,12.0,0,323,31,9,1.0875,d,0.597906,0.801798,8.0,0,217,24,3,0.801798,3.15,3.34,2.46
EPL 2021_72_88_2021-11-21 14:00:00,2021-11-21 14:00:00,False,72,Everton,l,88,Manchester City,0.266894,4.0,0,464,8,3,0.1081,l,0.266894,2.61302,17.0,3,123,18,14,2.61302,17.04,7.71,1.19
EPL 2021_244_72_2021-11-28 14:00:00,2021-11-28 14:00:00,False,72,Everton,l,244,Brentford,0.968075,14.0,0,202,29,9,1.0775,l,0.968075,1.19813,6.0,1,251,19,3,0.436957,3.51,3.33,2.29
EPL 2021_72_87_2021-12-01 20:15:00,2021-12-01 20:15:00,True,72,Everton,l,87,Liverpool,0.512263,8.0,1,344,22,1,0.1388,l,0.512263,2.86067,16.0,4,116,26,10,2.86067,7.67,5.17,1.43
EPL 2021_72_83_2021-12-06 20:00:00,2021-12-06 20:00:00,True,72,Everton,w,83,Arsenal,1.06108,11.0,2,355,23,5,1.3362999999999998,w,1.06108,1.05723,10.0,1,162,18,8,1.05723,3.45,3.65,2.18
EPL 2021_72_78_2021-12-12 16:30:00,2021-12-12 16:30:00,False,72,Everton,l,78,Crystal Palace,1.27556,12.0,1,298,31,5,0.7711,l,1.27556,2.09864,17.0,3,130,16,8,2.09864,3.63,3.22,2.3
EPL 2021_72_80_2021-12-16 19:45:00,2021-12-16 19:45:00,False,72,Everton,d,80,Chelsea,0.627528,5.0,1,429,17,0,0.1248,d,0.627528,3.20239,23.0,1,76,15,14,3.20239,14.4,6.36,1.24
EPL 2021_220_72_2022-01-02 14:00:00,2022-01-02 14:00:00,True,72,Everton,l,220,Brighton,1.82698,17.0,2,215,19,5,1.6211,l,1.06581,1.48397,12.0,3,186,23,8,1.48397,2.87,3.08,2.78
EPL 2021_72_79_2022-01-15 15:00:00,2022-01-15 15:00:00,False,72,Everton,l,79,Norwich,0.541027,12.0,1,139,26,7,0.8229,l,0.541027,1.00153,14.0,2,242,20,4,1.00153,2.06,3.54,3.77
EPL 2021_71_72_2022-01-22 12:30:00,2022-01-22 12:30:00,True,72,Everton,l,71,Aston Villa,1.2384,15.0,0,192,29,1,1.6768,l,1.2384,0.860245,8.0,1,156,32,5,0.860245,2.82,3.25,2.7
EPL 2021_72_86_2022-02-08 19:45:00,2022-02-08 19:45:00,False,72,Everton,l,86,Newcastle United,0.823607,11.0,1,133,25,1,0.2541,l,0.823607,2.68732,20.0,3,271,39,3,2.68732,2.94,3.42,2.57
EPL 2021_245_72_2022-02-12 15:00:00,2022-02-12 15:00:00,True,72,Everton,w,245,Leeds,2.58561,21.0,3,301,27,10,2.8679,w,2.58561,0.242668,7.0,0,139,23,4,0.242668,2.37,3.58,3.12
EPL 2021_72_74_2022-02-19 15:00:00,2022-02-19 15:00:00,False,72,Everton,l,74,Southampton,0.19991,9.0,0,267,27,8,0.0673,l,0.19991,2.72851,19.0,2,153,26,9,2.72851,3.71,3.61,2.1
EPL 2021_72_88_2022-02-26 17:30:00,2022-02-26 17:30:00,True,72,Everton,l,88,Manchester City,0.770819,6.0,0,355,22,6,0.4503,l,0.770819,1.93422,13.0,1,174,29,10,1.93422,10.59,6.17,1.29
EPL 2021_72_82_2022-03-07 20:00:00,2022-03-07 20:00:00,False,72,Everton,l,82,Tottenham,0.208263,6.0,0,450,21,2,0.0415,l,0.208263,3.24279,14.0,5,278,28,13,3.24279,5.97,4.27,1.61
EPL 2021_229_72_2022-03-13 14:00:00,2022-03-13 14:00:00,True,72,Everton,l,229,Wolverhampton Wanderers,0.397268,8.0,0,366,21,4,0.976,l,0.397268,0.712135,14.0,1,219,24,3,0.712135,2.37,3.2,3.48
EPL 2021_72_86_2022-03-17 19:45:00,2022-03-17 19:45:00,True,72,Everton,w,86,Newcastle United,0.708809,9.0,1,234,22,4,1.2871,w,0.708809,0.75803,17.0,0,122,17,10,0.75803,2.4,3.38,3.22
EPL 2021_72_81_2022-04-03 13:00:00,2022-04-03 13:00:00,False,72,Everton,l,81,West Ham,0.657846,13.0,1,323,13,9,0.6297,l,0.657846,1.49657,11.0,2,207,7,6,1.49657,4.77,3.84,1.81
EPL 2021_72_92_2022-04-06 18:30:00,2022-04-06 18:30:00,False,72,Everton,l,92,Burnley,2.31574,16.0,2,126,22,6,1.4121,l,0.793435,2.24439,13.0,3,84,22,12,2.24439,3.13,3.23,2.54
EPL 2021_72_89_2022-04-09 11:30:00,2022-04-09 11:30:00,True,72,Everton,w,89,Manchester United,0.357295,7.0,1,299,16,1,0.8654999999999999,w,0.357295,0.762357,12.0,0,144,24,15,0.762357,4.52,3.89,1.83
EPL 2021_72_75_2022-04-20 18:45:00,2022-04-20 18:45:00,True,72,Everton,d,75,Leicester,1.68819,13.0,1,362,23,6,2.1176000000000004,d,1.68819,0.786333,11.0,1,169,23,12,0.786333,2.32,3.52,3.26
EPL 2021_72_87_2022-04-24 15:30:00,2022-04-24 15:30:00,False,72,Everton,l,87,Liverpool,0.424961,9.0,0,379,13,2,0.3955999999999999,l,0.424961,1.70397,18.0,2,72,20,15,1.70397,18.0,7.75,1.18
EPL 2021_72_80_2022-05-01 13:00:00,2022-05-01 13:00:00,True,72,Everton,w,80,Chelsea,1.11712,9.0,1,377,22,5,1.2618,w,1.11712,1.21141,17.0,0,71,16,11,1.21141,4.98,3.77,1.79
EPL 2021_72_75_2022-05-08 13:00:00,2022-05-08 13:00:00,False,72,Everton,w,75,Leicester,1.55635,10.0,2,338,15,4,1.4396,w,1.55635,1.47479,16.0,1,136,18,10,1.47479,2.82,3.35,2.71
EPL 2021_72_90_2022-05-11 18:45:00,2022-05-11 18:45:00,False,72,Everton,d,90,Watford,0.812193,16.0,0,291,28,6,1.8954,d,0.812193,0.232236,6.0,0,261,14,3,0.232236,1.88,3.73,4.43
