match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
EPL 2021_245_89_2021-08-14 11:30:00,2021-08-14 11:30:00,True,89,Manchester United,w,245,Leeds,1.64248,16.0,5,277,22,8,2.2181,w,1.64248,0.568342,10.0,1,239,33,3,0.568342,1.56,4.57,5.96
EPL 2021_74_89_2021-08-22 13:00:00,2021-08-22 13:00:00,False,89,Manchester United,d,74,Southampton,2.26173,15.0,1,136,15,11,2.58,d,2.26173,0.587526,8.0,1,275,31,3,0.587526,1.64,4.41,5.32
EPL 2021_229_89_2021-08-29 15:30:00,2021-08-29 15:30:00,False,89,Manchester United,w,229,Wolverhampton Wanderers,0.944083,10.0,1,238,26,8,0.6585000000000001,w,0.944083,1.79575,15.0,0,345,14,6,1.79575,1.83,3.51,5.14
EPL 2021_86_89_2021-09-11 14:00:00,2021-09-11 14:00:00,True,89,Manchester United,w,86,Newcastle United,2.77326,21.0,4,206,24,11,2.7596,w,2.77326,0.622042,12.0,1,255,7,1,0.622042,1.19,7.56,16.42
EPL 2021_81_89_2021-09-19 13:00:00,2021-09-19 13:00:00,False,89,Manchester United,w,81,West Ham,1.8954,17.0,2,226,18,7,1.5157,w,1.8954,1.6671,13.0,1,336,20,7,0.905935,1.81,3.9,4.69
EPL 2021_71_89_2021-09-25 11:30:00,2021-09-25 11:30:00,True,89,Manchester United,l,71,Aston Villa,1.9251,28.0,0,113,18,5,1.6249,l,1.16393,1.57249,7.0,1,207,22,6,1.57249,1.41,5.12,8.13
EPL 2021_72_89_2021-10-02 11:30:00,2021-10-02 11:30:00,True,89,Manchester United,d,72,Everton,1.0496,13.0,1,122,15,12,1.123,d,1.0496,1.32211,12.0,1,317,16,2,1.32211,1.51,4.37,7.59
EPL 2021_75_89_2021-10-16 14:00:00,2021-10-16 14:00:00,False,89,Manchester United,l,75,Leicester,1.02494,18.0,2,321,26,4,0.2643,l,1.02494,2.96611,22.0,4,279,21,10,2.96611,2.13,3.68,3.56
EPL 2021_87_89_2021-10-24 15:30:00,2021-10-24 15:30:00,True,89,Manchester United,l,87,Liverpool,1.35584,12.0,0,425,7,7,0.1523,l,1.35584,4.04765,19.0,5,214,26,13,4.04765,3.15,3.73,2.29
EPL 2021_82_89_2021-10-30 16:30:00,2021-10-30 16:30:00,False,89,Manchester United,w,82,Tottenham,1.38612,10.0,3,298,29,9,1.5243,w,1.38612,1.15787,9.0,0,208,29,3,1.15787,2.38,3.66,3.04
EPL 2021_88_89_2021-11-06 12:30:00,2021-11-06 12:30:00,True,89,Manchester United,l,88,Manchester City,0.759561,5.0,0,399,17,0,0.4418999999999999,l,0.759561,2.04202,16.0,2,237,23,8,2.04202,4.84,4.16,1.74
EPL 2021_89_90_2021-11-20 15:00:00,2021-11-20 15:00:00,False,89,Manchester United,l,90,Watford,1.66794,9.0,1,122,5,9,0.7023,l,1.66794,2.73393,20.0,4,352,27,7,1.97277,1.53,4.69,6.25
