match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
EPL 2022_228_87_2022-08-06 11:30:00,2022-08-06 11:30:00,True,228,Fulham,d,87,Liverpool,1.26822,9.0,2,351,19,4,0.5808,d,0.507047,2.34111,11.0,2,114,18,11,2.34111,11.2,6.22,1.28
EPL 2022_228_229_2022-08-13 14:00:00,2022-08-13 14:00:00,False,228,Fulham,d,229,Wolverhampton Wanderers,1.08813,9.0,0,309,21,2,1.4798000000000002,d,0.326966,0.975375,7.0,0,176,15,1,0.975375,3.29,3.24,2.44
EPL 2022_228_244_2022-08-20 14:00:00,2022-08-20 14:00:00,True,228,Fulham,w,244,Brentford,2.89934,18.0,3,231,24,7,2.2969,w,2.89934,1.59352,13.0,2,145,13,8,1.59352,2.52,3.53,2.93
EPL 2022_228_83_2022-08-27 16:30:00,2022-08-27 16:30:00,False,228,Fulham,l,83,Arsenal,0.926007,11.0,1,327,22,1,0.3972,l,0.926007,2.47427,22.0,2,103,19,17,2.47427,9.75,5.83,1.33
EPL 2022_220_228_2022-08-30 18:30:00,2022-08-30 18:30:00,True,228,Fulham,w,220,Brighton,1.07093,10.0,2,310,22,7,0.7675,w,1.07093,1.75359,7.0,1,198,30,4,0.992416,3.26,3.44,2.36
EPL 2022_228_82_2022-09-03 14:00:00,2022-09-03 14:00:00,False,228,Fulham,l,82,Tottenham,0.381556,9.0,1,292,18,1,0.1251,l,0.381556,2.67823,23.0,2,229,19,16,2.67823,6.51,4.63,1.52
EPL 2022_228_249_2022-09-16 19:00:00,2022-09-16 19:00:00,False,228,Fulham,w,249,Nottingham Forest,1.3496,15.0,3,218,18,2,1.3054,w,1.3496,1.41541,11.0,2,306,19,2,1.41541,2.67,3.43,2.82
EPL 2022_228_86_2022-10-01 14:00:00,2022-10-01 14:00:00,True,228,Fulham,l,86,Newcastle United,0.683701,3.0,1,354,11,5,0.0083,l,0.683701,4.67198,19.0,4,147,18,17,4.67198,3.11,3.57,2.38
EPL 2022_228_81_2022-10-09 13:00:00,2022-10-09 13:00:00,False,228,Fulham,l,81,West Ham,0.549848,8.0,1,269,15,5,0.0618,l,0.549848,3.43676,17.0,3,277,9,7,2.67559,4.82,3.9,1.79
EPL 2022_228_73_2022-10-15 14:00:00,2022-10-15 14:00:00,True,228,Fulham,d,73,Bournemouth,1.61738,19.0,2,132,16,8,1.3505,d,0.856206,1.62829,10.0,2,299,20,4,1.62829,1.92,3.77,4.23
EPL 2022_228_71_2022-10-20 18:30:00,2022-10-20 18:30:00,True,228,Fulham,w,71,Aston Villa,2.892,18.0,3,169,15,8,2.7297,w,2.13083,0.711487,12.0,0,279,15,2,0.711487,2.94,3.47,2.54
EPL 2022_228_245_2022-10-23 13:00:00,2022-10-23 13:00:00,False,228,Fulham,w,245,Leeds,2.47512,11.0,3,279,19,3,1.7397,w,2.47512,1.96384,14.0,2,181,30,8,1.96384,3.75,3.69,2.06
