match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
EPL 2024_249_73_2024-08-17 14:00:00,2024-08-17 14:00:00,False,73,Bournemouth,d,249,Nottingham Forest,1.90915,13.0,1,219,22,4,1.8944000000000003,d,1.90915,1.24405,14.0,1,225,26,10,1.24405,2.97,3.42,2.47
EPL 2024_73_86_2024-08-25 13:00:00,2024-08-25 13:00:00,True,73,Bournemouth,d,86,Newcastle United,2.53513,16.0,1,276,30,8,1.8522,d,2.53513,1.89287,14.0,1,127,14,9,1.89287,3.05,3.73,2.28
EPL 2024_72_73_2024-08-31 14:00:00,2024-08-31 14:00:00,False,73,Bournemouth,w,72,Everton,2.95688,17.0,3,149,21,7,1.6599,w,2.95688,2.55629,18.0,2,191,23,15,2.55629,2.62,3.38,2.82
EPL 2024_73_80_2024-09-14 19:00:00,2024-09-14 19:00:00,True,73,Bournemouth,l,80,Chelsea,1.53731,19.0,0,338,30,5,1.8796,l,0.77614,0.932726,10.0,1,133,14,9,0.932726,3.32,3.97,2.06
EPL 2024_73_87_2024-09-21 14:00:00,2024-09-21 14:00:00,False,73,Bournemouth,l,87,Liverpool,1.46979,19.0,0,370,23,6,0.7964000000000001,l,1.46979,2.43731,19.0,3,237,20,13,2.43731,9.45,6.36,1.28
EPL 2024_73_74_2024-09-30 19:00:00,2024-09-30 19:00:00,True,73,Bournemouth,w,74,Southampton,1.44215,14.0,3,371,32,7,1.9961,w,1.44215,0.696068,9.0,1,188,16,7,0.696068,1.65,4.37,5.01
EPL 2024_73_75_2024-10-05 14:00:00,2024-10-05 14:00:00,False,73,Bournemouth,l,75,Leicester,1.94963,17.0,0,221,26,7,2.1873,l,1.94963,0.912063,6.0,1,201,15,2,0.912063,2.17,3.63,3.35
EPL 2024_73_83_2024-10-19 16:30:00,2024-10-19 16:30:00,True,73,Bournemouth,w,83,Arsenal,2.18419,13.0,2,247,21,7,2.4646,w,1.42302,0.740758,6.0,0,178,20,4,0.740758,5.01,4.13,1.68
EPL 2024_71_73_2024-10-26 14:00:00,2024-10-26 14:00:00,False,73,Bournemouth,d,71,Aston Villa,0.328651,11.0,1,229,26,6,0.267,d,0.328651,1.974,18.0,1,186,18,16,1.974,4.03,4.0,1.86
EPL 2024_73_88_2024-11-02 15:00:00,2024-11-02 15:00:00,True,73,Bournemouth,w,88,Manchester City,2.4493,12.0,2,301,20,6,1.4571,w,2.4493,2.3527,18.0,1,169,13,17,2.3527,5.29,4.48,1.6
EPL 2024_244_73_2024-11-09 15:00:00,2024-11-09 15:00:00,False,73,Bournemouth,l,244,Brentford,2.49234,15.0,2,202,23,6,2.0433,l,2.49234,1.56474,12.0,3,135,15,14,1.56474,2.73,3.56,2.59
EPL 2024_220_73_2024-11-23 15:00:00,2024-11-23 15:00:00,True,73,Bournemouth,l,220,Brighton,1.91157,19.0,1,230,31,11,1.8322,l,1.91157,1.23059,6.0,2,247,19,5,1.23059,2.42,3.62,2.91
EPL 2024_229_73_2024-11-30 15:00:00,2024-11-30 15:00:00,False,73,Bournemouth,w,229,Wolverhampton Wanderers,3.07901,12.0,4,290,27,4,2.7676,w,0.795501,0.866034,10.0,2,181,16,8,0.866034,2.46,3.6,2.86
EPL 2024_73_82_2024-12-05 20:15:00,2024-12-05 20:15:00,True,73,Bournemouth,w,82,Tottenham,3.27716,21.0,1,219,31,10,2.7977000000000003,w,3.27716,0.623934,12.0,0,97,27,11,0.623934,2.67,3.92,2.47
EPL 2024_285_73_2024-12-08 14:00:00,2024-12-08 14:00:00,False,73,Bournemouth,w,285,Ipswich,3.49127,22.0,2,164,32,12,2.5853,w,3.49127,1.5668,18.0,1,188,20,12,1.5668,2.01,3.76,3.68
