match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
EPL 2024_244_78_2024-08-18 13:00:00,2024-08-18 13:00:00,True,244,Brentford,w,78,Crystal Palace,1.38064,9.0,2,228,18,1,1.5885,w,1.38064,1.14757,14.0,1,224,29,4,1.14757,2.5,3.4,2.95
EPL 2024_244_87_2024-08-25 15:30:00,2024-08-25 15:30:00,False,244,Brentford,l,87,Liverpool,0.457239,8.0,0,324,10,2,0.1535,l,0.457239,2.71877,19.0,2,233,23,21,2.71877,10.11,7.05,1.25
EPL 2024_244_74_2024-08-31 14:00:00,2024-08-31 14:00:00,True,244,Brentford,w,74,Southampton,3.86281,20.0,3,306,21,15,2.6071,w,3.86281,1.64713,18.0,1,189,23,14,1.64713,1.79,3.9,4.51
EPL 2024_244_88_2024-09-14 14:00:00,2024-09-14 14:00:00,False,244,Brentford,l,88,Manchester City,1.05094,8.0,1,194,8,6,0.9993,l,1.05094,1.55279,18.0,2,311,19,22,1.55279,14.62,8.43,1.17
EPL 2024_244_82_2024-09-21 14:00:00,2024-09-21 14:00:00,False,244,Brentford,l,82,Tottenham,0.893565,6.0,1,173,19,5,0.0881,l,0.893565,3.89481,23.0,3,294,32,17,3.89481,5.48,4.77,1.55
EPL 2024_244_81_2024-09-28 14:00:00,2024-09-28 14:00:00,True,244,Brentford,d,81,West Ham,0.370222,8.0,1,181,18,7,0.8435,d,0.370222,0.878617,19.0,1,277,10,12,0.878617,2.23,3.63,3.22
EPL 2024_229_244_2024-10-05 14:00:00,2024-10-05 14:00:00,True,244,Brentford,w,229,Wolverhampton Wanderers,4.13513,19.0,5,213,18,9,2.9151,w,3.37396,0.696254,17.0,3,179,20,10,0.696254,2.14,3.62,3.44
EPL 2024_244_89_2024-10-19 14:00:00,2024-10-19 14:00:00,False,244,Brentford,l,89,Manchester United,0.892843,8.0,1,276,17,3,0.7375,l,0.892843,1.76555,23.0,2,306,19,12,1.76555,4.43,4.37,1.72
EPL 2024_244_285_2024-10-26 14:00:00,2024-10-26 14:00:00,True,244,Brentford,w,285,Ipswich,4.09663,20.0,4,119,15,9,2.6407,w,3.33546,1.65698,11.0,3,354,19,6,1.65698,1.65,4.35,4.94
EPL 2024_228_244_2024-11-04 20:00:00,2024-11-04 20:00:00,False,244,Brentford,l,228,Fulham,0.739231,5.0,1,296,24,2,0.8258,l,0.739231,1.43017,26.0,2,156,26,13,1.43017,3.61,3.73,2.04
