match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
EPL 2024_71_81_2024-08-17 16:30:00,2024-08-17 16:30:00,True,81,West Ham,l,71,Aston Villa,2.8047,14.0,1,224,24,5,1.469,l,2.04353,2.6703,15.0,2,260,23,8,2.6703,2.49,3.65,2.8
EPL 2024_78_81_2024-08-24 14:00:00,2024-08-24 14:00:00,False,81,West Ham,w,78,Crystal Palace,1.53421,18.0,2,302,22,5,1.4699,w,1.53421,1.3761,14.0,0,235,34,6,1.3761,3.33,3.68,2.17
EPL 2024_81_88_2024-08-31 16:30:00,2024-08-31 16:30:00,True,81,West Ham,l,88,Manchester City,0.947201,10.0,1,353,17,5,0.2524,l,0.947201,3.19297,23.0,3,194,16,21,3.19297,7.69,5.64,1.37
EPL 2024_228_81_2024-09-14 14:00:00,2024-09-14 14:00:00,False,81,West Ham,d,228,Fulham,0.682719,11.0,1,213,31,4,0.2015,d,0.682719,2.88601,21.0,1,164,35,6,2.88601,2.97,3.53,2.4
EPL 2024_80_81_2024-09-21 11:30:00,2024-09-21 11:30:00,True,81,West Ham,l,80,Chelsea,0.758267,15.0,0,301,31,12,0.3833999999999999,l,0.758267,2.39727,12.0,3,277,17,9,2.39727,3.59,3.93,1.99
EPL 2024_244_81_2024-09-28 14:00:00,2024-09-28 14:00:00,False,81,West Ham,d,244,Brentford,0.878617,19.0,1,277,10,12,1.7666,d,0.878617,0.370222,8.0,1,181,18,7,0.370222,3.22,3.63,2.23
EPL 2024_285_81_2024-10-05 14:00:00,2024-10-05 14:00:00,True,81,West Ham,w,285,Ipswich,4.39402,23.0,4,244,15,6,2.8891,w,4.39402,1.18463,9.0,1,337,23,6,1.18463,1.81,4.02,4.29
EPL 2024_81_82_2024-10-19 11:30:00,2024-10-19 11:30:00,False,81,West Ham,l,82,Tottenham,0.858803,11.0,1,208,24,6,0.9253,l,0.858803,1.44052,22.0,4,197,32,11,1.44052,5.88,5.01,1.5
EPL 2024_81_89_2024-10-27 14:00:00,2024-10-27 14:00:00,True,81,West Ham,w,89,Manchester United,2.99312,12.0,2,274,13,7,1.6669999999999998,w,2.23195,2.62598,18.0,1,216,21,7,2.62598,2.94,3.73,2.35
EPL 2024_249_81_2024-11-02 15:00:00,2024-11-02 15:00:00,False,81,West Ham,l,249,Nottingham Forest,0.132317,4.0,0,196,15,2,0.1008,l,0.132317,2.35011,19.0,3,227,16,11,2.35011,3.53,3.51,2.15
EPL 2024_72_81_2024-11-09 15:00:00,2024-11-09 15:00:00,True,81,West Ham,d,72,Everton,1.1237,11.0,0,213,21,8,1.5993,d,1.1237,0.865983,18.0,0,200,18,7,0.865983,2.2,3.55,3.37
EPL 2024_81_86_2024-11-25 20:00:00,2024-11-25 20:00:00,False,81,West Ham,w,86,Newcastle United,0.942824,15.0,2,254,18,5,0.8991,w,0.942824,1.49781,18.0,0,274,29,6,1.49781,6.49,4.58,1.5
EPL 2024_81_83_2024-11-30 17:30:00,2024-11-30 17:30:00,True,81,West Ham,l,83,Arsenal,1.23539,12.0,2,249,18,3,0.1265,l,1.23539,3.99935,16.0,5,168,14,6,2.47701,7.07,4.76,1.46
EPL 2024_75_81_2024-12-03 20:15:00,2024-12-03 20:15:00,False,81,West Ham,l,75,Leicester,2.87716,31.0,1,230,18,14,1.4368999999999998,l,2.87716,2.78061,8.0,3,292,29,4,2.78061,2.52,3.43,2.95
EPL 2024_229_81_2024-12-09 20:00:00,2024-12-09 20:00:00,True,81,West Ham,w,229,Wolverhampton Wanderers,1.19808,19.0,2,208,23,7,1.1481,w,1.19808,1.47567,19.0,1,217,27,6,1.47567,1.95,3.88,3.76
EPL 2024_73_81_2024-12-16 20:00:00,2024-12-16 20:00:00,False,81,West Ham,d,73,Bournemouth,1.81827,16.0,1,207,19,6,1.2479999999999998,d,1.0571,2.04842,29.0,1,218,19,10,2.04842,4.49,4.27,1.72
EPL 2024_220_81_2024-12-21 15:00:00,2024-12-21 15:00:00,True,81,West Ham,d,220,Brighton,1.22937,11.0,1,237,25,6,1.2192,d,1.22937,1.34379,12.0,1,229,37,13,1.34379,2.8,3.83,2.41
EPL 2024_74_81_2024-12-26 15:00:00,2024-12-26 15:00:00,False,81,West Ham,w,74,Southampton,1.90111,16.0,1,264,14,6,1.1689,w,1.90111,2.19833,18.0,0,231,29,9,2.19833,2.21,3.62,3.28
EPL 2024_81_87_2024-12-29 17:15:00,2024-12-29 17:15:00,True,81,West Ham,l,87,Liverpool,0.518279,7.0,0,269,19,3,0.0962,l,0.518279,3.29868,22.0,5,281,28,16,3.29868,7.32,5.34,1.4
EPL 2024_81_88_2025-01-04 15:00:00,2025-01-04 15:00:00,False,81,West Ham,l,88,Manchester City,1.53286,17.0,1,318,27,7,1.0315,l,1.53286,1.97986,10.0,4,279,19,9,1.97986,8.2,6.41,1.32
EPL 2024_228_81_2025-01-14 19:30:00,2025-01-14 19:30:00,True,81,West Ham,w,228,Fulham,0.937322,4.0,3,294,17,2,0.2557,w,0.937322,2.83581,21.0,2,277,32,9,2.83581,3.03,3.54,2.41
EPL 2024_78_81_2025-01-18 15:00:00,2025-01-18 15:00:00,True,81,West Ham,l,78,Crystal Palace,0.221062,7.0,0,277,20,4,0.2249,l,0.221062,1.62561,12.0,2,344,27,5,0.864444,2.65,3.49,2.7
EPL 2024_71_81_2025-01-26 16:30:00,2025-01-26 16:30:00,False,81,West Ham,d,71,Aston Villa,1.67886,14.0,1,196,31,5,2.0029000000000003,d,1.67886,0.907851,14.0,1,269,31,7,0.907851,5.99,4.46,1.55
EPL 2024_80_81_2025-02-03 20:00:00,2025-02-03 20:00:00,False,81,West Ham,l,80,Chelsea,1.1868,14.0,1,305,10,8,1.2126,l,1.1868,1.39066,22.0,2,138,22,6,1.39066,7.51,5.92,1.36
EPL 2024_244_81_2025-02-15 15:00:00,2025-02-15 15:00:00,True,81,West Ham,l,244,Brentford,0.673466,13.0,0,191,19,8,0.472,l,0.673466,1.96499,14.0,1,282,32,9,1.96499,2.43,3.71,2.83
EPL 2024_81_83_2025-02-22 15:00:00,2025-02-22 15:00:00,False,81,West Ham,w,83,Arsenal,1.02684,5.0,1,289,21,1,1.1057,w,1.02684,1.37264,20.0,0,161,31,15,1.37264,11.04,6.42,1.25
EPL 2024_75_81_2025-02-27 20:00:00,2025-02-27 20:00:00,True,81,West Ham,w,75,Leicester,1.70437,8.0,2,275,19,6,2.6633,w,1.70437,0.289578,10.0,0,362,18,0,0.289578,1.63,4.21,5.34
