match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
EPL 2025_220_228_2025-08-16 14:00:00,2025-08-16 14:00:00,True,220,Brighton,d,228,Fulham,1.44008,10.0,1,250,28,5,1.8562,,0.678909,0.902883,7.0,1,292,18,6,0.902883,1.94,3.73,3.98
EPL 2025_220_72_2025-08-24 13:00:00,2025-08-24 13:00:00,False,220,Brighton,l,72,Everton,2.08487,13.0,0,165,19,8,1.6155000000000002,,1.3237,1.80116,11.0,2,301,17,5,1.80116,2.38,3.36,3.16
EPL 2025_220_88_2025-08-31 13:00:00,2025-08-31 13:00:00,True,220,Brighton,w,88,Manchester City,2.20864,12.0,2,319,27,4,1.4209999999999998,,1.44747,2.13418,12.0,1,179,15,9,2.13418,3.92,3.89,1.91
EPL 2025_220_73_2025-09-13 14:00:00,2025-09-13 14:00:00,False,220,Brighton,l,73,Bournemouth,0.624923,6.0,1,200,23,3,0.6141000000000001,,0.624923,1.44187,13.0,2,195,18,5,0.680706,2.98,3.57,2.4
EPL 2025_220_82_2025-09-20 14:00:00,2025-09-20 14:00:00,True,220,Brighton,d,82,Tottenham,1.40466,12.0,2,287,25,4,1.5373,,1.40466,1.19181,11.0,2,155,32,14,1.19181,2.28,3.67,3.1
EPL 2025_220_80_2025-09-27 14:00:00,2025-09-27 14:00:00,False,220,Brighton,w,80,Chelsea,2.4751,12.0,3,266,29,8,1.7227,,2.4751,2.02653,13.0,1,162,19,4,2.02653,3.98,3.86,1.9
EPL 2025_220_229_2025-10-05 13:00:00,2025-10-05 13:00:00,False,220,Brighton,d,229,Wolverhampton Wanderers,1.39158,17.0,1,216,22,2,2.2661,,1.39158,0.369404,6.0,1,285,21,2,0.369404,1.99,3.68,3.82
EPL 2025_220_86_2025-10-18 14:00:00,2025-10-18 14:00:00,True,220,Brighton,w,86,Newcastle United,0.857104,13.0,2,295,22,8,0.9963,,0.857104,1.28313,16.0,1,241,25,9,1.28313,2.71,3.52,2.64
EPL 2025_220_89_2025-10-25 16:30:00,2025-10-25 16:30:00,False,220,Brighton,l,89,Manchester United,0.947154,17.0,2,209,33,5,0.6576,,0.947154,1.96231,13.0,4,391,28,9,1.96231,3.57,3.92,2.0
EPL 2025_220_245_2025-11-01 15:00:00,2025-11-01 15:00:00,True,220,Brighton,w,245,Leeds,2.64127,14.0,3,311,21,7,2.8172,,2.64127,0.35919,5.0,0,339,15,2,0.35919,1.89,3.77,4.15
EPL 2025_220_78_2025-11-09 14:00:00,2025-11-09 14:00:00,False,220,Brighton,d,78,Crystal Palace,0.637037,7.0,0,210,21,7,1.1541,,0.637037,0.839547,10.0,0,306,26,10,0.839547,3.1,3.62,2.3
