match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
EPL 2025_82_92_2025-08-16 14:00:00,2025-08-16 14:00:00,True,82,Tottenham,w,92,Burnley,1.97858,16.0,3,108,17,7,2.3089000000000004,,1.97858,0.734138,14.0,0,295,17,6,0.734138,1.4,4.71,8.79
EPL 2025_82_88_2025-08-23 11:30:00,2025-08-23 11:30:00,False,82,Tottenham,w,88,Manchester City,1.28015,12.0,2,292,22,4,1.3643999999999998,,1.28015,1.2475,10.0,0,188,18,8,1.2475,6.01,5.0,1.49
EPL 2025_73_82_2025-08-30 14:00:00,2025-08-30 14:00:00,True,82,Tottenham,l,73,Bournemouth,0.17067,5.0,0,130,25,4,0.1568999999999999,,0.17067,2.1201,20.0,1,293,41,11,2.1201,1.76,4.14,4.39
EPL 2025_81_82_2025-09-13 16:30:00,2025-09-13 16:30:00,False,82,Tottenham,w,81,West Ham,1.51402,14.0,3,152,14,8,1.9298,,1.51402,0.793248,7.0,0,316,18,2,0.793248,2.1,3.62,3.55
EPL 2025_220_82_2025-09-20 14:00:00,2025-09-20 14:00:00,False,82,Tottenham,d,220,Brighton,1.19181,11.0,2,155,32,14,1.1338,,1.19181,1.40466,12.0,2,287,25,4,1.40466,3.1,3.67,2.28
EPL 2025_229_82_2025-09-27 19:00:00,2025-09-27 19:00:00,True,82,Tottenham,d,229,Wolverhampton Wanderers,0.818711,10.0,1,237,14,5,0.9919,,0.818711,1.15951,9.0,1,190,20,4,1.15951,1.49,4.96,6.08
EPL 2025_245_82_2025-10-04 11:30:00,2025-10-04 11:30:00,False,82,Tottenham,w,245,Leeds,0.688198,9.0,2,285,19,4,0.6734,,0.688198,1.48051,16.0,1,195,18,6,1.48051,2.55,3.56,2.78
EPL 2025_71_82_2025-10-19 13:00:00,2025-10-19 13:00:00,True,82,Tottenham,l,71,Aston Villa,1.51461,9.0,1,205,27,5,2.3837,,1.51461,0.352231,8.0,2,232,18,2,0.352231,2.07,3.77,3.5
EPL 2025_72_82_2025-10-26 15:30:00,2025-10-26 15:30:00,False,82,Tottenham,w,72,Everton,2.09327,7.0,3,221,13,3,1.9179,,2.09327,1.4032,12.0,0,255,19,6,1.4032,3.13,3.33,2.42
EPL 2025_80_82_2025-11-01 17:30:00,2025-11-01 17:30:00,True,82,Tottenham,l,80,Chelsea,0.146954,3.0,0,214,25,4,0.0249,,0.146954,3.34251,15.0,1,217,31,13,3.34251,2.73,3.63,2.56
EPL 2025_82_89_2025-11-08 12:30:00,2025-11-08 12:30:00,True,82,Tottenham,d,89,Manchester United,1.35532,10.0,2,224,29,5,1.813,,1.35532,0.820256,5.0,2,253,19,3,0.820256,2.72,3.59,2.58
EPL 2025_82_83_2025-11-23 16:30:00,2025-11-23 16:30:00,False,82,Tottenham,l,83,Arsenal,0.0300672,3.0,1,242,18,2,0.0774,,0.0300672,2.27827,17.0,4,214,34,13,2.27827,7.88,4.75,1.43
