match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
La_liga 2014_141_208_2014-08-23 22:00:00,2014-08-23 22:00:00,True,208,Almeria,d,141,Espanyol,0.978788,19.0,1,140,21,5,1.8794,d,0.978788,0.399306,12.0,1,237,15,4,0.399306,2.8,3.29,2.78
La_liga 2014_142_208_2014-08-29 19:00:00,2014-08-29 19:00:00,False,208,Almeria,l,142,Getafe,1.31079,11.0,0,236,26,4,1.318,l,1.31079,1.31774,12.0,1,204,27,3,1.31774,4.0,3.43,2.09
La_liga 2014_206_208_2014-09-12 20:00:00,2014-09-12 20:00:00,True,208,Almeria,d,206,Cordoba,1.03628,12.0,1,228,38,5,1.5613,d,1.03628,0.763656,11.0,1,200,24,1,0.763656,2.1,3.3,4.15
La_liga 2014_140_208_2014-09-21 11:00:00,2014-09-21 11:00:00,False,208,Almeria,w,140,Real Sociedad,0.603236,13.0,2,197,20,2,0.5703,w,0.603236,1.67935,22.0,1,119,22,12,1.67935,7.7,4.85,1.46
La_liga 2014_143_208_2014-09-24 19:00:00,2014-09-24 19:00:00,True,208,Almeria,l,143,Atletico Madrid,0.263228,6.0,0,265,20,1,0.3269999999999999,l,0.263228,1.689,19.0,1,152,31,11,1.689,6.4,4.02,1.62
La_liga 2014_139_208_2014-09-28 16:00:00,2014-09-28 16:00:00,False,208,Almeria,w,139,Deportivo La Coruna,0.72135,15.0,1,227,24,2,1.0895,w,0.72135,0.957268,8.0,0,127,19,6,0.957268,4.12,3.41,2.07
La_liga 2014_207_208_2014-10-04 21:00:00,2014-10-04 21:00:00,True,208,Almeria,d,207,Elche,2.34067,16.0,2,149,32,2,2.6717,d,1.59739,0.511144,6.0,2,166,24,1,0.511144,2.28,3.26,3.64
La_liga 2014_154_208_2014-10-19 20:00:00,2014-10-19 20:00:00,False,208,Almeria,l,154,Villarreal,0.336251,10.0,0,205,33,4,0.1037,l,0.336251,2.75077,17.0,2,190,39,8,2.75077,10.13,5.61,1.35
La_liga 2014_147_208_2014-10-25 15:00:00,2014-10-25 15:00:00,True,208,Almeria,l,147,Athletic Club,0.310169,7.0,0,203,30,2,0.5975,l,0.310169,0.921626,6.0,1,142,33,4,0.921626,3.52,3.52,2.21
La_liga 2014_151_208_2014-11-02 18:00:00,2014-11-02 18:00:00,False,208,Almeria,l,151,Levante,1.32208,14.0,1,153,25,2,1.2289,l,1.32208,1.46581,11.0,2,271,30,1,1.46581,3.16,3.29,2.5
La_liga 2014_148_208_2014-11-08 15:00:00,2014-11-08 15:00:00,True,208,Almeria,l,148,Barcelona,0.710826,6.0,1,284,24,2,0.1589999999999999,l,0.710826,2.88307,18.0,2,87,23,13,2.88307,21.08,8.5,1.17
La_liga 2014_155_208_2014-11-24 19:45:00,2014-11-24 19:45:00,False,208,Almeria,d,155,Granada,0.0493305,3.0,0,266,18,0,0.3098,d,0.0493305,1.26093,24.0,0,144,23,4,1.26093,4.03,3.36,2.11
La_liga 2014_145_208_2014-12-01 19:45:00,2014-12-01 19:45:00,True,208,Almeria,l,145,Rayo Vallecano,0.80016,11.0,0,223,40,9,0.9459,l,0.80016,1.25863,11.0,1,112,28,2,1.25863,2.46,3.42,3.11
La_liga 2014_156_208_2014-12-08 16:00:00,2014-12-08 16:00:00,False,208,Almeria,l,156,Eibar,1.39683,14.0,2,156,23,0,1.2437,l,1.39683,1.57541,17.0,5,226,22,1,1.57541,4.15,3.37,2.08
La_liga 2014_150_208_2014-12-12 19:45:00,2014-12-12 19:45:00,True,208,Almeria,l,150,Real Madrid,1.33389,16.0,1,282,29,1,1.4449,l,0.590609,1.25169,15.0,4,150,17,9,1.25169,21.2,8.95,1.16
La_liga 2014_152_208_2014-12-19 19:45:00,2014-12-19 19:45:00,False,208,Almeria,w,152,Celta Vigo,1.36468,4.0,1,318,30,0,1.2522,w,1.36468,1.44921,19.0,0,70,27,7,0.705935,7.2,4.96,1.47
La_liga 2014_137_208_2015-01-03 21:00:00,2015-01-03 21:00:00,False,208,Almeria,w,137,Malaga,1.38062,6.0,2,209,30,3,2.1938000000000004,w,0.637339,0.574598,14.0,1,66,29,4,0.574598,7.13,4.43,1.53
La_liga 2014_138_208_2015-01-11 11:00:00,2015-01-11 11:00:00,True,208,Almeria,l,138,Sevilla,1.13032,19.0,0,213,20,2,1.3825,l,1.13032,1.07199,12.0,2,155,24,9,1.07199,4.53,3.66,1.9
La_liga 2014_146_208_2015-01-17 17:00:00,2015-01-17 17:00:00,False,208,Almeria,l,146,Valencia,0.822402,8.0,2,270,18,1,0.3938,l,0.822402,2.23964,15.0,3,76,26,12,2.23964,11.02,5.53,1.34
La_liga 2014_141_208_2015-01-25 18:00:00,2015-01-25 18:00:00,False,208,Almeria,l,141,Espanyol,0.300551,9.0,0,207,16,7,0.1415,l,0.300551,2.44178,18.0,3,146,31,9,2.44178,5.38,3.73,1.76
La_liga 2014_142_208_2015-02-01 16:00:00,2015-02-01 16:00:00,True,208,Almeria,w,142,Getafe,1.93122,12.0,1,222,46,3,2.211,w,1.93122,0.822826,12.0,0,155,19,1,0.822826,2.41,3.21,3.4
La_liga 2014_206_208_2015-02-08 11:00:00,2015-02-08 11:00:00,False,208,Almeria,w,206,Cordoba,1.37273,8.0,2,164,27,2,1.6687999999999998,w,1.37273,1.02973,14.0,1,114,28,2,1.02973,3.77,3.22,2.25
La_liga 2014_140_208_2015-02-13 19:45:00,2015-02-13 19:45:00,True,208,Almeria,d,140,Real Sociedad,1.1247,9.0,2,239,38,2,1.5341,d,0.38142,0.912368,7.0,2,147,26,1,0.912368,2.51,3.2,3.23
La_liga 2014_143_208_2015-02-21 19:00:00,2015-02-21 19:00:00,False,208,Almeria,l,143,Atletico Madrid,0.331948,9.0,0,197,31,3,0.2602,l,0.331948,1.7792,9.0,3,144,29,5,1.03592,16.5,6.83,1.23
La_liga 2014_139_208_2015-02-28 19:00:00,2015-02-28 19:00:00,True,208,Almeria,d,139,Deportivo La Coruna,0.385643,10.0,0,191,24,1,0.3327,d,0.385643,1.93328,25.0,0,82,31,11,1.93328,2.29,3.36,3.5
La_liga 2014_207_208_2015-03-07 19:00:00,2015-03-07 19:00:00,False,208,Almeria,l,207,Elche,0.509389,9.0,0,221,23,4,0.3824,l,0.509389,1.87874,15.0,1,148,22,8,1.87874,3.83,3.4,2.15
La_liga 2014_154_208_2015-03-15 11:00:00,2015-03-15 11:00:00,True,208,Almeria,d,154,Villarreal,1.3378,10.0,0,250,25,5,1.3454,d,1.3378,1.39493,18.0,0,117,24,4,1.39493,4.14,3.56,2.01
La_liga 2014_147_208_2015-03-21 21:00:00,2015-03-21 21:00:00,False,208,Almeria,l,147,Athletic Club,0.341584,7.0,1,187,24,2,0.5019,l,0.341584,1.43356,19.0,2,113,21,7,1.43356,7.09,4.4,1.53
La_liga 2014_151_208_2015-04-04 19:00:00,2015-04-04 19:00:00,True,208,Almeria,l,151,Levante,1.34021,9.0,1,218,30,4,0.5877,l,0.59693,2.45536,15.0,4,140,26,7,2.45536,2.23,3.26,3.78
La_liga 2014_148_208_2015-04-08 19:00:00,2015-04-08 19:00:00,False,208,Almeria,l,148,Barcelona,0.267948,6.0,0,316,26,2,0.2798,l,0.267948,1.71657,19.0,4,127,32,10,1.71657,41.0,13.0,1.05
La_liga 2014_155_208_2015-04-11 21:00:00,2015-04-11 21:00:00,True,208,Almeria,w,155,Granada,2.26761,17.0,3,102,25,7,1.8398,w,2.26761,1.66924,15.0,0,159,21,2,1.66924,2.47,3.26,3.24
La_liga 2014_145_208_2015-04-19 11:00:00,2015-04-19 11:00:00,False,208,Almeria,l,145,Rayo Vallecano,0.372844,8.0,0,306,22,5,0.0791999999999999,l,0.372844,2.62824,13.0,2,178,36,4,2.62824,4.64,3.89,1.83
La_liga 2014_156_208_2015-04-26 16:00:00,2015-04-26 16:00:00,True,208,Almeria,w,156,Eibar,1.6408,9.0,2,151,24,7,2.5261,w,0.897523,0.325557,8.0,0,241,31,2,0.325557,2.21,3.34,3.74
La_liga 2014_150_208_2015-04-29 19:00:00,2015-04-29 19:00:00,False,208,Almeria,l,150,Real Madrid,0.248127,7.0,0,309,20,6,0.0739,l,0.248127,2.72518,18.0,3,278,22,9,2.72518,27.0,14.9,1.09
La_liga 2014_152_208_2015-05-04 19:45:00,2015-05-04 19:45:00,True,208,Almeria,d,152,Celta Vigo,2.25388,12.0,2,302,26,9,2.4275,d,2.25388,0.998686,7.0,2,209,20,8,0.998686,3.91,3.61,2.06
La_liga 2014_137_208_2015-05-10 18:00:00,2015-05-10 18:00:00,True,208,Almeria,l,137,Malaga,1.84645,10.0,1,156,19,10,1.1777,l,1.84645,2.14355,14.0,2,111,26,2,2.14355,2.67,3.34,2.89
La_liga 2014_138_208_2015-05-17 18:00:00,2015-05-17 18:00:00,False,208,Almeria,l,138,Sevilla,1.19623,14.0,1,229,26,6,0.5671999999999999,l,1.19623,2.3833,15.0,2,179,28,13,2.3833,11.0,6.4,1.29
La_liga 2014_146_208_2015-05-23 17:30:00,2015-05-23 17:30:00,True,208,Almeria,l,146,Valencia,1.38838,10.0,2,127,38,4,0.7157,l,1.38838,2.17387,9.0,3,154,31,3,2.17387,5.08,4.51,1.66
