match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
La_liga 2014_143_145_2014-08-25 21:00:00,2014-08-25 21:00:00,True,145,Rayo Vallecano,d,143,Atletico Madrid,0.357337,8.0,0,173,25,3,0.7398,d,0.357337,0.901586,9.0,0,339,32,3,0.901586,7.07,4.45,1.53
La_liga 2014_139_145_2014-08-31 20:00:00,2014-08-31 20:00:00,False,145,Rayo Vallecano,d,139,Deportivo La Coruna,2.23586,12.0,2,232,30,7,1.5912,d,2.23586,1.89944,10.0,2,259,28,4,1.15616,3.4,3.33,2.35
La_liga 2014_145_207_2014-09-14 11:00:00,2014-09-14 11:00:00,True,145,Rayo Vallecano,l,207,Elche,1.42044,14.0,2,77,30,9,2.1583,l,0.677167,0.570631,12.0,3,263,43,0,0.570631,1.77,3.78,5.27
La_liga 2014_145_154_2014-09-21 16:00:00,2014-09-21 16:00:00,False,145,Rayo Vallecano,l,154,Villarreal,1.40506,10.0,2,169,23,3,0.1163,l,1.40506,4.38395,19.0,4,289,28,12,4.38395,6.71,4.37,1.56
La_liga 2014_145_147_2014-09-24 19:00:00,2014-09-24 19:00:00,True,145,Rayo Vallecano,w,147,Athletic Club,3.17965,15.0,2,197,36,2,2.8401,w,3.17965,1.06179,8.0,1,218,27,4,1.06179,3.23,3.59,2.31
La_liga 2014_145_151_2014-09-27 21:00:00,2014-09-27 21:00:00,False,145,Rayo Vallecano,w,151,Levante,1.39355,13.0,2,154,17,5,2.0557,w,0.650272,0.637848,7.0,0,269,40,4,0.637848,2.56,3.41,2.98
La_liga 2014_145_148_2014-10-04 17:00:00,2014-10-04 17:00:00,True,145,Rayo Vallecano,l,148,Barcelona,0.515599,14.0,0,260,27,2,0.1583999999999999,l,0.515599,2.97834,18.0,2,197,26,12,2.97834,10.9,6.3,1.3
La_liga 2014_145_155_2014-10-17 20:00:00,2014-10-17 20:00:00,False,145,Rayo Vallecano,w,155,Granada,0.471785,8.0,1,177,40,5,1.3211,w,0.471785,0.432469,9.0,0,283,40,3,0.432469,3.34,3.39,2.35
La_liga 2014_137_145_2014-10-26 11:00:00,2014-10-26 11:00:00,False,145,Rayo Vallecano,l,137,Malaga,0.395055,10.0,0,137,29,2,0.029,l,0.395055,3.90394,18.0,4,228,37,9,3.16066,4.38,3.58,1.95
La_liga 2014_145_156_2014-11-03 19:45:00,2014-11-03 19:45:00,True,145,Rayo Vallecano,l,156,Eibar,1.21559,16.0,2,115,25,5,0.5446,l,1.21559,2.50481,8.0,3,340,29,2,1.76154,2.05,3.46,4.12
La_liga 2014_145_150_2014-11-08 19:00:00,2014-11-08 19:00:00,False,145,Rayo Vallecano,l,150,Real Madrid,0.843676,15.0,1,278,33,5,0.2578,l,0.843676,2.69643,16.0,5,361,17,7,2.69643,30.69,17.49,1.07
La_liga 2014_145_152_2014-11-23 11:00:00,2014-11-23 11:00:00,True,145,Rayo Vallecano,w,152,Celta Vigo,0.865947,9.0,1,198,31,3,1.4785,w,0.865947,0.704494,14.0,0,139,26,5,0.704494,2.76,3.6,2.63
La_liga 2014_145_208_2014-12-01 19:45:00,2014-12-01 19:45:00,False,145,Rayo Vallecano,w,208,Almeria,1.25863,11.0,1,112,28,2,1.7577,w,1.25863,0.80016,11.0,0,223,40,9,0.80016,3.11,3.42,2.46
La_liga 2014_138_145_2014-12-07 11:00:00,2014-12-07 11:00:00,True,145,Rayo Vallecano,l,138,Sevilla,1.41398,11.0,0,111,25,2,1.2198,l,1.41398,1.58437,11.0,1,235,33,6,1.58437,3.37,3.62,2.24
La_liga 2014_145_146_2014-12-13 17:00:00,2014-12-13 17:00:00,False,145,Rayo Vallecano,l,146,Valencia,0.603533,19.0,0,175,25,1,0.1175,l,0.603533,3.01549,14.0,3,309,26,4,3.01549,6.81,4.82,1.5
