match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
La_liga 2014_150_206_2014-08-25 19:00:00,2014-08-25 19:00:00,True,150,Real Madrid,w,206,Cordoba,0.612645,14.0,2,212,25,4,1.5211,w,0.612645,0.37841,8.0,0,345,16,4,0.37841,1.07,16.85,33.5
La_liga 2014_140_150_2014-08-31 20:00:00,2014-08-31 20:00:00,False,150,Real Madrid,l,140,Real Sociedad,2.31574,19.0,2,197,29,8,1.0946,l,2.31574,2.74099,13.0,4,223,24,7,2.74099,1.39,5.34,8.75
La_liga 2014_143_150_2014-09-13 19:00:00,2014-09-13 19:00:00,True,150,Real Madrid,l,143,Atletico Madrid,1.58778,21.0,1,136,28,5,1.7548,l,0.844502,1.11054,9.0,2,294,13,0,1.11054,1.7,4.0,5.42
La_liga 2014_139_150_2014-09-20 15:00:00,2014-09-20 15:00:00,False,150,Real Madrid,w,139,Deportivo La Coruna,2.05644,19.0,8,294,23,3,1.5862,w,2.05644,1.74836,14.0,2,443,19,0,1.00508,1.29,6.39,11.58
La_liga 2014_150_207_2014-09-23 19:00:00,2014-09-23 19:00:00,True,150,Real Madrid,w,207,Elche,3.93785,23.0,5,236,23,8,2.8482,w,2.4513,1.07447,10.0,1,407,17,0,0.331196,1.09,13.49,38.06
La_liga 2014_150_154_2014-09-27 15:00:00,2014-09-27 15:00:00,False,150,Real Madrid,w,154,Villarreal,0.976346,11.0,2,242,12,4,1.3775000000000002,w,0.976346,0.951263,19.0,0,270,21,9,0.951263,1.66,4.27,5.44
La_liga 2014_147_150_2014-10-05 20:00:00,2014-10-05 20:00:00,True,150,Real Madrid,w,147,Athletic Club,3.61471,19.0,5,203,14,16,2.8784,w,3.61471,0.744918,6.0,0,390,25,0,0.744918,1.2,8.19,15.69
La_liga 2014_150_151_2014-10-18 15:00:00,2014-10-18 15:00:00,False,150,Real Madrid,w,151,Levante,4.276,21.0,5,203,15,8,2.9487,w,3.53273,0.488171,11.0,0,427,24,1,0.488171,1.19,7.95,18.07
La_liga 2014_148_150_2014-10-25 17:00:00,2014-10-25 17:00:00,True,150,Real Madrid,w,148,Barcelona,1.87887,18.0,3,304,24,8,1.824,w,1.13559,1.30281,16.0,1,259,34,7,1.30281,2.39,3.75,2.99
La_liga 2014_150_155_2014-11-01 15:00:00,2014-11-01 15:00:00,False,150,Real Madrid,w,155,Granada,2.84686,18.0,4,161,16,13,2.572,w,2.84686,1.07775,11.0,0,384,26,3,1.07775,1.24,6.84,14.45
La_liga 2014_145_150_2014-11-08 19:00:00,2014-11-08 19:00:00,True,150,Real Madrid,w,145,Rayo Vallecano,2.69643,16.0,5,361,17,7,2.6197000000000004,w,2.69643,0.843676,15.0,1,278,33,5,0.843676,1.07,17.49,30.69
La_liga 2014_150_156_2014-11-22 17:00:00,2014-11-22 17:00:00,False,150,Real Madrid,w,156,Eibar,4.68657,19.0,4,162,18,13,2.9501,w,3.94329,0.87358,10.0,0,297,29,3,0.87358,1.21,7.55,17.05
La_liga 2014_137_150_2014-11-29 19:00:00,2014-11-29 19:00:00,False,150,Real Madrid,w,137,Malaga,4.15129,21.0,2,185,20,5,2.8579,w,4.15129,1.16042,12.0,1,290,26,2,1.16042,1.33,5.92,10.24
La_liga 2014_150_152_2014-12-06 19:00:00,2014-12-06 19:00:00,True,150,Real Madrid,w,152,Celta Vigo,2.59443,20.0,3,218,18,6,2.6826000000000003,w,1.85115,0.552243,9.0,0,219,44,3,0.552243,1.11,14.32,21.68
La_liga 2014_150_208_2014-12-12 19:45:00,2014-12-12 19:45:00,False,150,Real Madrid,w,208,Almeria,1.25169,15.0,4,150,17,9,1.2355,w,1.25169,1.33389,16.0,1,282,29,1,0.590609,1.16,8.95,21.2
La_liga 2014_146_150_2015-01-04 16:00:00,2015-01-04 16:00:00,False,150,Real Madrid,l,146,Valencia,2.63452,19.0,1,138,20,7,2.6484,l,1.89124,0.708983,11.0,2,238,35,3,0.708983,1.54,4.69,6.3
La_liga 2014_141_150_2015-01-10 15:00:00,2015-01-10 15:00:00,True,150,Real Madrid,w,141,Espanyol,1.73073,18.0,3,257,24,6,2.4542,w,1.73073,0.367803,11.0,0,332,30,7,0.367803,1.1,13.4,26.0
La_liga 2014_142_150_2015-01-18 11:00:00,2015-01-18 11:00:00,False,150,Real Madrid,w,142,Getafe,2.41204,24.0,3,205,35,8,2.6492,w,2.41204,0.544312,6.0,0,329,23,5,0.544312,1.25,6.79,14.17
La_liga 2014_150_206_2015-01-24 15:00:00,2015-01-24 15:00:00,False,150,Real Madrid,w,206,Cordoba,1.99717,13.0,2,118,29,8,1.6806,w,1.25389,1.63834,16.0,1,279,26,0,0.895062,1.15,9.5,23.0
La_liga 2014_140_150_2015-01-31 15:00:00,2015-01-31 15:00:00,True,150,Real Madrid,w,140,Real Sociedad,4.01477,26.0,4,242,18,15,2.827,w,4.01477,1.0602,8.0,1,358,20,2,1.0602,1.2,8.08,16.45
La_liga 2014_138_150_2015-02-04 19:45:00,2015-02-04 19:45:00,True,150,Real Madrid,w,138,Sevilla,2.44168,14.0,2,155,16,13,1.3893,w,2.44168,2.47777,15.0,1,287,38,14,2.47777,1.27,6.6,12.3
