match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
La_liga 2014_140_156_2014-08-24 18:00:00,2014-08-24 18:00:00,False,140,Real Sociedad,l,156,Eibar,0.975523,19.0,0,120,18,1,1.8058,l,0.975523,0.465398,12.0,1,211,24,4,0.465398,2.27,3.37,3.53
La_liga 2014_140_150_2014-08-31 20:00:00,2014-08-31 20:00:00,True,140,Real Sociedad,w,150,Real Madrid,2.74099,13.0,4,223,24,7,1.6907,w,2.74099,2.31574,19.0,2,197,29,8,2.31574,8.75,5.34,1.39
La_liga 2014_140_152_2014-09-13 21:00:00,2014-09-13 21:00:00,False,140,Real Sociedad,d,152,Celta Vigo,1.30012,20.0,2,214,16,6,0.3639,d,1.30012,2.85395,13.0,2,196,26,1,2.85395,3.43,3.53,2.24
La_liga 2014_140_208_2014-09-21 11:00:00,2014-09-21 11:00:00,True,140,Real Sociedad,l,208,Almeria,1.67935,22.0,1,119,22,12,2.1999,l,1.67935,0.603236,13.0,2,197,20,2,0.603236,1.46,4.85,7.7
La_liga 2014_138_140_2014-09-24 21:00:00,2014-09-24 21:00:00,False,140,Real Sociedad,l,138,Sevilla,0.248733,8.0,0,232,20,4,0.1982,l,0.248733,2.02336,19.0,1,231,28,4,2.02336,4.7,4.0,1.79
La_liga 2014_140_146_2014-09-28 18:00:00,2014-09-28 18:00:00,True,140,Real Sociedad,d,146,Valencia,0.762877,18.0,1,199,31,4,1.458,d,0.762877,0.554817,7.0,1,232,18,2,0.554817,2.72,3.44,2.76
La_liga 2014_140_141_2014-10-05 18:00:00,2014-10-05 18:00:00,False,140,Real Sociedad,l,141,Espanyol,0.481761,13.0,0,156,24,3,0.5796,l,0.481761,1.39473,10.0,2,226,30,1,1.39473,2.95,3.32,2.63
La_liga 2014_140_142_2014-10-20 19:45:00,2014-10-20 19:45:00,True,140,Real Sociedad,l,142,Getafe,1.29417,13.0,1,145,28,3,1.4467,l,1.29417,1.19816,16.0,2,268,29,3,1.19816,1.57,4.25,6.77
La_liga 2014_140_206_2014-10-25 21:00:00,2014-10-25 21:00:00,False,140,Real Sociedad,d,206,Cordoba,0.967731,7.0,1,209,27,1,0.253,d,0.967731,2.09938,7.0,1,126,30,5,2.09938,2.28,3.38,3.51
La_liga 2014_137_140_2014-11-01 21:00:00,2014-11-01 21:00:00,True,140,Real Sociedad,l,137,Malaga,0.112869,5.0,0,173,27,3,0.1641,l,0.112869,1.46771,6.0,1,207,22,6,1.46771,2.22,3.45,3.58
La_liga 2014_140_143_2014-11-09 20:00:00,2014-11-09 20:00:00,True,140,Real Sociedad,w,143,Atletico Madrid,0.896143,11.0,2,148,24,1,1.6722,w,0.896143,0.594573,4.0,1,198,15,1,0.594573,4.94,3.63,1.84
La_liga 2014_139_140_2014-11-22 21:00:00,2014-11-22 21:00:00,False,140,Real Sociedad,d,139,Deportivo La Coruna,0.629175,17.0,0,193,29,3,1.4942,d,0.629175,0.431861,11.0,0,154,24,0,0.431861,2.23,3.36,3.65
La_liga 2014_140_207_2014-11-28 19:45:00,2014-11-28 19:45:00,True,140,Real Sociedad,w,207,Elche,1.32833,12.0,3,224,18,6,1.8387,w,1.32833,0.749825,13.0,0,256,28,1,0.749825,1.71,3.9,5.53
La_liga 2014_140_154_2014-12-07 18:00:00,2014-12-07 18:00:00,False,140,Real Sociedad,l,154,Villarreal,0.336566,12.0,0,210,15,1,0.3772,l,0.336566,1.76594,24.0,4,195,30,9,1.76594,5.23,4.04,1.72
