match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
La_liga 2015_151_152_2015-08-24 00:00:00,2015-08-24 00:00:00,False,152,Celta Vigo,w,151,Levante,1.80598,15.0,2,117,29,17,2.5315,w,1.80598,0.485771,11.0,1,340,12,1,0.485771,2.15,3.4,3.84
La_liga 2015_145_152_2015-08-30 00:00:00,2015-08-30 00:00:00,True,152,Celta Vigo,w,145,Rayo Vallecano,1.7022,11.0,3,199,32,14,2.7553,w,0.958918,0.0816438,3.0,0,423,14,0,0.0816438,1.57,4.41,6.29
La_liga 2015_144_152_2015-09-13 20:15:00,2015-09-13 20:15:00,True,152,Celta Vigo,d,144,Las Palmas,3.52742,26.0,3,180,45,20,2.6409,d,2.78415,1.29875,9.0,3,376,19,6,1.29875,1.52,4.48,7.3
La_liga 2015_138_152_2015-09-20 14:00:00,2015-09-20 14:00:00,False,152,Celta Vigo,w,138,Sevilla,0.84576,15.0,2,186,34,15,0.7706,w,0.84576,1.52622,13.0,1,276,30,17,1.52622,4.47,3.88,1.85
La_liga 2015_148_152_2015-09-23 22:00:00,2015-09-23 22:00:00,True,152,Celta Vigo,w,148,Barcelona,2.22577,18.0,4,257,35,11,1.1976,w,2.22577,2.51546,18.0,1,187,24,16,2.51546,6.44,4.85,1.52
La_liga 2015_152_156_2015-09-27 00:05:00,2015-09-27 00:05:00,False,152,Celta Vigo,d,156,Eibar,1.08234,9.0,1,105,32,11,1.1937,d,1.08234,1.20938,10.0,1,333,44,6,1.20938,2.08,3.46,3.98
La_liga 2015_142_152_2015-10-02 22:30:00,2015-10-02 22:30:00,True,152,Celta Vigo,d,142,Getafe,1.48902,18.0,0,114,35,9,1.4973,d,1.48902,1.32092,8.0,0,317,28,2,1.32092,1.48,4.56,7.9
La_liga 2015_152_154_2015-10-18 14:00:00,2015-10-18 14:00:00,False,152,Celta Vigo,w,154,Villarreal,1.62408,13.0,2,129,27,15,1.8985,w,1.62408,0.995361,12.0,1,341,19,4,0.995361,4.0,3.67,2.01
La_liga 2015_150_152_2015-10-24 18:00:00,2015-10-24 18:00:00,True,152,Celta Vigo,l,150,Real Madrid,1.57638,17.0,1,258,38,10,1.1002,l,1.57638,1.9616,14.0,3,290,24,11,1.9616,4.02,4.04,1.91
La_liga 2015_140_152_2015-11-01 01:05:00,2015-11-01 01:05:00,False,152,Celta Vigo,w,140,Real Sociedad,1.43886,16.0,3,124,27,5,1.6351,w,1.43886,1.13516,20.0,2,254,24,6,1.13516,2.79,3.31,2.79
La_liga 2015_146_152_2015-11-07 19:00:00,2015-11-07 19:00:00,True,152,Celta Vigo,l,146,Valencia,1.6317,17.0,1,129,24,14,1.4813999999999998,l,1.6317,1.48214,9.0,5,232,30,5,1.48214,1.86,3.87,4.46
La_liga 2015_139_152_2015-11-22 01:05:00,2015-11-22 01:05:00,False,152,Celta Vigo,l,139,Deportivo La Coruna,0.886052,6.0,0,142,27,5,1.1481,l,0.142774,1.02848,5.0,2,269,38,2,1.02848,2.24,3.64,3.35
La_liga 2015_149_152_2015-11-29 01:05:00,2015-11-29 01:05:00,True,152,Celta Vigo,w,149,Sporting Gijon,1.14376,6.0,2,168,28,7,1.8563,w,1.14376,0.664946,9.0,1,344,23,4,0.664946,1.42,5.16,8.06
La_liga 2015_152_153_2015-12-06 01:05:00,2015-12-06 01:05:00,False,152,Celta Vigo,d,153,Real Betis,0.535918,5.0,1,201,24,3,0.2696,d,0.535918,2.41831,27.0,1,165,28,12,2.41831,2.18,3.72,3.43
La_liga 2015_141_152_2015-12-12 21:15:00,2015-12-12 21:15:00,True,152,Celta Vigo,w,141,Espanyol,1.23164,16.0,1,195,23,5,2.3151,w,1.23164,0.166852,6.0,0,204,36,3,0.166852,1.53,4.55,6.72
La_liga 2015_152_155_2015-12-20 21:15:00,2015-12-20 21:15:00,False,152,Celta Vigo,w,155,Granada,2.25068,10.0,2,203,36,7,2.764,w,2.25068,0.340342,11.0,0,209,32,6,0.340342,2.34,3.37,3.37
La_liga 2015_147_152_2015-12-30 23:30:00,2015-12-30 23:30:00,True,152,Celta Vigo,l,147,Athletic Club,0.414056,7.0,0,142,28,7,0.6733,l,0.414056,1.09564,13.0,1,352,31,6,1.09564,2.56,3.47,2.93
La_liga 2015_137_152_2016-01-03 01:05:00,2016-01-03 01:05:00,False,152,Celta Vigo,l,137,Malaga,1.0569,8.0,0,171,24,3,0.2477,l,1.0569,3.03854,14.0,2,227,33,7,2.29526,3.33,3.3,2.4
La_liga 2015_143_152_2016-01-10 23:30:00,2016-01-10 23:30:00,True,152,Celta Vigo,l,143,Atletico Madrid,0.213705,6.0,0,165,36,1,0.4992999999999999,l,0.213705,1.07666,10.0,2,309,38,13,1.07666,4.7,3.56,1.9
La_liga 2015_151_152_2016-01-16 21:15:00,2016-01-16 21:15:00,True,152,Celta Vigo,w,151,Levante,2.1571,14.0,4,186,30,7,1.9114,w,2.1571,1.42901,17.0,3,278,31,5,1.42901,1.63,4.05,6.2
La_liga 2015_145_152_2016-01-24 01:05:00,2016-01-24 01:05:00,False,152,Celta Vigo,l,145,Rayo Vallecano,0.133975,3.0,0,171,30,3,0.0342,l,0.133975,3.20178,26.0,3,108,31,4,3.20178,2.62,3.67,2.73
La_liga 2015_144_152_2016-01-31 21:15:00,2016-01-31 21:15:00,False,152,Celta Vigo,l,144,Las Palmas,0.376974,5.0,1,275,34,3,0.1901,l,0.376974,2.12188,13.0,2,205,38,1,1.37873,3.1,3.39,2.48
La_liga 2015_138_152_2016-02-07 21:15:00,2016-02-07 21:15:00,True,152,Celta Vigo,d,138,Sevilla,2.37006,25.0,1,90,26,9,2.4432,d,2.37006,0.922926,9.0,1,343,23,6,0.922926,3.23,3.47,2.37
La_liga 2015_148_152_2016-02-14 23:30:00,2016-02-14 23:30:00,False,152,Celta Vigo,l,148,Barcelona,1.49242,10.0,1,317,33,5,0.0288,l,0.74927,5.54249,19.0,6,161,33,13,4.79921,33.0,15.0,1.08
La_liga 2015_152_156_2016-02-21 01:05:00,2016-02-21 01:05:00,True,152,Celta Vigo,w,156,Eibar,2.5831,14.0,3,143,28,11,2.2338,w,2.5831,1.4201,7.0,2,334,36,5,0.676819,2.01,3.7,3.95
La_liga 2015_142_152_2016-02-27 21:15:00,2016-02-27 21:15:00,False,152,Celta Vigo,w,142,Getafe,1.60224,9.0,1,188,25,7,1.9825,w,1.60224,0.863924,14.0,0,173,24,6,0.863924,2.41,3.55,3.09
La_liga 2015_152_154_2016-03-02 23:00:00,2016-03-02 23:00:00,True,152,Celta Vigo,d,154,Villarreal,0.846173,11.0,0,151,28,16,1.8535,d,0.846173,0.328383,6.0,0,350,17,4,0.328383,2.22,3.37,3.65
La_liga 2015_150_152_2016-03-05 19:00:00,2016-03-05 19:00:00,False,152,Celta Vigo,l,150,Real Madrid,1.52691,8.0,1,342,18,4,0.7515000000000001,l,1.52691,2.39112,20.0,7,259,26,14,2.39112,9.6,6.11,1.33
La_liga 2015_140_152_2016-03-12 21:15:00,2016-03-12 21:15:00,True,152,Celta Vigo,w,140,Real Sociedad,0.377845,7.0,1,249,27,5,1.0859,w,0.377845,0.559876,15.0,0,194,29,7,0.559876,2.12,3.59,3.7
La_liga 2015_146_152_2016-03-20 21:15:00,2016-03-20 21:15:00,False,152,Celta Vigo,w,146,Valencia,2.19927,13.0,2,216,36,5,2.4714,w,2.19927,0.646205,14.0,0,241,38,11,0.646205,3.2,3.63,2.31
La_liga 2015_139_152_2016-04-03 00:05:00,2016-04-03 00:05:00,True,152,Celta Vigo,d,139,Deportivo La Coruna,0.36047,9.0,1,122,26,4,0.7153,d,0.36047,0.864408,7.0,1,295,23,4,0.864408,1.79,3.93,4.88
La_liga 2015_149_152_2016-04-10 14:00:00,2016-04-10 14:00:00,False,152,Celta Vigo,w,149,Sporting Gijon,1.03986,17.0,1,150,24,13,1.4938999999999998,w,1.03986,0.814767,9.0,0,283,21,1,0.814767,2.45,3.5,3.08
La_liga 2015_152_153_2016-04-17 00:05:00,2016-04-17 00:05:00,True,152,Celta Vigo,d,153,Real Betis,1.74985,18.0,1,138,25,12,1.522,d,1.74985,1.54169,9.0,1,315,14,4,1.54169,1.56,4.45,6.56
La_liga 2015_141_152_2016-04-19 22:00:00,2016-04-19 22:00:00,False,152,Celta Vigo,d,141,Espanyol,0.502009,3.0,1,176,36,6,0.9458,d,0.502009,0.873164,8.0,1,360,38,8,0.873164,3.0,3.45,2.52
La_liga 2015_152_155_2016-04-25 22:30:00,2016-04-25 22:30:00,True,152,Celta Vigo,w,155,Granada,1.96923,15.0,2,151,19,13,2.3365,w,1.22595,0.740282,11.0,1,315,22,1,0.740282,1.59,4.36,6.21
La_liga 2015_147_152_2016-05-01 14:00:00,2016-05-01 14:00:00,False,152,Celta Vigo,l,147,Athletic Club,0.470176,5.0,1,208,23,8,0.347,l,0.470176,1.64739,10.0,2,159,25,7,0.90411,4.5,3.84,1.86
