match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
La_liga 2015_143_144_2015-08-22 22:30:00,2015-08-22 22:30:00,False,144,Las Palmas,l,143,Atletico Madrid,0.522515,8.0,0,294,25,1,0.9448,l,0.522515,0.91996,14.0,1,230,30,14,0.91996,16.86,6.78,1.23
La_liga 2015_144_151_2015-08-31 00:30:00,2015-08-31 00:30:00,True,144,Las Palmas,d,151,Levante,0.825401,16.0,0,130,35,10,2.1184000000000003,d,0.825401,0.0685963,3.0,0,297,34,0,0.0685963,1.92,3.47,4.75
La_liga 2015_144_152_2015-09-13 20:15:00,2015-09-13 20:15:00,False,144,Las Palmas,d,152,Celta Vigo,1.29875,9.0,3,376,19,6,0.2532,d,1.29875,3.52742,26.0,3,180,45,20,2.78415,7.3,4.48,1.52
La_liga 2015_144_145_2015-09-20 22:30:00,2015-09-20 22:30:00,True,144,Las Palmas,l,145,Rayo Vallecano,0.401504,8.0,0,155,23,5,0.3018,l,0.401504,1.77993,17.0,1,201,38,5,1.77993,1.9,3.9,4.19
La_liga 2015_138_144_2015-09-24 00:00:00,2015-09-24 00:00:00,True,144,Las Palmas,w,138,Sevilla,1.02387,12.0,2,238,22,2,0.9855,w,1.02387,1.53528,17.0,0,142,39,9,1.53528,3.45,3.58,2.22
La_liga 2015_144_148_2015-09-26 18:00:00,2015-09-26 18:00:00,False,144,Las Palmas,l,148,Barcelona,0.585814,10.0,1,387,31,6,0.0961,l,0.585814,3.47992,18.0,2,140,34,12,2.73665,26.0,12.8,1.11
La_liga 2015_144_156_2015-10-04 00:00:00,2015-10-04 00:00:00,True,144,Las Palmas,l,156,Eibar,0.965753,18.0,0,127,15,8,0.7988,l,0.965753,1.62203,9.0,2,290,33,7,1.62203,2.1,3.36,4.06
La_liga 2015_142_144_2015-10-18 20:15:00,2015-10-18 20:15:00,False,144,Las Palmas,l,142,Getafe,0.443316,16.0,0,217,29,4,0.1244,l,0.443316,2.86431,14.0,4,349,36,8,2.86431,3.86,3.31,2.18
La_liga 2015_144_154_2015-10-25 19:00:00,2015-10-25 19:00:00,True,144,Las Palmas,d,154,Villarreal,0.189007,6.0,0,172,18,1,1.1266,d,0.189007,0.205133,5.0,0,333,39,2,0.205133,3.72,3.42,2.18
La_liga 2015_144_150_2015-10-31 19:00:00,2015-10-31 19:00:00,False,144,Las Palmas,l,150,Real Madrid,0.562561,8.0,1,387,11,6,0.1652,l,0.562561,2.80269,17.0,3,339,32,10,2.80269,26.0,13.0,1.11
La_liga 2015_140_144_2015-11-06 23:30:00,2015-11-06 23:30:00,True,144,Las Palmas,w,140,Real Sociedad,0.802566,8.0,2,210,22,2,1.6439,w,0.802566,0.500075,11.0,0,227,37,8,0.500075,2.74,3.25,2.88
