match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
La_liga 2015_153_154_2015-08-24 00:30:00,2015-08-24 00:30:00,False,154,Villarreal,d,153,Real Betis,1.63096,8.0,1,157,29,6,1.4909,d,1.63096,1.4954,22.0,1,74,32,2,1.4954,2.63,3.34,2.93
La_liga 2015_141_154_2015-08-28 22:30:00,2015-08-28 22:30:00,True,154,Villarreal,w,141,Espanyol,1.59386,14.0,3,198,32,8,2.1344,w,1.59386,0.721424,4.0,1,268,21,0,0.721424,1.6,4.09,6.69
La_liga 2015_154_155_2015-09-13 14:00:00,2015-09-13 14:00:00,False,154,Villarreal,w,155,Granada,1.48742,8.0,3,183,37,6,1.9472000000000005,w,1.48742,0.817524,13.0,1,140,28,1,0.817524,2.24,3.36,3.63
La_liga 2015_147_154_2015-09-20 20:15:00,2015-09-20 20:15:00,True,154,Villarreal,w,147,Athletic Club,1.61474,14.0,3,221,33,8,1.6351,w,0.871459,1.26405,11.0,1,146,17,2,1.26405,2.03,3.43,4.22
La_liga 2015_137_154_2015-09-24 00:00:00,2015-09-24 00:00:00,False,154,Villarreal,w,137,Malaga,0.933564,9.0,1,234,30,5,1.4124,w,0.933564,0.878256,15.0,0,167,39,10,0.878256,2.72,3.33,2.85
La_liga 2015_143_154_2015-09-26 22:30:00,2015-09-26 22:30:00,True,154,Villarreal,w,143,Atletico Madrid,0.871094,5.0,1,256,21,5,1.7675,w,0.871094,0.466414,9.0,0,314,29,6,0.466414,2.96,3.27,2.65
La_liga 2015_151_154_2015-10-04 20:15:00,2015-10-04 20:15:00,False,154,Villarreal,l,151,Levante,0.114789,3.0,0,160,25,1,0.4089,l,0.114789,1.06144,15.0,1,224,25,5,1.06144,1.96,3.46,4.53
La_liga 2015_152_154_2015-10-18 14:00:00,2015-10-18 14:00:00,True,154,Villarreal,l,152,Celta Vigo,0.995361,12.0,1,341,19,4,0.82,l,0.995361,1.62408,13.0,2,129,27,15,1.62408,2.01,3.67,4.0
La_liga 2015_144_154_2015-10-25 19:00:00,2015-10-25 19:00:00,False,154,Villarreal,d,144,Las Palmas,0.205133,5.0,0,333,39,2,1.1821000000000002,d,0.205133,0.189007,6.0,0,172,18,1,0.189007,2.18,3.42,3.72
La_liga 2015_138_154_2015-10-31 21:15:00,2015-10-31 21:15:00,True,154,Villarreal,w,138,Sevilla,1.03337,11.0,2,207,31,10,1.4525,w,1.03337,0.880961,6.0,1,197,25,4,0.880961,2.24,3.53,3.44
La_liga 2015_148_154_2015-11-08 19:00:00,2015-11-08 19:00:00,False,154,Villarreal,l,148,Barcelona,0.278588,5.0,0,309,31,1,0.0545999999999999,l,0.278588,3.0769,20.0,3,181,29,17,2.33362,10.34,5.8,1.33
La_liga 2015_154_156_2015-11-22 19:00:00,2015-11-22 19:00:00,True,154,Villarreal,d,156,Eibar,1.78239,12.0,1,123,26,12,0.8403,d,1.78239,2.61337,17.0,1,274,24,5,1.87009,1.54,4.26,7.41
La_liga 2015_142_154_2015-11-29 15:00:00,2015-11-29 15:00:00,False,154,Villarreal,l,142,Getafe,0.7886,7.0,0,140,33,9,0.6013,l,0.7886,1.67288,11.0,2,241,21,4,1.67288,2.46,3.28,3.25
La_liga 2015_145_154_2015-12-06 19:00:00,2015-12-06 19:00:00,True,154,Villarreal,w,145,Rayo Vallecano,1.60179,14.0,2,223,31,7,2.4604,w,1.60179,0.325638,8.0,1,167,31,1,0.325638,1.58,4.23,6.55
La_liga 2015_150_154_2015-12-13 23:30:00,2015-12-13 23:30:00,True,154,Villarreal,w,150,Real Madrid,0.940499,7.0,1,299,16,3,0.9492,w,0.940499,1.45508,20.0,0,166,23,7,1.45508,5.0,4.29,1.7
