match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
La_liga 2017_158_159_2017-08-18 19:15:00,2017-08-18 19:15:00,False,158,Alaves,l,159,Leganes,0.993213,6.0,0,168,21,4,0.963,l,0.249935,1.32428,16.0,1,180,29,7,1.32428,4.52,3.25,2.03
La_liga 2017_148_158_2017-08-26 17:15:00,2017-08-26 17:15:00,True,158,Alaves,l,148,Barcelona,0.635924,11.0,0,319,18,3,0.2138,l,0.635924,2.68718,23.0,2,173,23,9,1.9439,10.55,5.8,1.33
La_liga 2017_152_158_2017-09-10 17:30:00,2017-09-10 17:30:00,False,158,Alaves,l,152,Celta Vigo,0.491165,5.0,0,360,18,3,0.1413,l,0.491165,2.63491,20.0,1,135,31,10,2.63491,5.4,3.84,1.74
La_liga 2017_154_158_2017-09-17 11:00:00,2017-09-17 11:00:00,True,158,Alaves,l,154,Villarreal,0.487809,16.0,0,270,24,3,0.2248,l,0.487809,2.14034,16.0,3,235,31,9,2.14034,3.31,3.27,2.42
La_liga 2017_139_158_2017-09-20 20:00:00,2017-09-20 20:00:00,False,158,Alaves,l,139,Deportivo La Coruna,0.21606,8.0,0,247,28,2,0.1935,l,0.21606,1.93585,15.0,1,240,26,8,1.93585,4.64,3.53,1.92
La_liga 2017_150_158_2017-09-23 15:15:00,2017-09-23 15:15:00,True,158,Alaves,l,150,Real Madrid,0.703287,8.0,1,305,25,1,0.2387999999999999,l,0.703287,2.7181,21.0,2,155,31,12,2.7181,19.65,8.4,1.18
La_liga 2017_151_158_2017-09-30 17:30:00,2017-09-30 17:30:00,False,158,Alaves,w,151,Levante,2.5346,8.0,2,238,17,2,2.435,w,2.5346,1.02629,13.0,0,169,11,8,1.02629,4.65,3.56,1.91
La_liga 2017_140_158_2017-10-14 17:30:00,2017-10-14 17:30:00,True,158,Alaves,l,140,Real Sociedad,0.544525,8.0,0,384,21,3,0.9637,l,0.544525,0.875381,13.0,2,106,20,5,0.875381,3.52,3.55,2.2
La_liga 2017_153_158_2017-10-21 15:15:00,2017-10-21 15:15:00,False,158,Alaves,l,153,Real Betis,0.618409,7.0,0,364,17,2,1.1556000000000002,l,0.618409,0.783724,12.0,2,143,20,2,0.783724,6.35,4.21,1.6
La_liga 2017_146_158_2017-10-28 12:00:00,2017-10-28 12:00:00,True,158,Alaves,l,146,Valencia,0.629433,16.0,1,244,37,5,0.8212,l,0.629433,1.06744,7.0,2,182,35,2,0.324163,5.94,4.1,1.65
La_liga 2017_141_158_2017-11-04 17:30:00,2017-11-04 17:30:00,True,158,Alaves,w,141,Espanyol,1.01634,17.0,1,285,30,3,1.6026,w,1.01634,0.684307,9.0,0,142,19,7,0.684307,2.96,3.14,2.75
La_liga 2017_142_158_2017-11-18 12:00:00,2017-11-18 12:00:00,False,158,Alaves,l,142,Getafe,0.613023,11.0,1,166,29,1,0.0324,l,0.613023,4.07057,13.0,4,233,22,6,3.32729,5.06,3.5,1.86
La_liga 2017_156_158_2017-11-25 12:00:00,2017-11-25 12:00:00,True,158,Alaves,l,156,Eibar,0.401289,6.0,1,195,22,3,0.637,l,0.401289,1.08957,11.0,2,120,30,4,1.08957,2.72,3.08,3.05
La_liga 2017_158_223_2017-12-04 20:00:00,2017-12-04 20:00:00,False,158,Alaves,w,223,Girona,1.71192,9.0,3,304,22,3,2.5067,w,0.968639,0.421084,11.0,2,218,25,4,0.421084,6.59,3.94,1.63
La_liga 2017_144_158_2017-12-08 20:00:00,2017-12-08 20:00:00,True,158,Alaves,w,144,Las Palmas,3.731,22.0,2,378,37,4,2.9424,w,3.731,0.279196,6.0,0,133,21,6,0.279196,2.32,3.33,3.45
La_liga 2017_143_158_2017-12-16 19:45:00,2017-12-16 19:45:00,False,158,Alaves,l,143,Atletico Madrid,0.566869,11.0,0,294,24,2,0.8488,l,0.566869,1.04076,10.0,1,149,33,5,1.04076,18.25,6.8,1.22
La_liga 2017_137_158_2017-12-21 20:30:00,2017-12-21 20:30:00,True,158,Alaves,w,137,Malaga,2.132,10.0,1,243,28,4,2.7202,w,2.132,0.299907,10.0,0,172,33,3,0.299907,2.13,3.35,3.97
La_liga 2017_147_158_2018-01-07 17:30:00,2018-01-07 17:30:00,False,158,Alaves,l,147,Athletic Club,0.232281,8.0,0,236,19,1,0.09,l,0.232281,2.55044,14.0,2,149,34,9,1.80716,6.26,3.9,1.66
La_liga 2017_138_158_2018-01-14 15:15:00,2018-01-14 15:15:00,True,158,Alaves,w,138,Sevilla,0.607306,12.0,1,291,27,3,1.1235,w,0.607306,0.799343,14.0,0,140,30,13,0.799343,3.47,3.42,2.28
La_liga 2017_158_159_2018-01-21 11:00:00,2018-01-21 11:00:00,True,158,Alaves,d,159,Leganes,1.75269,14.0,2,169,14,4,1.6224,d,1.75269,1.41663,8.0,2,152,23,3,0.673352,2.2,3.1,3.97
La_liga 2017_148_158_2018-01-28 19:45:00,2018-01-28 19:45:00,False,158,Alaves,l,148,Barcelona,1.03397,7.0,1,334,23,3,0.5235,l,1.03397,2.08908,18.0,2,83,23,15,2.08908,24.5,13.4,1.1
La_liga 2017_152_158_2018-02-03 17:30:00,2018-02-03 17:30:00,True,158,Alaves,w,152,Celta Vigo,1.20482,9.0,2,430,30,5,1.2836,w,1.20482,1.29603,16.0,1,104,20,7,1.29603,2.63,3.37,2.87
La_liga 2017_154_158_2018-02-10 12:00:00,2018-02-10 12:00:00,False,158,Alaves,w,154,Villarreal,0.786699,5.0,2,246,18,3,0.5321,w,0.786699,1.9855,27.0,1,80,28,11,1.9855,5.69,3.81,1.7
La_liga 2017_139_158_2018-02-17 17:30:00,2018-02-17 17:30:00,True,158,Alaves,w,139,Deportivo La Coruna,0.591477,14.0,1,240,29,7,1.6907,w,0.591477,0.192999,5.0,0,184,25,6,0.192999,1.88,3.56,4.72
La_liga 2017_150_158_2018-02-24 15:15:00,2018-02-24 15:15:00,False,158,Alaves,l,150,Real Madrid,0.615652,11.0,0,326,26,6,0.1093,l,0.615652,3.51278,25.0,4,179,27,12,2.7695,17.9,9.83,1.15
La_liga 2017_151_158_2018-03-01 20:30:00,2018-03-01 20:30:00,True,158,Alaves,w,151,Levante,2.28032,15.0,1,98,31,8,2.7608,w,1.53705,0.290231,6.0,0,222,22,3,0.290231,1.87,3.45,5.0
La_liga 2017_140_158_2018-03-04 17:30:00,2018-03-04 17:30:00,False,158,Alaves,l,140,Real Sociedad,0.370822,3.0,1,364,31,2,0.2573,l,0.370822,1.93124,14.0,2,177,20,8,1.93124,5.59,3.98,1.68
La_liga 2017_153_158_2018-03-12 20:00:00,2018-03-12 20:00:00,True,158,Alaves,l,153,Real Betis,0.783255,9.0,1,253,31,7,0.6542,l,0.783255,1.71568,10.0,3,183,16,3,1.71568,2.16,3.46,3.66
La_liga 2017_146_158_2018-03-17 15:15:00,2018-03-17 15:15:00,False,158,Alaves,l,146,Valencia,1.24894,16.0,1,371,27,4,0.5394,l,1.24894,2.69263,24.0,3,178,18,13,2.69263,7.73,4.64,1.47
La_liga 2017_141_158_2018-04-01 11:00:00,2018-04-01 11:00:00,False,158,Alaves,d,141,Espanyol,0.537352,13.0,0,261,22,3,1.1918,d,0.537352,0.638324,12.0,0,161,19,5,0.638324,4.46,3.25,2.03
La_liga 2017_142_158_2018-04-07 11:00:00,2018-04-07 11:00:00,True,158,Alaves,w,142,Getafe,1.48909,11.0,2,133,25,2,1.8978,w,1.48909,0.881652,5.0,0,116,26,2,0.138374,2.55,3.02,3.31
La_liga 2017_156_158_2018-04-15 10:00:00,2018-04-15 10:00:00,False,158,Alaves,w,156,Eibar,0.118099,2.0,1,204,9,0,0.328,w,0.118099,1.2615,21.0,0,90,14,3,1.2615,5.27,3.44,1.83
La_liga 2017_158_223_2018-04-19 17:30:00,2018-04-19 17:30:00,True,158,Alaves,l,223,Girona,0.908885,11.0,1,193,16,6,0.6542,l,0.908885,1.7941,14.0,2,198,18,3,1.05082,2.44,3.18,3.33
La_liga 2017_144_158_2018-04-22 16:30:00,2018-04-22 16:30:00,False,158,Alaves,w,144,Las Palmas,1.59228,10.0,4,407,42,5,2.3902,w,1.59228,0.349971,12.0,0,162,42,1,0.349971,2.44,3.34,3.17
La_liga 2017_143_158_2018-04-29 15:00:00,2018-04-29 15:00:00,True,158,Alaves,l,143,Atletico Madrid,0.52622,7.0,0,188,22,9,0.1650999999999999,l,0.52622,2.56109,14.0,1,124,23,16,1.07453,3.5,3.19,2.35
La_liga 2017_137_158_2018-05-06 11:00:00,2018-05-06 11:00:00,False,158,Alaves,w,137,Malaga,1.75049,13.0,3,253,19,5,1.4298000000000002,w,1.75049,1.66977,16.0,0,205,27,5,1.66977,3.31,3.17,2.45
La_liga 2017_147_158_2018-05-12 17:30:00,2018-05-12 17:30:00,True,158,Alaves,w,147,Athletic Club,0.335029,4.0,3,245,30,2,0.6396999999999999,w,0.335029,1.03761,13.0,1,162,29,9,1.03761,2.62,3.18,3.04
La_liga 2017_138_158_2018-05-19 00:00:00,2018-05-19 00:00:00,False,158,Alaves,l,138,Sevilla,1.08698,10.0,0,366,17,1,0.5012,l,1.08698,2.45526,20.0,1,193,27,23,2.45526,7.32,5.22,1.43
