match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
La_liga 2017_137_156_2017-08-21 21:00:00,2017-08-21 21:00:00,True,137,Malaga,l,156,Eibar,0.913442,10.0,0,159,17,4,0.8563000000000001,l,0.913442,1.4766,13.0,1,261,26,8,1.4766,2.24,3.36,3.49
La_liga 2017_137_223_2017-08-26 19:15:00,2017-08-26 19:15:00,False,137,Malaga,l,223,Girona,0.325871,7.0,0,179,23,3,0.2743,l,0.325871,1.66954,15.0,1,284,40,3,1.66954,3.75,3.37,2.19
La_liga 2017_137_144_2017-09-11 20:00:00,2017-09-11 20:00:00,True,137,Malaga,l,144,Las Palmas,0.904978,14.0,1,243,35,1,0.6441,l,0.904978,1.89906,10.0,3,219,21,7,1.89906,2.06,3.67,3.83
La_liga 2017_137_143_2017-09-16 19:45:00,2017-09-16 19:45:00,False,137,Malaga,l,143,Atletico Madrid,0.438352,9.0,0,355,26,2,0.4561,l,0.438352,1.54645,17.0,1,196,27,8,1.54645,16.0,6.4,1.24
La_liga 2017_137_146_2017-09-19 19:00:00,2017-09-19 19:00:00,False,137,Malaga,l,146,Valencia,0.817228,11.0,0,282,19,4,0.1175,l,0.817228,3.40858,16.0,5,227,20,9,3.40858,6.67,4.38,1.56
La_liga 2017_137_147_2017-09-23 17:30:00,2017-09-23 17:30:00,True,137,Malaga,d,147,Athletic Club,2.36068,15.0,3,275,28,7,1.6987,d,2.36068,1.93264,8.0,3,221,25,4,1.18936,2.99,3.32,2.61
La_liga 2017_137_138_2017-09-30 15:15:00,2017-09-30 15:15:00,False,137,Malaga,l,138,Sevilla,0.429422,11.0,0,322,24,2,0.1675,l,0.429422,2.50129,12.0,2,162,31,7,1.75801,9.78,5.7,1.35
La_liga 2017_137_159_2017-10-15 17:30:00,2017-10-15 17:30:00,True,137,Malaga,l,159,Leganes,1.13838,13.0,0,155,24,3,0.7341,l,1.13838,1.93807,19.0,2,221,34,2,1.93807,2.39,3.18,3.49
La_liga 2017_137_148_2017-10-21 19:45:00,2017-10-21 19:45:00,False,137,Malaga,l,148,Barcelona,0.629202,13.0,0,401,16,1,0.3332,l,0.629202,2.19062,12.0,2,185,25,15,2.19062,26.17,17.77,1.08
La_liga 2017_137_152_2017-10-29 19:45:00,2017-10-29 19:45:00,True,137,Malaga,w,152,Celta Vigo,2.03731,15.0,2,379,29,6,2.2034,w,1.29403,1.07069,10.0,1,126,18,2,1.07069,3.07,3.62,2.4
La_liga 2017_137_154_2017-11-05 17:30:00,2017-11-05 17:30:00,False,137,Malaga,l,154,Villarreal,0.594488,10.0,0,267,25,4,0.7944,l,0.594488,1.19462,14.0,2,160,28,6,1.19462,6.09,4.37,1.6
La_liga 2017_137_139_2017-11-19 11:00:00,2017-11-19 11:00:00,True,137,Malaga,w,139,Deportivo La Coruna,1.7392,14.0,3,263,31,4,1.7597,w,1.7392,1.29498,12.0,2,212,25,5,1.29498,2.37,3.39,3.3
La_liga 2017_137_150_2017-11-25 15:15:00,2017-11-25 15:15:00,False,137,Malaga,l,150,Real Madrid,0.540736,9.0,2,289,22,5,0.0650999999999999,l,0.540736,3.0172,16.0,3,206,28,8,2.12065,25.02,15.37,1.09
La_liga 2017_137_151_2017-12-01 20:00:00,2017-12-01 20:00:00,True,137,Malaga,d,151,Levante,0.863467,18.0,0,129,26,9,1.6631999999999998,d,0.863467,0.444647,3.0,0,285,18,2,0.444647,1.78,3.8,5.12
La_liga 2017_137_140_2017-12-10 11:00:00,2017-12-10 11:00:00,False,137,Malaga,w,140,Real Sociedad,1.85567,9.0,2,282,23,1,1.5293,w,0.245452,1.71766,18.0,0,129,21,20,1.71766,6.6,4.64,1.53
La_liga 2017_137_153_2017-12-18 20:00:00,2017-12-18 20:00:00,True,137,Malaga,l,153,Real Betis,1.07205,18.0,0,260,26,4,0.6268,l,1.07205,1.97464,10.0,2,183,25,3,1.97464,2.07,3.62,3.83
La_liga 2017_137_158_2017-12-21 20:30:00,2017-12-21 20:30:00,False,137,Malaga,l,158,Alaves,0.299907,10.0,0,172,33,3,0.1717,l,0.299907,2.132,10.0,1,243,28,4,2.132,3.97,3.35,2.13
La_liga 2017_137_141_2018-01-08 20:00:00,2018-01-08 20:00:00,True,137,Malaga,l,141,Espanyol,1.10377,17.0,0,149,27,6,2.1337,l,1.10377,0.300209,6.0,1,230,14,3,0.300209,2.54,3.11,3.28
La_liga 2017_137_142_2018-01-12 20:00:00,2018-01-12 20:00:00,False,137,Malaga,l,142,Getafe,0.378534,9.0,0,123,20,2,0.4714,l,0.378534,1.37242,7.0,1,244,27,5,1.37242,5.44,3.51,1.81
La_liga 2017_137_156_2018-01-22 20:00:00,2018-01-22 20:00:00,False,137,Malaga,d,156,Eibar,1.36627,10.0,1,262,18,2,1.2837,d,1.36627,1.43961,15.0,1,81,23,3,1.43961,6.31,3.72,1.68
La_liga 2017_137_223_2018-01-27 17:30:00,2018-01-27 17:30:00,True,137,Malaga,d,223,Girona,0.717136,7.0,0,293,36,3,1.3786,d,0.717136,0.694387,11.0,0,206,22,2,0.694387,2.36,3.32,3.33
La_liga 2017_137_144_2018-02-05 20:00:00,2018-02-05 20:00:00,False,137,Malaga,l,144,Las Palmas,0.838368,9.0,0,298,27,1,1.9555,l,0.838368,0.305749,11.0,1,120,14,5,0.305749,3.33,3.4,2.32
La_liga 2017_137_143_2018-02-10 15:15:00,2018-02-10 15:15:00,True,137,Malaga,l,143,Atletico Madrid,0.412228,13.0,0,224,34,1,1.1114,l,0.412228,0.507754,5.0,1,190,28,2,0.507754,7.11,3.82,1.61
La_liga 2017_137_146_2018-02-17 19:45:00,2018-02-17 19:45:00,True,137,Malaga,l,146,Valencia,1.14716,9.0,1,271,37,1,1.277,l,1.14716,1.18698,10.0,2,73,24,4,0.443703,3.87,3.44,2.1
La_liga 2017_137_147_2018-02-25 15:15:00,2018-02-25 15:15:00,False,137,Malaga,l,147,Athletic Club,1.38648,8.0,1,217,25,0,2.1024000000000003,l,0.6432,0.620357,8.0,2,162,27,4,0.620357,5.8,3.66,1.72
La_liga 2017_137_138_2018-02-28 18:30:00,2018-02-28 18:30:00,True,137,Malaga,l,138,Sevilla,0.295635,8.0,0,224,25,2,0.6714,l,0.295635,0.896695,6.0,1,205,29,8,0.896695,3.53,3.41,2.23
La_liga 2017_137_159_2018-03-03 17:30:00,2018-03-03 17:30:00,False,137,Malaga,l,159,Leganes,0.521384,4.0,0,244,33,1,0.8183,l,0.521384,1.0368,10.0,2,157,19,1,1.0368,3.98,3.09,2.22
La_liga 2017_137_148_2018-03-10 19:45:00,2018-03-10 19:45:00,True,137,Malaga,l,148,Barcelona,0.541391,6.0,0,489,23,3,0.2509,l,0.541391,2.42399,20.0,2,115,25,13,2.42399,13.92,6.14,1.27
La_liga 2017_137_152_2018-03-18 17:30:00,2018-03-18 17:30:00,False,137,Malaga,d,152,Celta Vigo,0.483684,5.0,0,233,37,3,0.5506,d,0.483684,1.38296,9.0,0,199,31,8,1.38296,7.35,4.29,1.53
La_liga 2017_137_154_2018-04-01 17:30:00,2018-04-01 17:30:00,True,137,Malaga,w,154,Villarreal,1.53768,13.0,1,283,29,3,2.4017,w,0.79479,0.374247,11.0,0,218,27,7,0.374247,3.72,3.33,2.19
La_liga 2017_137_139_2018-04-06 19:00:00,2018-04-06 19:00:00,False,137,Malaga,l,139,Deportivo La Coruna,0.66021,11.0,2,194,25,4,0.28,l,0.66021,2.38294,14.0,3,208,30,6,1.63966,4.01,3.36,2.09
La_liga 2017_137_150_2018-04-15 18:45:00,2018-04-15 18:45:00,True,137,Malaga,l,150,Real Madrid,1.18107,13.0,1,385,29,2,0.6124,l,1.18107,2.29821,16.0,2,233,21,18,2.29821,10.76,5.93,1.31
La_liga 2017_137_151_2018-04-19 19:30:00,2018-04-19 19:30:00,False,137,Malaga,l,151,Levante,0.547059,10.0,0,291,32,5,0.6399,l,0.547059,1.28691,11.0,1,261,20,11,1.28691,4.92,3.56,1.85
La_liga 2017_137_140_2018-04-22 14:15:00,2018-04-22 14:15:00,True,137,Malaga,w,140,Real Sociedad,1.01179,4.0,2,365,14,3,1.1324999999999998,w,1.01179,1.24873,14.0,0,180,15,6,1.24873,5.55,3.63,1.76
