match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
La_liga 2017_144_146_2017-08-18 21:15:00,2017-08-18 21:15:00,True,146,Valencia,w,144,Las Palmas,1.60532,22.0,1,307,31,9,2.4372,w,1.60532,0.219158,5.0,0,233,19,4,0.219158,1.78,4.01,4.83
La_liga 2017_146_150_2017-08-27 21:15:00,2017-08-27 21:15:00,False,146,Valencia,d,150,Real Madrid,0.90594,7.0,2,308,21,4,0.1629,d,0.90594,3.38691,22.0,2,160,17,15,3.38691,17.0,10.0,1.16
La_liga 2017_143_146_2017-09-09 15:15:00,2017-09-09 15:15:00,True,146,Valencia,d,143,Atletico Madrid,0.702521,11.0,0,271,27,4,1.3732000000000002,d,0.702521,0.638366,13.0,0,207,20,10,0.638366,3.56,3.38,2.26
La_liga 2017_146_151_2017-09-16 12:00:00,2017-09-16 12:00:00,False,146,Valencia,d,151,Levante,1.8854,13.0,1,163,23,6,2.1369,d,1.8854,0.939192,9.0,1,252,25,3,0.939192,2.47,3.35,3.15
La_liga 2017_137_146_2017-09-19 19:00:00,2017-09-19 19:00:00,True,146,Valencia,w,137,Malaga,3.40858,16.0,5,227,20,9,2.8259000000000003,w,3.40858,0.817228,11.0,0,282,19,4,0.817228,1.56,4.38,6.67
La_liga 2017_140_146_2017-09-24 19:45:00,2017-09-24 19:45:00,False,146,Valencia,w,140,Real Sociedad,1.87637,13.0,3,229,10,9,1.9095,w,1.87637,1.25293,18.0,2,201,21,6,1.25293,3.27,3.62,2.28
La_liga 2017_146_147_2017-10-01 17:30:00,2017-10-01 17:30:00,True,146,Valencia,w,147,Athletic Club,2.6265,10.0,3,275,24,9,1.3852,w,1.88322,2.60881,16.0,2,190,44,5,2.60881,1.93,3.74,4.23
La_liga 2017_146_153_2017-10-15 19:45:00,2017-10-15 19:45:00,False,146,Valencia,w,153,Real Betis,1.95165,13.0,6,318,21,6,1.1733,w,1.95165,2.25048,13.0,3,218,27,12,1.5072,2.71,3.62,2.67
La_liga 2017_138_146_2017-10-21 17:30:00,2017-10-21 17:30:00,True,146,Valencia,w,138,Sevilla,1.72867,18.0,4,207,16,11,2.006,w,1.72867,0.879816,18.0,0,238,29,8,0.879816,1.99,3.86,3.86
La_liga 2017_146_158_2017-10-28 12:00:00,2017-10-28 12:00:00,False,146,Valencia,w,158,Alaves,1.06744,7.0,2,182,35,2,1.8544,w,0.324163,0.629433,16.0,1,244,37,5,0.629433,1.65,4.1,5.94
La_liga 2017_146_159_2017-11-04 12:00:00,2017-11-04 12:00:00,True,146,Valencia,w,159,Leganes,2.31415,13.0,3,228,27,3,2.0943,w,1.57088,1.32036,13.0,0,389,33,6,1.32036,1.53,4.4,7.23
La_liga 2017_141_146_2017-11-19 15:15:00,2017-11-19 15:15:00,False,146,Valencia,w,141,Espanyol,1.27213,7.0,2,237,32,0,1.5008,w,1.27213,1.14765,12.0,0,308,38,8,1.14765,2.33,3.48,3.29
La_liga 2017_146_148_2017-11-26 19:45:00,2017-11-26 19:45:00,True,146,Valencia,d,148,Barcelona,1.30897,8.0,1,367,30,5,1.7714,d,1.30897,0.904581,12.0,1,158,35,12,0.904581,4.26,3.99,1.87
