match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
La_liga 2018_142_150_2018-08-19 23:15:00,2018-08-19 23:15:00,False,142,Getafe,l,150,Real Madrid,0.188446,4.0,0,539,40,2,0.4149,l,0.188446,1.16219,10.0,2,112,27,7,1.16219,17.47,7.36,1.2
La_liga 2018_142_156_2018-08-24 21:15:00,2018-08-24 21:15:00,True,142,Getafe,w,156,Eibar,1.74287,7.0,2,171,25,4,2.5028,w,1.74287,0.529404,9.0,0,70,29,4,0.529404,2.01,3.35,4.43
La_liga 2018_142_231_2018-08-31 21:00:00,2018-08-31 21:00:00,True,142,Getafe,d,231,Real Valladolid,1.0807,12.0,0,168,37,6,1.2242000000000002,d,1.0807,1.09505,7.0,0,179,24,0,1.09505,1.93,3.18,5.22
La_liga 2018_138_142_2018-09-16 18:45:00,2018-09-16 18:45:00,False,142,Getafe,w,138,Sevilla,2.12717,10.0,2,295,22,4,2.162,w,2.12717,1.08255,15.0,0,107,26,20,1.08255,6.65,4.18,1.56
La_liga 2018_142_143_2018-09-22 16:30:00,2018-09-22 16:30:00,True,142,Getafe,l,143,Atletico Madrid,0.580433,11.0,0,321,34,6,0.5642,l,0.580433,1.4765,7.0,2,175,18,8,1.4765,5.22,3.32,1.86
La_liga 2018_142_158_2018-09-27 18:00:00,2018-09-27 18:00:00,False,142,Getafe,d,158,Alaves,1.20669,13.0,1,112,35,6,0.9826,d,1.20669,1.65223,15.0,1,129,21,4,0.908948,2.89,3.02,2.84
La_liga 2018_142_152_2018-10-01 19:00:00,2018-10-01 19:00:00,False,142,Getafe,d,152,Celta Vigo,1.02662,12.0,1,223,27,7,1.8862,d,1.02662,0.481181,8.0,1,141,16,3,0.481181,4.17,3.38,2.02
La_liga 2018_142_151_2018-10-06 14:15:00,2018-10-06 14:15:00,True,142,Getafe,l,151,Levante,1.04946,15.0,0,149,29,11,1.4741,l,1.04946,0.902661,12.0,1,152,25,5,0.902661,1.7,3.91,5.41
La_liga 2018_142_145_2018-10-21 10:00:00,2018-10-21 10:00:00,False,142,Getafe,w,145,Rayo Vallecano,0.498066,5.0,2,217,32,1,1.4878999999999998,w,0.498066,0.320919,10.0,1,78,23,2,0.320919,2.61,3.26,3.0
La_liga 2018_142_153_2018-10-28 10:00:00,2018-10-28 10:00:00,True,142,Getafe,w,153,Real Betis,2.5306,16.0,2,351,34,8,2.7175,w,2.5306,0.554027,7.0,0,80,20,5,0.554027,2.48,3.12,3.32
La_liga 2018_142_232_2018-11-04 17:30:00,2018-11-04 17:30:00,False,142,Getafe,d,232,SD Huesca,0.470822,8.0,1,137,17,7,0.6537,d,0.470822,1.31412,18.0,1,85,20,4,1.31412,2.27,3.22,3.65
La_liga 2018_142_146_2018-11-10 15:15:00,2018-11-10 15:15:00,True,142,Getafe,l,146,Valencia,1.61368,17.0,0,321,31,4,0.9297,l,1.61368,2.19428,7.0,1,122,17,3,1.451,2.91,3.1,2.78
La_liga 2018_142_147_2018-11-25 11:00:00,2018-11-25 11:00:00,False,142,Getafe,d,147,Athletic Club,1.8113,15.0,1,281,20,4,2.1949,d,1.8113,0.75771,8.0,1,116,23,4,0.75771,3.9,3.37,2.11
La_liga 2018_141_142_2018-12-01 17:30:00,2018-12-01 17:30:00,True,142,Getafe,w,141,Espanyol,1.33323,14.0,3,237,28,5,1.6464,w,1.33323,0.97845,8.0,0,143,26,6,0.97845,2.42,3.09,3.47
La_liga 2018_142_159_2018-12-07 20:00:00,2018-12-07 20:00:00,False,142,Getafe,d,159,Leganes,1.10842,6.0,1,267,19,1,1.0703,d,1.10842,1.49188,17.0,1,113,26,8,1.49188,3.04,2.99,2.76
