match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
La_liga 2019_157_159_2019-08-17 20:00:00,2019-08-17 20:00:00,True,159,Leganes,l,157,Osasuna,1.26802,13.0,0,167,26,7,2.383,l,1.26802,0.188265,4.0,1,177,18,2,0.188265,2.1,3.21,4.13
La_liga 2019_143_159_2019-08-25 18:00:00,2019-08-25 18:00:00,True,159,Leganes,l,143,Atletico Madrid,0.379878,10.0,0,293,27,10,0.4832999999999999,l,0.379878,1.39426,6.0,1,144,14,7,1.39426,5.62,3.31,1.81
La_liga 2019_153_159_2019-08-31 19:00:00,2019-08-31 19:00:00,False,159,Leganes,l,153,Real Betis,1.44559,19.0,1,269,18,5,0.6577999999999999,l,1.44559,2.52444,17.0,2,85,21,16,2.52444,4.72,3.22,1.98
La_liga 2019_154_159_2019-09-14 14:00:00,2019-09-14 14:00:00,True,159,Leganes,l,154,Villarreal,0.399916,10.0,0,288,16,6,0.2919,l,0.399916,1.83013,8.0,3,229,21,5,1.83013,2.58,3.23,3.02
La_liga 2019_146_159_2019-09-22 14:00:00,2019-09-22 14:00:00,False,159,Leganes,d,146,Valencia,1.52139,13.0,1,301,26,3,1.2285,d,1.52139,1.66574,13.0,1,153,17,5,0.922459,6.49,3.98,1.6
La_liga 2019_147_159_2019-09-25 17:00:00,2019-09-25 17:00:00,True,159,Leganes,d,147,Athletic Club,0.496204,7.0,1,343,23,4,0.5708,d,0.496204,1.29281,9.0,1,156,31,2,0.549662,2.89,2.99,2.86
La_liga 2019_155_159_2019-09-28 16:30:00,2019-09-28 16:30:00,False,159,Leganes,l,155,Granada,0.989332,15.0,0,148,20,2,1.5697,l,0.989332,0.718298,11.0,1,180,25,6,0.718298,3.44,3.15,2.37
La_liga 2019_151_159_2019-10-05 12:00:00,2019-10-05 12:00:00,True,159,Leganes,l,151,Levante,3.28469,25.0,1,171,26,7,2.7502,l,2.48489,1.08538,9.0,2,258,12,4,0.342101,1.99,3.5,4.18
La_liga 2019_142_159_2019-10-19 17:30:00,2019-10-19 17:30:00,False,159,Leganes,l,142,Getafe,0.372249,7.0,0,126,22,5,0.6174,l,0.372249,1.0435,5.0,2,151,36,1,1.0435,5.24,3.31,1.86
La_liga 2019_159_239_2019-10-26 15:00:00,2019-10-26 15:00:00,True,159,Leganes,w,239,Mallorca,1.7617,9.0,1,239,28,1,2.1691000000000003,w,1.7617,0.858516,9.0,0,168,18,3,0.858516,1.81,3.56,5.05
