match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
La_liga 2020_157_261_2020-09-12 19:00:00,2020-09-12 19:00:00,True,261,Cadiz,l,157,Osasuna,0.600934,12.0,0,140,21,4,1.246,l,0.600934,0.633286,6.0,2,182,27,5,0.633286,2.87,3.04,2.86
La_liga 2020_232_261_2020-09-20 14:00:00,2020-09-20 14:00:00,False,261,Cadiz,w,232,SD Huesca,1.50522,6.0,2,408,34,1,2.692,w,1.50522,0.223846,4.0,0,103,28,0,0.223846,4.07,2.99,2.21
La_liga 2020_138_261_2020-09-27 19:00:00,2020-09-27 19:00:00,True,261,Cadiz,l,138,Sevilla,1.0983,12.0,1,501,16,3,0.6369999999999999,l,1.0983,2.2102,14.0,3,79,23,13,2.2102,5.52,3.38,1.83
La_liga 2020_147_261_2020-10-01 17:00:00,2020-10-01 17:00:00,False,261,Cadiz,w,147,Athletic Club,0.263675,3.0,1,243,21,4,0.9416,w,0.263675,0.545027,13.0,0,66,15,5,0.545027,7.04,3.83,1.58
La_liga 2020_155_261_2020-10-04 16:30:00,2020-10-04 16:30:00,True,261,Cadiz,d,155,Granada,1.09095,14.0,1,248,26,1,1.5995,d,1.09095,0.820558,13.0,1,140,35,4,0.820558,3.14,3.02,2.69
La_liga 2020_150_261_2020-10-17 16:30:00,2020-10-17 16:30:00,False,261,Cadiz,w,150,Real Madrid,1.768,14.0,1,330,14,2,1.8448,w,1.768,1.1359,14.0,0,78,12,10,1.1359,13.52,7.08,1.23
La_liga 2020_154_261_2020-10-25 15:00:00,2020-10-25 15:00:00,True,261,Cadiz,d,154,Villarreal,0.20914,5.0,0,489,20,4,0.6477999999999999,d,0.20914,0.752296,7.0,0,89,18,4,0.752296,3.6,3.39,2.23
La_liga 2020_156_261_2020-10-30 20:00:00,2020-10-30 20:00:00,False,261,Cadiz,w,156,Eibar,0.932416,6.0,2,348,16,3,1.8337,w,0.932416,0.466935,9.0,0,75,16,3,0.466935,3.38,2.86,2.65
La_liga 2020_143_261_2020-11-07 20:00:00,2020-11-07 20:00:00,False,261,Cadiz,l,143,Atletico Madrid,0.395983,10.0,0,475,21,1,0.1574,l,0.395983,2.62556,17.0,4,194,21,8,2.62556,11.0,4.36,1.42
La_liga 2020_140_261_2020-11-22 15:15:00,2020-11-22 15:15:00,True,261,Cadiz,l,140,Real Sociedad,0.0824748,2.0,0,323,27,0,0.1343,l,0.0824748,1.90588,14.0,1,100,23,4,1.90588,4.42,3.93,1.84
La_liga 2020_207_261_2020-11-28 13:00:00,2020-11-28 13:00:00,False,261,Cadiz,d,207,Elche,0.678171,7.0,1,270,29,1,1.9867,d,0.678171,0.0867292,4.0,1,247,22,2,0.0867292,2.54,2.95,3.2
