match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
La_liga 2020_157_261_2020-09-12 19:00:00,2020-09-12 19:00:00,False,157,Osasuna,w,261,Cadiz,0.633286,6.0,2,182,27,5,1.3399,w,0.633286,0.600934,12.0,0,140,21,4,0.600934,2.86,3.04,2.87
La_liga 2020_142_157_2020-09-19 16:30:00,2020-09-19 16:30:00,False,157,Osasuna,l,142,Getafe,0.486466,10.0,0,175,14,3,1.0509,l,0.486466,0.702715,7.0,1,148,24,2,0.702715,4.4,3.24,2.02
La_liga 2020_151_157_2020-09-27 10:00:00,2020-09-27 10:00:00,True,157,Osasuna,l,151,Levante,0.724471,9.0,1,227,23,1,0.1314,l,0.724471,2.99435,11.0,3,120,20,8,2.25108,2.3,3.43,3.25
La_liga 2020_152_157_2020-10-04 10:00:00,2020-10-04 10:00:00,True,157,Osasuna,w,152,Celta Vigo,1.12188,14.0,2,250,35,6,2.1056,w,1.12188,0.360866,9.0,0,116,21,8,0.360866,2.69,3.14,3.02
La_liga 2020_156_157_2020-10-18 10:00:00,2020-10-18 10:00:00,False,157,Osasuna,d,156,Eibar,1.2646,8.0,0,132,22,6,2.2068000000000003,d,1.2646,0.371361,10.0,0,135,13,3,0.371361,3.01,3.12,2.71
La_liga 2020_147_157_2020-10-24 16:30:00,2020-10-24 16:30:00,True,157,Osasuna,w,147,Athletic Club,0.989319,7.0,1,287,26,3,1.8271,w,0.246042,0.5791,13.0,0,145,22,5,0.5791,3.42,3.0,2.52
La_liga 2020_143_157_2020-10-31 17:30:00,2020-10-31 17:30:00,True,157,Osasuna,l,143,Atletico Madrid,1.42768,8.0,1,331,20,2,0.3480999999999999,l,1.42768,3.06286,11.0,3,228,22,9,1.5763,5.57,3.38,1.82
La_liga 2020_138_157_2020-11-07 17:30:00,2020-11-07 17:30:00,False,157,Osasuna,l,138,Sevilla,0.499107,10.0,0,376,34,5,0.6478,l,0.499107,1.151,9.0,1,121,16,3,0.407718,7.15,4.26,1.54
La_liga 2020_157_232_2020-11-20 20:00:00,2020-11-20 20:00:00,True,157,Osasuna,d,232,SD Huesca,0.878778,18.0,1,221,25,7,1.3508,d,0.878778,0.807899,6.0,1,238,22,1,0.807899,2.43,3.11,3.45
La_liga 2020_148_157_2020-11-29 13:00:00,2020-11-29 13:00:00,False,157,Osasuna,l,148,Barcelona,1.56118,10.0,0,483,23,3,0.1984,l,1.56118,3.91416,20.0,4,168,13,17,3.91416,11.95,6.62,1.25
La_liga 2020_153_157_2020-12-06 15:15:00,2020-12-06 15:15:00,True,157,Osasuna,l,153,Real Betis,0.366687,10.0,0,218,26,6,0.3685,l,0.366687,1.52162,12.0,2,193,22,6,1.52162,2.75,3.38,2.76
La_liga 2020_157_231_2020-12-11 20:00:00,2020-12-11 20:00:00,False,157,Osasuna,l,231,Real Valladolid,1.33403,13.0,2,189,25,7,0.9526,l,1.33403,1.87748,11.0,3,199,17,5,1.1342,3.27,3.02,2.6
La_liga 2020_154_157_2020-12-19 17:30:00,2020-12-19 17:30:00,True,157,Osasuna,l,154,Villarreal,0.925068,6.0,1,338,25,0,0.2405,l,0.181791,2.79417,13.0,3,125,17,11,2.79417,3.77,3.42,2.15
La_liga 2020_157_207_2020-12-22 16:30:00,2020-12-22 16:30:00,False,157,Osasuna,d,207,Elche,1.69506,15.0,2,453,33,10,1.6874999999999998,d,1.69506,1.25398,7.0,2,140,13,6,1.25398,2.47,3.05,3.45
La_liga 2020_157_158_2020-12-31 15:15:00,2020-12-31 15:15:00,True,157,Osasuna,d,158,Alaves,0.318257,8.0,1,278,17,2,0.4058,d,0.318257,1.35028,15.0,1,104,11,0,0.607003,2.42,3.33,3.24
La_liga 2020_140_157_2021-01-03 17:30:00,2021-01-03 17:30:00,False,157,Osasuna,d,140,Real Sociedad,0.609915,6.0,1,250,19,0,1.061,d,0.609915,0.78536,8.0,1,124,19,2,0.78536,6.55,4.25,1.57
La_liga 2020_150_157_2021-01-09 20:00:00,2021-01-09 20:00:00,True,157,Osasuna,d,150,Real Madrid,0.589148,8.0,0,414,28,5,1.4723000000000002,d,0.589148,0.42235,9.0,0,172,16,13,0.42235,7.18,4.49,1.51
La_liga 2020_155_157_2021-01-12 18:00:00,2021-01-12 18:00:00,False,157,Osasuna,l,155,Granada,0.624174,15.0,0,123,28,5,1.0859,l,0.624174,0.831007,9.0,2,204,16,1,0.831007,3.65,3.12,2.33
La_liga 2020_146_157_2021-01-21 18:00:00,2021-01-21 18:00:00,False,157,Osasuna,d,146,Valencia,1.63527,14.0,1,348,23,5,2.4087,d,1.63527,0.439791,10.0,1,178,17,7,0.439791,3.8,3.54,2.1
La_liga 2020_155_157_2021-01-24 13:00:00,2021-01-24 13:00:00,True,157,Osasuna,w,155,Granada,1.88102,7.0,3,128,15,5,2.4056,w,1.88102,0.592689,12.0,1,137,14,7,0.592689,2.58,3.08,3.22
La_liga 2020_153_157_2021-02-01 20:00:00,2021-02-01 20:00:00,False,157,Osasuna,l,153,Real Betis,1.38521,15.0,0,316,20,2,0.9444,l,1.38521,1.9333,8.0,1,161,25,8,1.9333,4.6,3.49,1.93
La_liga 2020_156_157_2021-02-07 17:30:00,2021-02-07 17:30:00,True,157,Osasuna,w,156,Eibar,2.62128,12.0,2,157,16,5,2.4678,w,2.62128,1.07628,12.0,1,211,28,5,1.07628,2.67,3.02,3.16
La_liga 2020_151_157_2021-02-14 17:30:00,2021-02-14 17:30:00,False,157,Osasuna,w,151,Levante,0.685142,7.0,1,292,28,5,0.4967,w,0.685142,1.73006,13.0,0,132,23,6,0.986907,3.45,3.2,2.38
La_liga 2020_138_157_2021-02-22 20:00:00,2021-02-22 20:00:00,True,157,Osasuna,l,138,Sevilla,0.457508,6.0,0,339,27,3,0.7769999999999999,l,0.457508,1.05344,10.0,2,191,24,4,1.05344,4.63,3.26,2.0
La_liga 2020_157_158_2021-02-27 17:30:00,2021-02-27 17:30:00,False,157,Osasuna,w,158,Alaves,0.994243,6.0,1,184,25,1,1.9401,w,0.994243,0.483459,4.0,0,149,21,6,0.483459,3.01,3.02,2.79
La_liga 2020_148_157_2021-03-06 20:00:00,2021-03-06 20:00:00,True,157,Osasuna,l,148,Barcelona,0.756534,10.0,0,397,17,5,0.9036,l,0.756534,1.30761,13.0,2,245,23,10,1.30761,6.37,4.68,1.53
La_liga 2020_157_231_2021-03-13 17:30:00,2021-03-13 17:30:00,True,157,Osasuna,d,231,Real Valladolid,0.467892,14.0,0,149,29,12,0.8904,d,0.467892,0.891,12.0,0,158,21,8,0.891,2.27,3.14,3.8
La_liga 2020_157_232_2021-03-20 17:30:00,2021-03-20 17:30:00,False,157,Osasuna,d,232,SD Huesca,0.734886,7.0,0,230,29,4,1.2077,d,0.734886,0.89442,15.0,0,154,19,1,0.89442,3.08,3.2,2.6
La_liga 2020_142_157_2021-04-03 16:30:00,2021-04-03 16:30:00,True,157,Osasuna,d,142,Getafe,0.198501,4.0,0,78,20,1,1.0535,d,0.198501,0.316201,6.0,0,174,32,1,0.316201,2.81,2.81,3.23
La_liga 2020_154_157_2021-04-11 12:00:00,2021-04-11 12:00:00,False,157,Osasuna,w,154,Villarreal,1.29078,12.0,2,279,22,3,1.1385,w,1.29078,1.60338,15.0,1,113,13,16,1.60338,5.89,3.69,1.71
La_liga 2020_157_207_2021-04-18 12:00:00,2021-04-18 12:00:00,True,157,Osasuna,w,207,Elche,0.531975,9.0,2,216,27,12,1.0869,w,0.531975,0.699627,8.0,0,179,22,2,0.699627,2.0,3.26,4.63
La_liga 2020_146_157_2021-04-21 17:00:00,2021-04-21 17:00:00,True,157,Osasuna,w,146,Valencia,3.63596,18.0,3,277,27,6,2.7682,w,2.1494,1.20337,10.0,1,174,18,2,1.20337,2.52,3.13,3.27
La_liga 2020_152_157_2021-04-25 16:30:00,2021-04-25 16:30:00,False,157,Osasuna,l,152,Celta Vigo,1.41709,12.0,1,183,23,2,2.133,l,0.673809,0.601898,7.0,2,177,28,5,0.601898,3.36,3.56,2.25
La_liga 2020_150_157_2021-05-01 19:00:00,2021-05-01 19:00:00,False,157,Osasuna,l,150,Real Madrid,0.0721582,3.0,0,375,18,4,0.2171,l,0.0721582,1.6256,22.0,2,184,14,16,1.6256,9.17,5.14,1.38
La_liga 2020_147_157_2021-05-08 19:00:00,2021-05-08 19:00:00,False,157,Osasuna,d,147,Athletic Club,1.55726,13.0,2,197,18,8,1.4982,d,1.55726,1.39303,13.0,2,290,13,8,1.39303,4.85,3.7,1.83
La_liga 2020_157_261_2021-05-11 17:00:00,2021-05-11 17:00:00,True,157,Osasuna,w,261,Cadiz,2.14746,14.0,3,135,32,9,1.8488,w,1.40418,1.54692,10.0,2,272,18,0,0.803772,2.0,3.46,4.26
La_liga 2020_143_157_2021-05-16 16:30:00,2021-05-16 16:30:00,False,157,Osasuna,l,143,Atletico Madrid,0.673558,5.0,1,342,17,1,0.1747,l,0.673558,2.97525,26.0,2,105,17,18,2.97525,14.31,6.32,1.24
La_liga 2020_140_157_2021-05-22 16:00:00,2021-05-22 16:00:00,True,157,Osasuna,l,140,Real Sociedad,0.41494,7.0,0,321,22,3,0.2593999999999999,l,0.41494,2.08092,11.0,1,215,20,9,2.08092,4.99,4.59,1.64
