match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
La_liga 2020_154_232_2020-09-13 16:30:00,2020-09-13 16:30:00,False,232,SD Huesca,d,154,Villarreal,0.556003,10.0,1,278,21,3,0.3495,d,0.556003,2.01913,15.0,1,163,29,11,1.27586,6.36,4.21,1.57
La_liga 2020_232_261_2020-09-20 14:00:00,2020-09-20 14:00:00,True,232,SD Huesca,l,261,Cadiz,0.223846,4.0,0,103,28,0,0.1765,l,0.223846,1.50522,6.0,2,408,34,1,1.50522,2.21,2.99,4.07
La_liga 2020_146_232_2020-09-26 14:00:00,2020-09-26 14:00:00,False,232,SD Huesca,d,146,Valencia,1.10618,17.0,1,198,41,3,2.0675,d,1.10618,0.306092,5.0,1,221,19,3,0.306092,3.82,3.4,2.1
La_liga 2020_143_232_2020-09-30 17:00:00,2020-09-30 17:00:00,True,232,SD Huesca,d,143,Atletico Madrid,0.631932,9.0,0,324,21,3,0.4896,d,0.631932,1.79241,16.0,0,196,22,11,1.79241,8.59,4.11,1.48
La_liga 2020_207_232_2020-10-03 16:30:00,2020-10-03 16:30:00,False,232,SD Huesca,d,207,Elche,1.70374,18.0,0,355,46,12,2.5993000000000004,d,1.70374,0.188885,2.0,0,239,23,0,0.188885,2.47,3.27,3.21
La_liga 2020_231_232_2020-10-18 16:30:00,2020-10-18 16:30:00,True,232,SD Huesca,d,231,Real Valladolid,1.25439,12.0,2,109,11,2,1.6073,d,1.25439,0.907963,5.0,2,323,32,0,0.164685,2.32,3.12,3.71
La_liga 2020_140_232_2020-10-25 20:00:00,2020-10-25 20:00:00,False,232,SD Huesca,l,140,Real Sociedad,0.591473,6.0,1,241,16,2,0.4201,l,0.591473,1.79773,13.0,4,248,28,16,1.05446,6.34,3.84,1.65
La_liga 2020_150_232_2020-10-31 13:00:00,2020-10-31 13:00:00,False,232,SD Huesca,l,150,Real Madrid,0.79915,9.0,1,370,18,0,0.4185999999999999,l,0.79915,2.23898,13.0,4,307,33,9,2.23898,8.63,5.36,1.38
La_liga 2020_156_232_2020-11-07 13:00:00,2020-11-07 13:00:00,True,232,SD Huesca,d,156,Eibar,2.23211,14.0,1,158,23,2,2.4539000000000004,d,2.23211,0.839508,8.0,1,299,43,1,0.839508,2.18,3.26,3.89
La_liga 2020_157_232_2020-11-20 20:00:00,2020-11-20 20:00:00,False,232,SD Huesca,d,157,Osasuna,0.807899,6.0,1,238,22,1,1.3013,d,0.807899,0.878778,18.0,1,221,25,7,0.878778,3.45,3.11,2.43
