match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
La_liga 2021_143_152_2021-08-15 15:30:00,2021-08-15 15:30:00,False,143,Atletico Madrid,w,152,Celta Vigo,1.805,13.0,2,299,19,3,1.5243000000000002,w,1.805,1.59399,10.0,1,264,36,4,0.850713,2.05,3.25,4.41
La_liga 2021_143_207_2021-08-22 17:30:00,2021-08-22 17:30:00,True,143,Atletico Madrid,w,207,Elche,1.04508,8.0,1,435,37,5,2.2736,w,1.04508,0.168373,4.0,0,259,16,0,0.168373,1.22,6.51,19.95
La_liga 2021_143_154_2021-08-29 20:00:00,2021-08-29 20:00:00,True,143,Atletico Madrid,d,154,Villarreal,1.773,24.0,2,307,22,14,2.4272,d,1.773,0.448731,2.0,2,227,13,4,0.448731,1.78,3.52,5.68
La_liga 2021_141_143_2021-09-12 12:00:00,2021-09-12 12:00:00,False,143,Atletico Madrid,w,141,Espanyol,0.732283,13.0,2,187,26,12,1.6777,w,0.732283,0.373891,9.0,1,259,27,3,0.373891,1.95,3.53,4.38
La_liga 2021_143_147_2021-09-18 14:15:00,2021-09-18 14:15:00,True,143,Atletico Madrid,d,147,Athletic Club,1.10053,14.0,0,254,21,11,1.3155,d,1.10053,1.10578,6.0,0,258,22,8,1.10578,1.67,3.65,6.56
La_liga 2021_142_143_2021-09-21 17:30:00,2021-09-21 17:30:00,False,143,Atletico Madrid,w,142,Getafe,1.47906,12.0,2,101,16,6,2.3606,w,1.47906,0.330581,7.0,1,291,24,3,0.330581,1.7,3.54,6.53
La_liga 2021_143_158_2021-09-25 12:00:00,2021-09-25 12:00:00,False,143,Atletico Madrid,l,158,Alaves,0.558059,13.0,0,103,21,6,0.7184999999999999,l,0.558059,1.19699,7.0,1,341,15,5,1.19699,1.56,3.99,7.51
La_liga 2021_143_148_2021-10-02 19:00:00,2021-10-02 19:00:00,True,143,Atletico Madrid,w,148,Barcelona,1.37412,6.0,2,396,14,4,1.9174,w,1.37412,0.74746,9.0,0,183,12,5,0.74746,1.92,3.61,4.43
La_liga 2021_140_143_2021-10-24 19:00:00,2021-10-24 19:00:00,True,143,Atletico Madrid,d,140,Real Sociedad,1.75286,17.0,2,248,25,9,2.1587,d,1.00958,0.834092,8.0,2,247,15,8,0.834092,1.65,3.94,6.09
La_liga 2021_143_151_2021-10-28 19:30:00,2021-10-28 19:30:00,False,143,Atletico Madrid,d,151,Levante,1.33383,7.0,2,190,18,6,0.7030000000000001,d,1.33383,2.12426,10.0,2,352,23,1,0.637703,1.71,3.64,5.99
