match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
La_liga 2022_154_231_2022-08-13 17:00:00,2022-08-13 17:00:00,True,231,Real Valladolid,l,154,Villarreal,0.859075,12.0,0,219,26,2,0.8992000000000001,l,0.859075,1.39509,10.0,3,239,25,10,1.39509,4.05,3.78,1.95
La_liga 2022_138_231_2022-08-19 20:00:00,2022-08-19 20:00:00,False,231,Real Valladolid,d,138,Sevilla,0.557629,6.0,1,251,21,1,0.3814,d,0.557629,1.95115,18.0,1,159,32,4,1.95115,6.92,4.21,1.56
La_liga 2022_148_231_2022-08-28 17:30:00,2022-08-28 17:30:00,False,231,Real Valladolid,l,148,Barcelona,0.720063,8.0,0,295,13,2,0.1435,l,0.720063,3.28674,24.0,4,182,24,21,3.28674,17.21,8.8,1.17
La_liga 2022_208_231_2022-09-05 19:00:00,2022-09-05 19:00:00,True,231,Real Valladolid,w,208,Almeria,2.12493,14.0,1,174,29,5,2.527,w,2.12493,0.505353,12.0,0,186,27,3,0.505353,2.38,3.32,3.31
La_liga 2022_223_231_2022-09-09 19:00:00,2022-09-09 19:00:00,False,231,Real Valladolid,l,223,Girona,0.510622,14.0,1,186,33,8,0.1838,l,0.510622,2.59252,14.0,2,228,25,10,2.59252,3.61,3.23,2.3
La_liga 2022_231_261_2022-09-16 19:00:00,2022-09-16 19:00:00,True,231,Real Valladolid,l,261,Cadiz,1.98829,18.0,0,164,25,3,2.4169,l,1.98829,0.523314,7.0,1,251,22,6,0.523314,2.05,3.24,4.42
La_liga 2022_142_231_2022-10-01 14:15:00,2022-10-01 14:15:00,False,231,Real Valladolid,w,142,Getafe,1.32186,14.0,3,169,17,9,0.5188999999999999,w,0.578583,2.50588,14.0,2,254,28,5,1.7626,3.62,3.1,2.36
La_liga 2022_153_231_2022-10-09 12:00:00,2022-10-09 12:00:00,True,231,Real Valladolid,d,153,Real Betis,0.662444,12.0,0,166,17,7,1.395,d,0.662444,0.545154,4.0,0,285,23,6,0.545154,2.99,3.46,2.51
La_liga 2022_141_231_2022-10-16 16:30:00,2022-10-16 16:30:00,False,231,Real Valladolid,l,141,Espanyol,0.552288,14.0,0,182,13,3,0.5045999999999999,l,0.552288,1.63127,15.0,1,235,32,9,1.63127,3.57,3.36,2.25
La_liga 2022_152_231_2022-10-19 17:00:00,2022-10-19 17:00:00,True,231,Real Valladolid,w,152,Celta Vigo,1.63342,9.0,4,270,20,1,1.0484,w,0.89014,2.03107,22.0,1,145,12,5,1.28779,3.01,3.35,2.56
La_liga 2022_140_231_2022-10-22 14:15:00,2022-10-22 14:15:00,True,231,Real Valladolid,w,140,Real Sociedad,0.785666,9.0,1,298,27,6,1.2733,w,0.785666,0.82513,20.0,0,73,21,3,0.82513,3.76,3.46,2.14
La_liga 2022_157_231_2022-10-30 13:00:00,2022-10-30 13:00:00,False,231,Real Valladolid,l,157,Osasuna,0.330479,7.0,0,174,18,1,0.2597,l,0.330479,1.90028,20.0,2,269,29,11,1.157,4.55,3.49,1.93
La_liga 2022_207_231_2022-11-05 15:15:00,2022-11-05 15:15:00,True,231,Real Valladolid,w,207,Elche,2.81292,16.0,2,249,23,8,2.8816,w,2.81292,0.198499,4.0,1,261,12,1,0.198499,1.83,3.85,4.62
La_liga 2022_147_231_2022-11-08 19:00:00,2022-11-08 19:00:00,False,231,Real Valladolid,l,147,Athletic Club,0.481138,8.0,0,168,16,3,0.1691,l,0.481138,2.65727,19.0,3,237,31,13,2.65727,8.39,4.71,1.44
La_liga 2022_150_231_2022-12-30 20:30:00,2022-12-30 20:30:00,True,231,Real Valladolid,l,150,Real Madrid,0.535068,14.0,0,314,8,4,0.198,l,0.535068,2.5342,19.0,2,234,14,14,1.79092,6.56,4.71,1.51
La_liga 2022_231_239_2023-01-07 17:30:00,2023-01-07 17:30:00,False,231,Real Valladolid,l,239,Mallorca,0.434531,9.0,0,183,20,2,0.4921999999999999,l,0.434531,1.52838,13.0,1,290,25,4,1.52838,4.45,3.39,1.99
La_liga 2022_145_231_2023-01-14 13:00:00,2023-01-14 13:00:00,True,231,Real Valladolid,l,145,Rayo Vallecano,0.611009,9.0,0,187,26,0,0.7459,l,0.611009,1.16996,13.0,1,185,33,5,0.426815,2.86,3.3,2.72
La_liga 2022_143_231_2023-01-21 17:30:00,2023-01-21 17:30:00,False,231,Real Valladolid,l,143,Atletico Madrid,0.421793,7.0,0,277,24,5,0.0137,l,0.421793,4.11414,18.0,3,357,20,17,4.11414,9.39,4.87,1.4
La_liga 2022_146_231_2023-01-29 13:00:00,2023-01-29 13:00:00,True,231,Real Valladolid,w,146,Valencia,1.47049,13.0,1,183,34,0,1.7076,w,1.47049,1.05725,15.0,0,251,21,6,1.05725,3.24,3.28,2.45
La_liga 2022_140_231_2023-02-05 17:30:00,2023-02-05 17:30:00,False,231,Real Valladolid,w,140,Real Sociedad,0.781504,7.0,1,280,31,1,0.9432,w,0.781504,1.21593,15.0,0,204,26,3,1.21593,8.9,4.45,1.45
La_liga 2022_157_231_2023-02-12 17:30:00,2023-02-12 17:30:00,True,231,Real Valladolid,d,157,Osasuna,1.96448,18.0,0,197,28,6,2.0756,d,1.96448,1.03574,15.0,0,208,22,4,1.03574,2.86,3.09,2.87
La_liga 2022_153_231_2023-02-18 15:15:00,2023-02-18 15:15:00,False,231,Real Valladolid,l,153,Real Betis,0.97905,17.0,1,188,31,3,0.5367000000000001,l,0.97905,2.21822,16.0,2,233,34,8,1.47494,5.98,3.91,1.66
La_liga 2022_152_231_2023-02-26 15:15:00,2023-02-26 15:15:00,False,231,Real Valladolid,l,152,Celta Vigo,0.902118,6.0,0,231,20,4,0.2241,l,0.902118,2.97597,18.0,3,224,27,9,2.97597,5.85,3.83,1.69
La_liga 2022_141_231_2023-03-05 13:00:00,2023-03-05 13:00:00,True,231,Real Valladolid,w,141,Espanyol,1.38048,15.0,2,225,17,5,1.7324000000000002,w,1.38048,0.946065,12.0,1,156,18,6,0.946065,2.59,3.24,3.0
