match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
La_liga 2023_143_155_2023-08-14 19:30:00,2023-08-14 19:30:00,False,155,Granada,l,143,Atletico Madrid,1.13452,7.0,1,232,16,3,0.2862,l,1.13452,3.01246,14.0,3,345,21,13,3.01246,10.3,5.76,1.31
La_liga 2023_145_155_2023-08-21 19:30:00,2023-08-21 19:30:00,True,155,Granada,l,145,Rayo Vallecano,0.837141,14.0,0,209,26,9,0.2568,l,0.837141,2.7851,17.0,2,207,22,7,2.7851,2.68,3.09,3.03
La_liga 2023_155_239_2023-08-26 17:30:00,2023-08-26 17:30:00,True,155,Granada,w,239,Mallorca,1.81377,10.0,3,165,13,6,0.8794,w,1.0705,2.50232,10.0,2,202,29,5,1.75904,2.71,3.03,3.05
La_liga 2023_140_155_2023-09-02 12:00:00,2023-09-02 12:00:00,False,155,Granada,l,140,Real Sociedad,0.549509,8.0,3,329,20,1,0.3320999999999999,l,0.549509,2.08686,15.0,5,164,22,9,2.08686,7.49,4.63,1.47
La_liga 2023_155_223_2023-09-18 19:00:00,2023-09-18 19:00:00,True,155,Granada,l,223,Girona,1.97263,12.0,2,232,26,5,1.2202,l,1.97263,2.1418,13.0,4,181,32,5,2.1418,2.78,3.44,2.65
La_liga 2023_144_155_2023-09-24 16:30:00,2023-09-24 16:30:00,False,155,Granada,l,144,Las Palmas,0.0378648,2.0,0,281,32,3,0.4989,l,0.0378648,0.701293,10.0,1,147,16,5,0.701293,3.87,3.56,2.05
La_liga 2023_153_155_2023-09-28 17:00:00,2023-09-28 17:00:00,True,155,Granada,d,153,Real Betis,1.55108,19.0,1,294,17,6,1.9042,d,1.55108,0.870668,13.0,1,182,22,11,0.870668,3.11,3.53,2.36
La_liga 2023_155_208_2023-10-01 12:00:00,2023-10-01 12:00:00,False,155,Granada,d,208,Almeria,3.51421,19.0,3,190,10,4,2.2391,d,2.00419,2.24188,17.0,3,222,26,7,2.24188,3.96,3.68,1.92
La_liga 2023_148_155_2023-10-08 19:00:00,2023-10-08 19:00:00,True,155,Granada,d,148,Barcelona,0.611577,7.0,2,333,16,2,0.1008,d,0.611577,2.99552,22.0,2,74,18,9,2.99552,6.89,5.36,1.43
La_liga 2023_155_157_2023-10-20 19:00:00,2023-10-20 19:00:00,False,155,Granada,l,157,Osasuna,0.776224,13.0,0,249,23,6,0.5493,l,0.776224,1.79846,12.0,2,208,28,10,1.05518,5.13,3.99,1.72
La_liga 2023_154_155_2023-10-30 20:00:00,2023-10-30 20:00:00,True,155,Granada,l,154,Villarreal,2.80131,18.0,2,306,30,8,1.9804,l,2.80131,1.90197,6.0,3,242,27,4,1.15869,3.16,3.62,2.29
La_liga 2023_146_155_2023-11-05 15:15:00,2023-11-05 15:15:00,False,155,Granada,l,146,Valencia,0.344591,6.0,0,248,28,2,0.4821,l,0.344591,1.18921,11.0,1,213,36,3,0.44593,5.24,4.13,1.66
La_liga 2023_142_155_2023-11-11 17:30:00,2023-11-11 17:30:00,True,155,Granada,d,142,Getafe,1.4404,12.0,1,129,21,3,0.6483,d,1.4404,2.30149,10.0,1,289,25,1,2.30149,2.58,3.16,3.04
La_liga 2023_155_158_2023-11-24 20:00:00,2023-11-24 20:00:00,False,155,Granada,l,158,Alaves,1.13855,11.0,1,167,23,7,1.6317,l,0.395271,0.871813,8.0,3,290,28,2,0.871813,5.15,3.74,1.76
La_liga 2023_150_155_2023-12-02 17:30:00,2023-12-02 17:30:00,False,155,Granada,l,150,Real Madrid,0.110085,1.0,0,495,17,2,0.0733,l,0.110085,2.2606,11.0,2,243,23,9,2.2606,14.66,8.84,1.16
La_liga 2023_147_155_2023-12-12 15:15:00,2023-12-12 15:15:00,True,155,Granada,d,147,Athletic Club,0.543471,7.0,1,243,14,2,0.4935,d,0.543471,1.68816,19.0,1,295,25,8,1.68816,4.85,4.16,1.69
La_liga 2023_152_155_2023-12-16 13:00:00,2023-12-16 13:00:00,False,155,Granada,l,152,Celta Vigo,0.690175,7.0,0,108,15,5,0.7726999999999999,l,0.690175,1.33261,11.0,1,305,31,6,1.33261,5.13,4.1,1.67
La_liga 2023_138_155_2023-12-19 20:30:00,2023-12-19 20:30:00,True,155,Granada,l,138,Sevilla,1.12822,12.0,0,287,20,7,1.9111,l,1.12822,0.514939,12.0,3,306,29,2,0.514939,2.96,3.3,2.59
