match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
La_liga 2023_144_239_2023-08-12 17:30:00,2023-08-12 17:30:00,False,239,Mallorca,d,144,Las Palmas,1.49411,12.0,1,361,39,4,1.9291,d,0.609776,0.871699,5.0,1,138,20,2,0.128422,3.46,3.02,2.45
La_liga 2023_154_239_2023-08-18 17:30:00,2023-08-18 17:30:00,True,239,Mallorca,l,154,Villarreal,0.370077,8.0,0,297,27,4,0.1601,l,0.370077,2.12458,15.0,1,177,19,7,2.12458,3.04,3.13,2.68
La_liga 2023_155_239_2023-08-26 17:30:00,2023-08-26 17:30:00,False,239,Mallorca,l,155,Granada,2.50232,10.0,2,202,29,5,1.8844,l,1.75904,1.81377,10.0,3,165,13,6,1.0705,3.05,3.03,2.71
La_liga 2023_147_239_2023-09-03 14:15:00,2023-09-03 14:15:00,True,239,Mallorca,d,147,Athletic Club,0.403052,8.0,0,241,19,1,1.0383,d,0.403052,0.645541,11.0,0,102,22,7,0.645541,3.3,3.11,2.49
La_liga 2023_152_239_2023-09-16 16:30:00,2023-09-16 16:30:00,False,239,Mallorca,w,152,Celta Vigo,0.853213,7.0,1,253,12,2,0.5004000000000001,w,0.853213,2.06489,16.0,0,179,21,10,2.06489,4.4,3.13,2.08
La_liga 2023_223_239_2023-09-23 12:00:00,2023-09-23 12:00:00,False,239,Mallorca,l,223,Girona,2.42602,15.0,3,236,13,6,0.4815999999999999,l,1.68287,4.19225,23.0,5,227,15,16,3.44897,4.54,3.39,1.94
La_liga 2023_148_239_2023-09-26 19:30:00,2023-09-26 19:30:00,True,239,Mallorca,d,148,Barcelona,1.21366,10.0,2,291,24,5,1.0312,d,1.21366,1.62815,10.0,2,116,19,12,1.62815,6.98,4.53,1.51
La_liga 2023_145_239_2023-09-30 14:15:00,2023-09-30 14:15:00,False,239,Mallorca,d,145,Rayo Vallecano,1.33689,9.0,2,270,26,4,1.0026,d,1.33689,1.78616,19.0,2,161,19,4,1.04288,4.04,3.16,2.16
La_liga 2023_146_239_2023-10-07 16:30:00,2023-10-07 16:30:00,True,239,Mallorca,d,146,Valencia,0.919992,9.0,1,275,28,4,1.7267,d,0.919992,0.509313,11.0,1,271,29,2,0.509313,2.54,3.05,3.26
La_liga 2023_140_239_2023-10-21 12:00:00,2023-10-21 12:00:00,False,239,Mallorca,l,140,Real Sociedad,2.03914,18.0,0,214,24,1,1.3816,l,2.03914,2.0056,14.0,1,148,17,10,2.0056,7.23,3.91,1.57
