match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
La_liga 2023_153_154_2023-08-13 17:30:00,2023-08-13 17:30:00,False,153,Real Betis,w,154,Villarreal,0.969349,12.0,2,319,30,7,1.5424,w,0.969349,0.737812,18.0,1,166,27,14,0.737812,4.43,3.98,1.81
La_liga 2023_143_153_2023-08-20 19:30:00,2023-08-20 19:30:00,True,153,Real Betis,d,143,Atletico Madrid,1.02642,14.0,0,297,21,6,1.9921,d,1.02642,0.34492,5.0,0,340,26,10,0.34492,3.93,3.57,2.02
La_liga 2023_147_153_2023-08-27 19:30:00,2023-08-27 19:30:00,False,153,Real Betis,l,147,Athletic Club,0.346198,7.0,2,209,14,5,0.0664,l,0.346198,2.86727,14.0,4,287,40,3,1.38072,4.0,3.7,1.96
La_liga 2023_145_153_2023-09-02 19:00:00,2023-09-02 19:00:00,True,153,Real Betis,w,145,Rayo Vallecano,0.91924,14.0,1,204,39,12,0.8559000000000001,w,0.91924,1.53554,15.0,0,287,28,4,1.53554,1.98,3.55,4.14
La_liga 2023_148_153_2023-09-16 19:00:00,2023-09-16 19:00:00,False,153,Real Betis,l,148,Barcelona,0.852869,11.0,0,430,21,6,0.3594,l,0.852869,2.54628,17.0,5,203,24,12,2.54628,8.04,5.4,1.38
La_liga 2023_153_261_2023-09-24 16:30:00,2023-09-24 16:30:00,True,153,Real Betis,d,261,Cadiz,2.70742,21.0,1,142,15,10,2.6849,d,2.70742,0.570946,5.0,1,242,24,1,0.570946,1.86,3.62,4.64
La_liga 2023_153_155_2023-09-28 17:00:00,2023-09-28 17:00:00,False,153,Real Betis,d,155,Granada,0.870668,13.0,1,182,22,11,0.8188000000000001,d,0.870668,1.55108,19.0,1,294,17,6,1.55108,2.36,3.53,3.11
La_liga 2023_146_153_2023-10-01 19:00:00,2023-10-01 19:00:00,True,153,Real Betis,w,146,Valencia,2.53745,15.0,3,241,19,11,2.6842,w,2.53745,0.510459,9.0,0,323,18,3,0.510459,2.31,3.29,3.26
La_liga 2023_153_158_2023-10-08 16:30:00,2023-10-08 16:30:00,False,153,Real Betis,d,158,Alaves,0.872851,6.0,1,155,18,7,0.5837,d,0.872851,1.89594,15.0,1,329,27,5,1.89594,2.68,3.2,2.93
La_liga 2023_142_153_2023-10-21 14:15:00,2023-10-21 14:15:00,False,153,Real Betis,d,142,Getafe,1.42816,13.0,1,180,27,9,1.0537,d,1.42816,1.86677,14.0,1,250,33,5,1.86677,3.25,3.11,2.51
La_liga 2023_153_157_2023-10-29 13:00:00,2023-10-29 13:00:00,True,153,Real Betis,w,157,Osasuna,1.43393,9.0,2,246,21,5,2.2847000000000004,w,1.43393,0.446425,7.0,1,231,43,2,0.446425,2.1,3.4,3.89
La_liga 2023_153_239_2023-11-04 15:15:00,2023-11-04 15:15:00,True,153,Real Betis,w,239,Mallorca,2.84664,22.0,2,209,15,15,2.7779,w,2.84664,0.540374,8.0,0,246,25,1,0.540374,1.93,3.37,4.52
La_liga 2023_138_153_2023-11-12 17:30:00,2023-11-12 17:30:00,False,153,Real Betis,d,138,Sevilla,2.17922,14.0,1,265,14,8,2.5539,d,2.17922,0.615603,13.0,1,158,29,4,0.615603,3.46,3.52,2.17
La_liga 2023_144_153_2023-11-26 20:00:00,2023-11-26 20:00:00,True,153,Real Betis,w,144,Las Palmas,1.92649,12.0,1,403,21,1,2.3564000000000003,w,1.92649,0.751589,15.0,0,234,33,7,0.751589,1.65,3.91,5.66
La_liga 2023_153_208_2023-12-03 15:15:00,2023-12-03 15:15:00,False,153,Real Betis,d,208,Almeria,0.769817,6.0,0,276,13,2,0.2242,d,0.769817,2.69938,20.0,0,169,31,6,2.69938,2.16,3.66,3.36
La_liga 2023_150_153_2023-12-09 15:15:00,2023-12-09 15:15:00,True,153,Real Betis,d,150,Real Madrid,1.51575,14.0,1,462,22,6,1.9673,d,1.51575,0.803862,12.0,1,251,13,8,0.803862,4.39,3.92,1.81
La_liga 2023_140_153_2023-12-17 15:15:00,2023-12-17 15:15:00,False,153,Real Betis,d,140,Real Sociedad,1.37163,12.0,0,333,24,6,1.6868,d,1.37163,0.989954,12.0,0,190,27,8,0.989954,5.17,3.9,1.7
La_liga 2023_153_223_2023-12-21 18:00:00,2023-12-21 18:00:00,True,153,Real Betis,d,223,Girona,1.61394,21.0,1,341,27,5,1.2956,d,1.61394,1.64551,12.0,1,288,22,6,0.902234,2.87,3.69,2.42
La_liga 2023_152_153_2024-01-03 18:15:00,2024-01-03 18:15:00,False,153,Real Betis,l,152,Celta Vigo,1.73674,14.0,1,180,18,9,0.7933,l,1.73674,2.54675,19.0,2,322,31,5,1.80348,3.05,3.33,2.47
La_liga 2023_153_155_2024-01-13 20:00:00,2024-01-13 20:00:00,True,153,Real Betis,w,155,Granada,2.00904,25.0,1,220,29,9,2.3412,w,2.00904,0.658067,6.0,0,232,25,1,0.658067,1.65,4.04,5.49
La_liga 2023_148_153_2024-01-21 17:30:00,2024-01-21 17:30:00,True,153,Real Betis,l,148,Barcelona,1.61122,14.0,2,356,21,5,0.6965000000000001,l,1.61122,2.71025,11.0,4,177,22,9,2.71025,4.29,4.01,1.81
La_liga 2023_153_239_2024-01-27 20:00:00,2024-01-27 20:00:00,False,153,Real Betis,w,239,Mallorca,0.400759,8.0,1,307,12,7,0.3568,w,0.400759,1.72961,14.0,0,237,14,9,1.72961,3.37,3.13,2.39
La_liga 2023_142_153_2024-02-04 17:30:00,2024-02-04 17:30:00,True,153,Real Betis,d,142,Getafe,1.54414,9.0,1,153,19,8,1.0319,d,0.80086,1.9002,11.0,1,223,37,5,1.15693,1.9,3.45,4.57
La_liga 2023_153_261_2024-02-09 20:00:00,2024-02-09 20:00:00,False,153,Real Betis,w,261,Cadiz,1.43872,13.0,2,338,20,5,1.9464,w,1.43872,0.755069,14.0,0,289,30,4,0.755069,2.7,2.97,3.12
La_liga 2023_153_158_2024-02-18 20:00:00,2024-02-18 20:00:00,True,153,Real Betis,d,158,Alaves,1.18267,13.0,0,146,25,11,2.0264,d,1.18267,0.490778,13.0,0,282,23,5,0.490778,2.15,3.31,3.75
La_liga 2023_147_153_2024-02-25 15:15:00,2024-02-25 15:15:00,True,153,Real Betis,w,147,Athletic Club,0.921277,13.0,3,250,26,7,2.1312,w,0.921277,0.137757,3.0,1,372,28,2,0.137757,3.63,3.27,2.21
La_liga 2023_143_153_2024-03-03 15:15:00,2024-03-03 15:15:00,False,153,Real Betis,l,143,Atletico Madrid,0.588581,12.0,1,269,23,7,0.0638,l,0.588581,3.54138,17.0,2,306,22,10,2.64255,5.73,4.36,1.58
La_liga 2023_153_154_2024-03-10 20:00:00,2024-03-10 20:00:00,True,153,Real Betis,l,154,Villarreal,1.39975,13.0,2,281,24,7,1.4225,l,1.39975,1.30814,6.0,3,321,20,5,1.30814,2.08,3.66,3.59
La_liga 2023_145_153_2024-03-17 17:30:00,2024-03-17 17:30:00,False,153,Real Betis,l,145,Rayo Vallecano,0.69375,11.0,0,126,28,12,1.1962000000000002,l,0.69375,0.790186,8.0,2,197,39,3,0.790186,3.0,3.31,2.51
La_liga 2023_153_223_2024-03-31 15:15:00,2024-03-31 15:15:00,False,153,Real Betis,l,223,Girona,0.524961,7.0,2,389,22,8,0.1191,l,0.524961,2.43161,9.0,3,233,17,4,1.68834,4.4,3.98,1.79
La_liga 2023_152_153_2024-04-12 19:00:00,2024-04-12 19:00:00,True,153,Real Betis,w,152,Celta Vigo,1.22903,15.0,2,340,21,12,1.0313,w,1.22903,1.58129,12.0,1,294,20,7,1.58129,2.12,3.5,3.7
La_liga 2023_146_153_2024-04-20 16:30:00,2024-04-20 16:30:00,False,153,Real Betis,w,146,Valencia,1.82123,12.0,2,271,23,5,2.0708,w,1.82123,0.951475,8.0,1,223,27,6,0.208325,3.52,3.28,2.25
La_liga 2023_138_153_2024-04-28 19:00:00,2024-04-28 19:00:00,True,153,Real Betis,d,138,Sevilla,2.39465,15.0,1,261,21,4,2.2277,d,1.65137,1.26484,10.0,1,233,16,1,1.26484,2.08,3.42,3.84
La_liga 2023_153_157_2024-05-05 12:00:00,2024-05-05 12:00:00,False,153,Real Betis,w,157,Osasuna,1.44688,10.0,2,158,23,10,1.7184,w,1.44688,1.02463,12.0,0,321,21,3,1.02463,2.39,3.29,3.22
La_liga 2023_153_208_2024-05-12 19:00:00,2024-05-12 19:00:00,True,153,Real Betis,w,208,Almeria,1.69343,14.0,3,366,26,7,1.8533,w,1.69343,1.08304,14.0,2,295,29,2,1.08304,1.35,5.27,8.02
La_liga 2023_144_153_2024-05-16 17:30:00,2024-05-16 17:30:00,False,153,Real Betis,d,144,Las Palmas,1.3277,6.0,2,285,22,5,0.508,d,1.3277,2.61533,16.0,2,212,25,7,2.61533,1.92,3.67,4.14
La_liga 2023_140_153_2024-05-19 17:00:00,2024-05-19 17:00:00,True,153,Real Betis,l,140,Real Sociedad,1.60754,18.0,0,169,21,11,2.0725,l,0.864265,0.792849,5.0,2,369,30,2,0.792849,2.66,3.06,2.89
La_liga 2023_150_153_2024-05-25 19:00:00,2024-05-25 19:00:00,False,153,Real Betis,d,150,Real Madrid,1.15552,11.0,0,370,10,5,1.253,d,1.15552,1.24417,13.0,0,243,19,10,1.24417,7.79,5.67,1.35
