match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Ligue_1 2015_178_179_2015-08-09 23:00:00,2015-08-09 23:00:00,True,178,Lyon,d,179,Lorient,1.07521,21.0,0,215,23,9,1.5825,d,1.07521,0.766583,10.0,0,443,12,0,0.766583,1.57,4.16,6.67
Ligue_1 2015_169_178_2015-08-15 22:00:00,2015-08-15 22:00:00,False,178,Lyon,w,169,Guingamp,0.738048,11.0,1,101,24,2,1.06,w,0.738048,1.0359,11.0,0,298,23,4,1.0359,2.17,3.33,3.78
Ligue_1 2015_163_178_2015-08-22 19:00:00,2015-08-22 19:00:00,True,178,Lyon,l,163,Rennes,0.730806,15.0,1,138,23,10,1.5873,l,0.730806,0.42381,6.0,2,347,23,2,0.42381,1.62,3.88,6.65
Ligue_1 2015_165_178_2015-08-29 19:00:00,2015-08-29 19:00:00,False,178,Lyon,w,165,Caen,1.09462,13.0,4,143,34,2,1.563,w,1.09462,0.850493,14.0,0,326,20,5,0.850493,2.25,3.42,3.47
Ligue_1 2015_160_178_2015-09-12 19:00:00,2015-09-12 19:00:00,True,178,Lyon,d,160,Lille,0.850666,13.0,0,119,38,7,1.7006,d,0.850666,0.472192,9.0,0,271,32,3,0.472192,1.83,3.49,5.17
Ligue_1 2015_164_178_2015-09-20 23:00:00,2015-09-20 23:00:00,False,178,Lyon,d,164,Marseille,2.16016,12.0,1,278,34,9,2.2219,d,1.40006,1.04752,14.0,1,305,29,7,1.04752,3.76,3.56,2.11
Ligue_1 2015_162_178_2015-09-23 21:00:00,2015-09-23 21:00:00,True,178,Lyon,w,162,SC Bastia,2.50549,14.0,2,215,24,5,2.8433,w,2.50549,0.335527,4.0,0,398,20,1,0.335527,1.47,4.49,8.27
Ligue_1 2015_176_178_2015-09-26 22:00:00,2015-09-26 22:00:00,False,178,Lyon,l,176,Bordeaux,0.79393,10.0,1,282,23,1,0.7142999999999999,l,0.79393,1.5591,10.0,3,345,23,6,1.5591,2.85,3.16,2.8
Ligue_1 2015_177_178_2015-10-03 19:30:00,2015-10-03 19:30:00,True,178,Lyon,w,177,Reims,1.8412,17.0,1,181,30,10,2.4845,w,1.08111,0.482603,8.0,0,287,10,3,0.482603,1.59,4.13,6.47
Ligue_1 2015_171_178_2015-10-16 22:30:00,2015-10-16 22:30:00,False,178,Lyon,d,171,Monaco,1.29317,18.0,1,110,26,8,1.4909,d,1.29317,1.11571,12.0,1,343,25,1,1.11571,2.93,3.22,2.72
Ligue_1 2015_174_178_2015-10-23 22:30:00,2015-10-23 22:30:00,True,178,Lyon,w,174,Toulouse,2.27945,20.0,3,149,38,15,2.452,w,2.27945,0.726184,7.0,0,321,16,1,0.726184,1.79,3.73,5.18
Ligue_1 2015_172_178_2015-10-31 23:00:00,2015-10-31 23:00:00,False,178,Lyon,w,172,Troyes,2.39165,31.0,1,144,24,17,2.728,w,1.63156,0.36672,8.0,0,336,18,2,0.36672,1.75,3.59,5.75
Ligue_1 2015_175_178_2015-11-09 00:00:00,2015-11-09 00:00:00,True,178,Lyon,w,175,Saint-Etienne,2.31074,17.0,3,131,27,7,2.7901,w,2.31074,0.186858,6.0,0,218,26,2,0.186858,1.97,3.66,4.07
Ligue_1 2015_170_178_2015-11-20 23:30:00,2015-11-20 23:30:00,False,178,Lyon,l,170,Nice,1.24162,13.0,0,370,35,4,0.6405,l,1.24162,2.33671,13.0,3,329,22,6,2.33671,2.18,3.48,3.64
Ligue_1 2015_166_178_2015-11-27 23:30:00,2015-11-27 23:30:00,True,178,Lyon,l,166,Montpellier,1.64889,12.0,2,174,39,8,0.4144,l,1.64889,3.42947,15.0,4,374,20,6,3.42947,1.58,4.1,7.02
Ligue_1 2015_168_178_2015-12-02 00:00:00,2015-12-02 00:00:00,False,178,Lyon,d,168,Nantes,0.711974,10.0,0,216,26,3,1.1881,d,0.711974,0.878455,9.0,0,361,34,4,0.878455,2.22,3.32,3.73
Ligue_1 2015_167_178_2015-12-05 20:00:00,2015-12-05 20:00:00,True,178,Lyon,l,167,Angers,0.700009,13.0,0,204,34,9,1.2937,l,0.700009,0.69754,9.0,2,364,12,3,0.69754,1.6,3.94,6.91
Ligue_1 2015_161_178_2015-12-14 00:00:00,2015-12-14 00:00:00,False,178,Lyon,l,161,Paris Saint Germain,0.19264,9.0,1,514,23,2,0.0433,l,0.19264,2.93193,11.0,5,195,49,3,2.17184,13.42,6.21,1.27
Ligue_1 2015_173_178_2015-12-20 20:00:00,2015-12-20 20:00:00,False,178,Lyon,l,173,GFC Ajaccio,1.1915,9.0,1,212,20,2,1.1366999999999998,l,1.1915,1.49393,12.0,2,265,37,0,1.49393,2.39,3.35,3.24
Ligue_1 2015_172_178_2016-01-09 20:00:00,2016-01-09 20:00:00,True,178,Lyon,w,172,Troyes,1.57896,22.0,4,171,32,10,2.4176,w,1.57896,0.281148,9.0,1,471,34,0,0.281148,1.33,5.44,10.88
Ligue_1 2015_175_178_2016-01-18 00:00:00,2016-01-18 00:00:00,False,178,Lyon,l,175,Saint-Etienne,1.40956,18.0,0,102,21,10,2.0325,l,1.40956,0.629161,9.0,1,353,30,3,0.629161,2.74,3.24,2.84
Ligue_1 2015_164_178_2016-01-25 00:00:00,2016-01-25 00:00:00,True,178,Lyon,d,164,Marseille,2.48082,22.0,1,159,44,14,2.4239,d,2.48082,0.872984,7.0,1,290,20,1,0.872984,2.22,3.31,3.67
Ligue_1 2015_162_178_2016-01-30 23:00:00,2016-01-30 23:00:00,False,178,Lyon,l,162,SC Bastia,0.408979,9.0,0,107,38,11,0.8833,l,0.408979,0.748198,7.0,1,345,25,0,0.748198,1.77,3.55,5.6
Ligue_1 2015_176_178_2016-02-03 22:00:00,2016-02-03 22:00:00,True,178,Lyon,w,176,Bordeaux,2.4848,17.0,3,163,36,12,2.4189000000000003,w,2.4848,1.10364,12.0,0,254,24,2,1.10364,1.68,3.75,6.15
Ligue_1 2015_167_178_2016-02-06 20:00:00,2016-02-06 20:00:00,False,178,Lyon,w,167,Angers,0.586887,8.0,3,165,30,8,1.5209,w,0.586887,0.3307,5.0,0,436,26,3,0.3307,2.22,3.26,3.73
Ligue_1 2015_165_178_2016-02-14 17:00:00,2016-02-14 17:00:00,True,178,Lyon,w,165,Caen,3.89327,20.0,4,161,40,12,2.7978,w,3.89327,1.10005,15.0,1,332,24,6,1.10005,1.56,3.99,7.45
Ligue_1 2015_160_178_2016-02-22 00:00:00,2016-02-22 00:00:00,False,178,Lyon,l,160,Lille,0.633253,11.0,0,174,38,5,1.1973,l,0.633253,0.746493,9.0,1,240,26,5,0.746493,2.94,3.15,2.72
Ligue_1 2015_161_178_2016-02-29 00:00:00,2016-02-29 00:00:00,True,178,Lyon,w,161,Paris Saint Germain,1.44709,14.0,2,412,39,9,2.3017000000000003,w,1.44709,0.341938,6.0,1,170,26,7,0.341938,4.71,3.74,1.83
Ligue_1 2015_169_178_2016-03-07 00:00:00,2016-03-07 00:00:00,True,178,Lyon,w,169,Guingamp,3.25493,16.0,5,187,42,5,2.3337,w,3.25493,1.7776,11.0,1,400,24,1,1.7776,1.49,4.56,7.4
