match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Ligue_1 2015_168_169_2015-08-08 23:00:00,2015-08-08 23:00:00,True,168,Nantes,w,169,Guingamp,0.27314,9.0,1,226,31,3,1.0601,w,0.27314,0.406765,10.0,0,304,30,0,0.406765,2.2,3.11,4.01
Ligue_1 2015_167_168_2015-08-15 22:00:00,2015-08-15 22:00:00,False,168,Nantes,d,167,Angers,0.166221,2.0,0,288,24,3,0.946,d,0.166221,0.391752,10.0,0,291,21,2,0.391752,3.3,3.03,2.55
Ligue_1 2015_168_177_2015-08-22 22:00:00,2015-08-22 22:00:00,True,168,Nantes,w,177,Reims,1.91418,13.0,1,316,23,6,2.6125000000000003,w,1.91418,0.395955,2.0,0,313,21,3,0.395955,2.29,3.12,3.73
Ligue_1 2015_168_176_2015-08-30 19:00:00,2015-08-30 19:00:00,False,168,Nantes,l,176,Bordeaux,0.358858,11.0,0,258,32,2,0.0644,l,0.358858,2.98014,19.0,2,242,26,9,2.22004,4.41,3.17,2.07
Ligue_1 2015_163_168_2015-09-13 19:00:00,2015-09-13 19:00:00,True,168,Nantes,l,163,Rennes,0.585464,10.0,0,275,24,2,0.2796,l,0.585464,2.24932,16.0,2,189,31,5,2.24932,2.69,3.0,3.17
Ligue_1 2015_168_175_2015-09-20 19:00:00,2015-09-20 19:00:00,False,168,Nantes,l,175,Saint-Etienne,0.375954,11.0,0,267,26,4,0.5367,l,0.375954,1.36073,12.0,2,202,24,8,1.36073,6.59,3.59,1.69
Ligue_1 2015_161_168_2015-09-26 19:30:00,2015-09-26 19:30:00,True,168,Nantes,l,161,Paris Saint Germain,0.54464,7.0,1,479,27,2,0.3948,l,0.54464,1.86069,14.0,4,130,26,6,1.86069,10.71,4.44,1.41
Ligue_1 2015_160_168_2015-09-29 20:30:00,2015-09-29 20:30:00,False,168,Nantes,w,160,Lille,1.58846,9.0,1,264,19,4,1.7908,w,1.58846,1.158,20.0,0,123,31,12,1.158,5.43,3.32,1.85
Ligue_1 2015_168_172_2015-10-17 22:00:00,2015-10-17 22:00:00,True,168,Nantes,w,172,Troyes,1.83778,17.0,3,271,23,4,2.1335,w,1.83778,0.88042,14.0,0,245,16,12,0.88042,1.97,3.35,4.57
Ligue_1 2015_165_168_2015-10-23 20:30:00,2015-10-23 20:30:00,False,168,Nantes,w,165,Caen,1.46833,10.0,2,200,24,5,1.567,w,1.46833,1.20724,16.0,0,176,15,7,1.20724,4.71,3.34,1.96
