match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Ligue_1 2016_166_167_2016-08-13 22:00:00,2016-08-13 22:00:00,False,167,Angers,l,166,Montpellier,0.49342,12.0,0,249,26,5,0.9279,l,0.49342,0.879179,14.0,1,224,29,4,0.879179,4.32,3.17,2.09
Ligue_1 2016_167_170_2016-08-20 22:00:00,2016-08-20 22:00:00,True,167,Angers,l,170,Nice,1.21118,21.0,0,425,40,3,0.7457999999999999,l,1.21118,2.06104,14.0,1,250,19,10,2.06104,2.55,2.93,3.43
Ligue_1 2016_167_180_2016-08-27 22:00:00,2016-08-27 22:00:00,False,167,Angers,l,180,Metz,1.10689,23.0,0,162,17,6,1.8916,l,1.10689,0.448001,7.0,2,257,13,1,0.448001,3.35,2.99,2.55
Ligue_1 2016_167_181_2016-09-10 22:00:00,2016-09-10 22:00:00,True,167,Angers,w,181,Dijon,0.606116,13.0,3,362,23,4,1.0242,w,0.606116,0.804238,7.0,1,226,23,3,0.804238,2.33,3.09,3.66
Ligue_1 2016_167_176_2016-09-17 22:00:00,2016-09-17 22:00:00,False,167,Angers,w,176,Bordeaux,1.13896,5.0,1,340,30,3,1.8102,w,1.13896,0.712968,10.0,0,162,21,3,0.712968,5.28,3.47,1.83
Ligue_1 2016_165_167_2016-09-21 21:00:00,2016-09-21 21:00:00,True,167,Angers,w,165,Caen,1.31977,13.0,2,307,20,4,2.0865,w,1.31977,0.505767,6.0,1,272,34,5,0.505767,2.24,3.2,3.76
Ligue_1 2016_167_171_2016-09-24 22:00:00,2016-09-24 22:00:00,False,167,Angers,l,171,Monaco,1.75544,11.0,1,295,15,11,1.829,l,1.75544,1.21319,13.0,2,209,24,3,1.21319,6.35,3.84,1.65
Ligue_1 2016_164_167_2016-10-02 17:00:00,2016-10-02 17:00:00,True,167,Angers,d,164,Marseille,2.19247,17.0,1,325,17,5,2.7072000000000003,d,2.19247,0.336879,9.0,1,251,25,2,0.336879,2.6,3.13,3.11
Ligue_1 2016_162_167_2016-10-15 22:00:00,2016-10-15 22:00:00,False,167,Angers,w,162,SC Bastia,0.950062,7.0,2,269,28,3,1.0594,w,0.950062,1.23731,12.0,1,230,18,3,1.23731,3.27,2.9,2.67
Ligue_1 2016_167_174_2016-10-22 22:00:00,2016-10-22 22:00:00,True,167,Angers,d,174,Toulouse,0.624843,11.0,0,261,20,1,1.4456,d,0.624843,0.453596,6.0,0,248,34,0,0.453596,2.68,3.03,3.1
